"Bound1_1","moveby,0,10,0.2,bound"
"Bound1_2","moveby,0,20,0.3,bound"
"Bound1_3","moveby,0,30,0.4,bound"
"Bound1_4","moveby,0,-10,0.2,bound"
"Bound1_5","moveby,0,-20,0.3,bound"
"Bound1_6","moveby,0,-30,0.4,bound"
"Bound2_1","moveby,0,10,0.4,bound2"
"Bound2_2","moveby,0,20,0.6,bound2"
"Bound2_3","moveby,0,30,0.8,bound2"
"Bound2_4","moveby,0,-10,0.4,bound2"
"Bound2_5","moveby,0,-20,0.6,bound2"
"Bound2_6","moveby,0,-30,0.8,bound2"
"Bound3_1","moveby,0,10,0.5,bound3"
"Bound3_2","moveby,0,20,0.8,bound3"
"Bound3_3","moveby,0,30,0.9,bound3"
"Bound3_4","moveby,0,-10,0.5,bound3"
"Bound3_5","moveby,0,-20,0.8,bound3"
"Bound3_6","moveby,0,-30,0.9,bound3"
"Shake1_1","moveby,3,0,0.1,shake"
"Shake1_2","moveby,5,0,0.1,shake"
"Shake1_3","moveby,7,0,0.1,shake"
