"LobbyPanel","","","","Profile","","Ap:Gold:Dia","Mail:Notice:Menu",""
"UserProfilePanel","","","","BackButton:Bg","","None","Notice:Menu:Home",""
"MailboxPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"FriendPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"FriendMenuPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"SupportHeroPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"InventoryPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"EquipmentInventoryPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"MissionPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"CharacterListPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Heroinfo2"
"CharacterInfoPanel","","","","BackButton:Bg","HelpBtn_Hero_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Heroinfo2"
"KingdomPanel","","","","BackButton:Bg","HelpBtn_Kingdom_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Kingdom"
"DinnerPartyPanel","","","","BackButton:Bg","HelpBtn_Food_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Heroinfo"
"SummonMainPanel","","","","BackButton:Bg","HelpBtn_Summon_Group","Ap:Gold:Dia","Mail:Menu:Home",""
"StoryDashboardPanel","","","","BackButton:Bg","HelpBtn_Story_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"MainStoryPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"BelongStoryPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Story"
"ReplayStoryPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home",""
"StageReadyDashboardPanel","","","","BackButton:Bg","","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dashboard_Adven"
"AdventureStageHudPanel","","","","BackButton:Bg","HelpBtn_Adventure_Group","Ap:Gold:Dia","Notice:Menu:Home",""
"BattleReadyPanel","","","","BackButton:Bg","HelpBtn_PartyFormation_Group","Ap:Gold:Dia","Notice:Menu:Home",""
"TotalWarMainPanel","","","","BackButton:Bg","HelpBtn_TotalWar_Group","TotalwarTicket:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Lobby"
"DungeonPanel","","","","BackButton:Bg","HelpBtn_Dungeon_Group","DungeonKey:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Dungeon"
"RuinsPanel","","","","BackButton:Bg","HelpBtn_Ruins_Group","Ap:Gold:Dia","Notice:Menu:Home","Sfx_Bgm_Ruins"
