Id,Name,PreOrConditions,PreConditions,Condition,ConditionParams,ExtConditionParams,DataType,RefreshType,RefreshTimeType,MaxValue,Refresh
1,登录天数,0,0,1,0,0,,0,0,99999999,0
2,角色等级,0,0,2,0,0,,0,0,99999999,0
3,玩家等级,0,0,3,0,0,,0,0,99999999,0
4,表示真,0,0,0,0,0,,0,0,99999999,0
100,指定功能类型,0,0,100,0,0,,0,0,99999999,0
101,指定敌人ID,0,0,101,0,0,,0,0,99999999,0
102,指定角色类型,0,0,102,0,0,,0,0,99999999,0
103,指定任务Display字段,0,0,103,0,0,,0,0,99999999,0
104,指定玩家等级,0,0,104,0,0,,0,0,99999999,0
105,指定牌型,0,0,105,0,0,,0,0,99999999,0
106,指定累计登录天数,0,0,106,0,0,,0,0,99999999,0
107,完成指定任务ID,0,0,107,0,0,,0,0,99999999,0
108,指定魔女等级,0,0,108,0,0,,0,0,99999999,0
109,指定星痕突破等级,0,0,109,0,0,,0,0,99999999,0
110,指定星痕觉醒等级,0,0,110,0,0,,0,0,99999999,0
111,指定奇物等级,0,0,111,0,0,,0,0,99999999,0
112,指定技能类型,0,0,112,0,0,,0,0,99999999,0
113,指定道具ID,0,0,113,0,0,,0,0,99999999,0
115,指定关卡,0,0,115,0,0,,0,0,99999999,0
116,指定战斗胜利回合数,0,0,116,0,0,,0,0,99999999,0
117,指定关卡类型,0,0,117,0,0,,0,0,99999999,0
118,指定战斗结果,0,0,118,0,0,,0,0,99999999,0
122,指定专武等级,0,0,122,0,0,,0,0,99999999,0
123,指定关卡章节ID,0,0,123,0,0,,0,0,99999999,0
124,指定星痕ID,0,0,124,0,0,,0,0,99999999,0
125,指定星痕类型,0,0,125,0,0,,0,0,99999999,0
126,指定星痕等级,0,0,126,0,0,,0,0,99999999,0
128,指定魔女ID等级,0,0,128,0,0,,0,0,99999999,0
130,指定等级星痕技能数量,0,0,130,0,0,,0,0,99999999,0
131,指定门票ID,0,0,131,0,0,,0,0,99999999,0
132,指定星痕好感度等级,0,0,132,0,0,,0,0,99999999,0
133,指定星痕心契等级,0,0,133,0,0,,0,0,99999999,0
134,指定星痕品级,0,0,134,0,0,,0,0,99999999,0
135,星痕技能升级次数,0,0,135,0,0,,0,0,99999999,0
136,突破材料是否足够,0,0,136,0,0,,0,0,99999999,0
137,返回魔女装备符文数量,0,0,137,0,0,,0,0,99999999,0
138,指定星痕觉醒道具欠缺数量,0,0,138,0,0,,0,0,99999999,0
139,指定符文品质,0,0,139,0,0,,0,0,99999999,0
140,指定符文等级,0,0,140,0,0,,0,0,99999999,0
141,洗炼到指定品质的词条(锁词条和品质都不算),0,0,141,0,0,,0,0,99999999,0
142,抽卡触发保底,0,0,142,0,0,,0,0,99999999,0
143,抽到当期Up,0,0,143,0,0,,0,0,99999999,0
144,指定星痕技能升级等级,0,0,144,0,0,,0,0,99999999,0
145,指定商品ID,0,0,145,0,0,,0,0,99999999,0
146,星痕技能1,0,0,146,1,0,,0,0,99999999,0
147,星痕技能2,0,0,147,2,0,,0,0,99999999,0
148,星痕技能3,0,0,148,3,0,,0,0,99999999,0
149,指定星痕等级是否达到当前突破的等级上限,0,0,149,0,0,,0,0,9999999,0
