Id,Rankname,StageID,FriendlySkill,SeasonTask,ChallengeTask,RankID,CollectionRankID,Image
1,"ui_rank_typename_100,ui_rank_typename_103,ui_rank_typename_104,ui_rank_typename_109","7000301,7000302,7000303,7000304,7000305;7000401,7000402,7000403,7000404,7000405;7000901,7000902,7000903,7000904,7000905",99999978,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_5,ui_mhj_cj_zj_kn_7,ui_mhj_cj_zj_kn_2"
2,"ui_rank_typename_100,ui_rank_typename_106,ui_rank_typename_101,ui_rank_typename_109","7000601,7000602,7000603,7000604,7000605;7000101,7000102,7000103,7000104,7000105;7000901,7000902,7000903,7000904,7000905",99999979,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_8,ui_mhj_cj_zj_kn_2"
3,"ui_rank_typename_100,ui_rank_typename_109,ui_rank_typename_104,ui_rank_typename_1010","7000901,7000902,7000903,7000904,7000905;7000401,7000402,7000403,7000404,7000405;7001001,7001002,7001003,7001004,7001005",99999980,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_7,ui_mhj_cj_zj_kn_3"
4,"ui_rank_typename_100,ui_rank_typename_106,ui_rank_typename_101,ui_rank_typename_109","7000601,7000602,7000603,7000604,7000605;7000101,7000102,7000103,7000104,7000105;7000901,7000902,7000903,7000904,7000905",99999895,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_8,ui_mhj_cj_zj_kn_2"
5,"ui_rank_typename_100,ui_rank_typename_109,ui_rank_typename_104,ui_rank_typename_1010","7000901,7000902,7000903,7000904,7000905;7000401,7000402,7000403,7000404,7000405;7001001,7001002,7001003,7001004,7001005",99999974,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_7,ui_mhj_cj_zj_kn_3"
6,"ui_rank_typename_100,ui_rank_typename_103,ui_rank_typename_101,ui_rank_typename_106","7000301,7000302,7000303,7000304,7000305;7000101,7000102,7000103,7000104,7000105;7000601,7000602,7000603,7000604,7000605",99999978,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_5,ui_mhj_cj_zj_kn_8,ui_mhj_cj_zj_kn_1"
7,"ui_rank_typename_100,ui_rank_typename_103,ui_rank_typename_104,ui_rank_typename_1010","7000301,7000302,7000303,7000304,7000305;7000401,7000402,7000403,7000404,7000405;7001001,7001002,7001003,7001004,7001005",99999973,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_5,ui_mhj_cj_zj_kn_7,ui_mhj_cj_zj_kn_3"
8,"ui_rank_typename_100,ui_rank_typename_1010,ui_rank_typename_101,ui_rank_typename_1010","7001001,7001002,7001003,7001004,7001005;7000101,7000102,7000103,7000104,7000105;7001001,7001002,7001003,7001004,7001005",99999979,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_3,ui_mhj_cj_zj_kn_8,ui_mhj_cj_zj_kn_3"
9,"ui_rank_typename_100,ui_rank_typename_109,ui_rank_typename_104,ui_rank_typename_103","7000901,7000902,7000903,7000904,7000905;7000401,7000402,7000403,7000404,7000405;7000301,7000302,7000303,7000304,7000305",99999974,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_2,ui_mhj_cj_zj_kn_7,ui_mhj_cj_zj_kn_5"
10,"ui_rank_typename_100,ui_rank_typename_106,ui_rank_typename_101,ui_rank_typename_103","7000601,7000602,7000603,7000604,7000605;7000101,7000102,7000103,7000104,7000105;7000301,7000302,7000303,7000304,7000305",99999977,"7001,7002,7003,7004,7005,7006,7007,7008,7009,7010","7901,7902,7903,7904,7917,7905,7906,7907,7908,7918,7909,7910,7911,7912,7919,7913,7914,7915,7916,7920,7921,7922,7923,7924,7925,7926,7927,7928,7929,7930","102,103,104",101,"ui_mhj_cj_zj_kn_1,ui_mhj_cj_zj_kn_8,ui_mhj_cj_zj_kn_5"
