Id,Step,,TriggerTime,TriggerParameters,ShowCondition,Trigger,Operation,Parameter,GuideSave,Save,GuideType,SystemruleID,DelayProcess,Force,EndTime,SquareBox,ShowWndName,TargetGameObjectName,TargetGameObjectNameJP,Offset,Size,TipsHeadIcon,TipsText,,TipsPosition,SoundID
1,1,进入序章关卡，引导使用普攻,7,"1,0,1","901,99999991","1,1","3,7",5805001,,1,1,0,0,1,0,0,Fight_Main,main/heroBoard/attackBtns/attack1,main/heroBoard/attackBtns/attack1,"0,0","0,0",Guide/icon_lly_14,guide_1_1,面对造物主还是谨慎一些的好，先使用<color=#0cb9d7>普通攻击</color>尝试一下。,"459,577",
1,2,回合2，开始，选择星痕,7,"1,0,2","901,99999991",1,3,5805003,,2,1,0,0,1,0,0,Fight_Main,main/heroBoard/gospelBoard/gospels/gospel_1,main/heroBoard/gospelBoard/gospels/gospel_1,"0,0","0,0",Guide/icon_lly_14,guide_1_2,<color=#0cb9d7>牧</color>是凭依于魔女的强大星痕，她可以随时被<color=#0cb9d7>召唤</color>并作为魔女的臂助加入战斗。,"-105,203",
1,3,选择技能1,,,,,,,,3,1,0,0,1,0,0,Fight_Main,main/heroBoard/gospelBoard/skills/skill (1)/skill/bg,main/heroBoard/gospelBoard/skills/skill (1)/skill/bg,"0,0","0,0",Guide/icon_lly_14,guide_1_3,<color=#0cb9d7>牧</color>的每个技能都具有不同的效果，<color=#0cb9d7>选中技能</color>就可以与她沟通进行释放。,"-494,-295",
1,4,释放技能1,,,,,,,,4,1,0,0,1,0,0,Fight_Main,main/heroBoard/gospelBoard/skills/skill (1)/skill/ready,main/heroBoard/gospelBoard/skills/skill (1)/skill/ready,"0,0","0,0",Guide/icon_lly_14,guide_1_4,为了<color=#0cb9d7>再次确认</color>您的心意，<color=#0cb9d7>牧</color>会提醒技能效果，确认后她就对杰西斯释放。,"-494,-295",
1,5,回合3，开始，选择星痕,7,"1,0,3","901,99999991",1,3,5805007,,5,1,0,0,1,0,0,Fight_Main,main/heroBoard/gospelBoard/gospels/gospel_1,main/heroBoard/gospelBoard/gospels/gospel_1,"0,0","0,0",Guide/icon_lly_14,guide_1_5,此刻才是对决真正的开始，需要<color=#0cb9d7>召唤牧</color>继续提供支援。,"-105,203",
1,6,点击灵魂解放,,,,,,,,6,1,0,0,1,0,0,Fight_Main,main/energyBoard,main/energyBoard,"0,0","0,0",Guide/icon_lly_14,guide_1_6,当拥有足够的能量时，就可以<color=#0cb9d7>使用灵魂解放</color>对<color=#0cb9d7>牧</color>进行强化。,"800,129",
1,7,释放技能1,,,,,,,,7,1,0,0,1,0,0,Fight_Main,main/heroBoard/gospelBoard/skills/skill (1)/skill/bg,main/heroBoard/gospelBoard/skills/skill (1)/skill/bg,"0,0","0,0",Guide/icon_lly_14,guide_1_7,这时候<color=#0cb9d7>使用牧的技能</color>，就可以让她的技能效果大幅度提升。,"-494,-295",
1,8,释放技能1,,,,,,,,8,1,0,0,1,0,0,Fight_Main,main/heroBoard/gospelBoard/skills/skill (1)/skill/ready,main/heroBoard/gospelBoard/skills/skill (1)/skill/ready,"0,0","0,0",Guide/icon_lly_14,guide_1_8,<color=#0cb9d7>释放牧被选中的技能</color>，她可以造成更多的伤害并有效地打击敌人的弱点。,"-494,-295",
1,9,回合4，点击灵魂解放,7,"1,0,4","901,99999991",1,3,5805009,,9,1,0,0,1,0,0,Fight_Main,main/energyBoard,main/energyBoard,"0,0","0,0",Guide/icon_lly_14,guide_1_9,刚才的攻击对杰西斯造成了不小的损伤，但还不足以击败她，需要再次进行<color=#0cb9d7>灵魂解放</color>。,"800,129",
1,10,选择星痕,,,,,,,,10,1,0,0,1,0,0,Fight_Main,main/heroBoard/gospelBoard/gospels/gospel_1,main/heroBoard/gospelBoard/gospels/gospel_1,"0,0","0,0",Guide/icon_lly_14,guide_1_10,<color=#0cb9d7>召唤牧</color>继续战斗。,"-145,207",
