HeroId,Desc1,Name,Type,Attr,AttrGrown,Skill,SkillWeight,PassiveSkill,BattleName
3000000,莉莉娅,role_name_3000000,1,"101,2000000;102,100000;103,0;104,10000;105,100",0,"30000001,30000002,2100000",,30000003,role_battlename_3000000
3000001,律,role_name_3000001,1,"101,400;102,76;103,42;104,185;105,102",0,"30000011,30000012,2100001",,,role_battlename_3000001
3000002,克萝萝,role_name_3000002,1,"101,380;102,84;103,38;104,210;105,104",0,"30000021,30000022,2100002",,,role_battlename_3000002
3000003,黑神月咏,role_name_3000003,1,"101,400;102,84;103,42;104,200;105,95",0,"30000031,30000032,2100003",,,role_battlename_3000003
3000004,安洁,role_name_3000004,1,"101,400;102,80;103,38;104,210;105,100",0,"30000041,30000042,2100004",,,role_battlename_3000004
3000005,米娅,role_name_3000005,1,"101,420;102,72;103,42;104,210;105,95",0,"30000051,30000052,2100005",,,role_battlename_3000005
3000006,玛莎,role_name_3000006,1,"101,400;102,88;103,38;104,190;105,100",0,"30000061,30000062,2100006",,,role_battlename_3000006
3020001,暴食,monster_name_3020001,2,"101,11520;102,70;103,58;104,1600;105,113","101,4032;102,25;103,20;104,560;105,0","32000111,32000112,32000117,32000114,32000115,32000113",,32000116,monster_battlename_3020001
30200011,暴食,monster_name_30200011,2,"101,11520;102,70;103,58;104,1600;105,113","101,4032;102,25;103,20;104,560;105,0","32000111,32000112,32000113,32000114,32000115,32000117",,32000116,monster_battlename_30200011
30200012,暴食,monster_name_30200012,2,"101,11520;102,70;103,58;104,1600;105,113","101,4032;102,25;103,20;104,560;105,0","32000111,32000112,32000113,32000114,32000115,32000117",,32000116,monster_battlename_30200012
30200013,暴食,monster_name_30200013,2,"101,11520;102,70;103,58;104,1600;105,113;140,-100","101,4032;102,25;103,20;104,560;105,0","32000126,32000127,32000121",,32000128,monster_battlename_30200013
3020002,色欲,monster_name_3020002,2,"101,14080;102,70;103,55;104,1472;105,135","101,4928;102,25;103,20;104,515;105,0","32000211,32000212,32000214,32000215,32000213",,"32000216,32000217",monster_battlename_3020002
30200021,色欲,monster_name_30200021,2,"101,14080;102,70;103,55;104,1472;105,135","101,4928;102,25;103,20;104,515;105,0","32000211,32000212,32000213,32000214,32000215",,"32000216,32000217",monster_battlename_30200021
30200022,色欲,monster_name_30200022,2,"101,14080;102,70;103,55;104,1472;105,135","101,4928;102,25;103,20;104,515;105,0","32000211,32000212,32000213,32000214,32000215",,"32000216,32000217",monster_battlename_30200022
30200023,色欲,monster_name_30200023,2,"101,14080;102,70;103,55;104,1472;105,135","101,4928;102,25;103,20;104,515;105,0","32000221,32000222",,"32000223,32000224",monster_battlename_30200023
3020003,愤怒,monster_name_3020003,2,"101,10240;102,120;103,39;104,1152;105,158","101,3584;102,42;103,14;104,403;105,0",3200031,,,monster_battlename_3020003
30200031,愤怒,monster_name_30200031,2,"101,10240;102,120;103,39;104,1152;105,158","101,3584;102,42;103,14;104,403;105,0","3200031,3200032,3200033,3200034",,,monster_battlename_30200031
30200032,愤怒,monster_name_30200032,2,"101,10240;102,120;103,39;104,1152;105,158","101,3584;102,42;103,14;104,403;105,0","3200031,3200032,3200033,3200034",,,monster_battlename_30200032
30200033,愤怒-形态2,monster_name_30200033,2,"101,10240;102,120;103,39;104,1152;105,158","101,3584;102,42;103,14;104,403;105,0","32000331,32000332,32000333,32000334",,,monster_battlename_30200033
30200034,愤怒-形态2,monster_name_30200034,2,"101,10240;102,120;103,39;104,1152;105,158","101,3584;102,42;103,14;104,403;105,0","32000331,32000332,32000333,32000334",,,monster_battlename_30200034
30200035,愤怒-形态2,monster_name_30200035,2,"101,10240;102,120;103,39;104,1152;105,158","101,3584;102,42;103,14;104,403;105,0","32000331,32000332,32000333,32000334",,,monster_battlename_30200035
3020010,狄妮莎,monster_name_3020010,2,"101,14080;102,62;103,55;104,1527;105,135","101,4928;102,22;103,20;104,535;105,0","3200101,3200102,3200103,3200104",,,monster_battlename_3020010
3020011,杰西斯（序）,monster_name_3020011,2,"101,18000000;102,200000;103,0;104,2000000;105,51;114,-200",,"3200111,3200112,3200113",,,monster_battlename_3020011
30200111,杰西斯（序）,monster_name_30200111,2,"101,18000000;102,200000;103,0;104,2000000;105,51;114,-200",,"3200111,3200112,3200113",,,monster_battlename_30200111
3030001,西蒙,monster_name_3030001,2,"101,7680;102,77;103,44;104,880;105,117","101,2688;102,27;103,16;104,308;105,0","33000111,33000112,33000114,33000115,33000113",,33000116,monster_battlename_3030001
30300011,西蒙-特殊,monster_name_30300011,2,"101,7680;102,77;103,44;104,880;105,117","101,2688;102,27;103,16;104,308;105,0","33000111,33000112,33000113,33000114,33000115",,33000116,monster_battlename_30300011
30300012,西蒙,monster_name_30300012,2,"101,7680;102,77;103,44;104,880;105,117;1001,-500;1012,-500;1013,-500","101,2688;102,27;103,16;104,308;105,0","33000121,33000122",,"33000123,33000124",monster_battlename_30300012
3030002,莉莉布朗尼,monster_name_3030002,2,"101,7040;102,67;103,51;104,920;105,117","101,2464;102,24;103,18;104,322;105,0","33000211,33000212,33000213",,33000214,monster_battlename_3030002
30300021,莉莉布朗尼-特殊,monster_name_30300021,2,"101,7040;102,67;103,51;104,920;105,117","101,2464;102,24;103,18;104,322;105,0","33000211,33000212,33000213",,33000214,monster_battlename_30300021
30300022,莉莉布朗尼,monster_name_3030002,2,"101,7040;102,67;103,51;104,920;105,117","101,2464;102,24;103,18;104,322;105,0","33000211,33000212,33000213",,33000214,monster_battlename_3030002
30300023,莉莉布朗尼,monster_name_30300023,2,"101,7040;102,67;103,51;104,920;105,117","101,2464;102,24;103,18;104,322;105,0","33000225,33000226",,"33000221,33000222,33000224,33000227",monster_battlename_30300023
3030003,咎瓦尤斯,monster_name_3030003,2,"101,7680;102,77;103,44;104,880;105,117","101,2688;102,27;103,16;104,308;105,0","33000311,33000313,33000312,33000314",,"33000315,33000316",monster_battlename_3030003
30300031,咎瓦尤斯,monster_name_3030003,2,"101,153600;102,1;103,44;104,880;105,117","101,53760;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300032,咎瓦尤斯,monster_name_3030003,2,"101,230400;102,1;103,44;104,880;105,117","101,80640;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300033,咎瓦尤斯,monster_name_3030003,2,"101,384000;102,1;103,44;104,880;105,117","101,134400;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300034,咎瓦尤斯,monster_name_3030003,2,"101,614400;102,1;103,44;104,880;105,117","101,215040;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300035,咎瓦尤斯,monster_name_3030003,2,"101,921600;102,1;103,44;104,880;105,117","101,322560;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300036,咎瓦尤斯,monster_name_3030003,2,"101,1305600;102,1;103,44;104,880;105,117","101,456960;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300037,咎瓦尤斯,monster_name_3030003,2,"101,1766400;102,1;103,44;104,880;105,117","101,618240;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300038,咎瓦尤斯,monster_name_30300038,2,"101,7680;102,77;103,44;104,880;105,117;140,-200;6,100","101,2688;102,27;103,16;104,308;105,0","33000321,33000322",,"33000323,33000325",monster_battlename_30300038
30300039,咎瓦尤斯,monster_name_3030003,2,"101,2304000;102,1;103,44;104,880;105,117","101,806400;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300040,咎瓦尤斯,monster_name_3030003,2,"101,2918400;102,1;103,44;104,880;105,117","101,1021440;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300041,咎瓦尤斯,monster_name_3030003,2,"101,3609600;102,1;103,44;104,880;105,117","101,1263360;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
30300042,咎瓦尤斯,monster_name_3030003,2,"101,4377600;102,1;103,44;104,880;105,117","101,1532160;102,1;103,16;104,308;105,0","33000311,33000313,33000314",,33000316,monster_battlename_3030003
