Level,RoleRank,RoleLevel,RoleBreak,Item
1,3,300,,
2,3,620,,
3,3,970,,
4,3,1350,,
5,3,1760,,
6,3,2200,,
7,3,2660,,
8,3,3150,,
9,3,3670,,
10,3,4220,,
11,3,4800,,
12,3,5400,,
13,3,6030,,
14,3,6690,,
15,3,7380,,
16,3,8100,,
17,3,8840,,
18,3,9610,,
19,3,10410,,
20,3,11240,,
21,3,12100,,
22,3,12980,,
23,3,13890,,
24,3,14830,,
25,3,15800,,
26,3,16800,,
27,3,17820,,
28,3,18870,,
29,3,19950,,
30,3,22350,"1,2,3,4,5,6,7","1006101,8,1000003,4000;1006102,8,1000003,4000;1006103,8,1000003,4000;1006104,8,1000003,4000;1006105,8,1000003,4000;1006106,8,1000003,4000;1006107,8,1000003,4000"
31,3,24780,,
32,3,27250,,
33,3,29740,,
34,3,32270,,
35,3,34830,,
36,3,37420,,
37,3,40050,,
38,3,42700,,
39,3,45390,,
40,3,48100,,
41,3,50860,,
42,3,53650,,
43,3,56460,,
44,3,59310,,
45,3,62190,,
46,3,65100,,
47,3,68050,,
48,3,71020,,
49,3,74030,,
50,3,77070,,
51,3,80140,,
52,3,83250,,
53,3,86380,,
54,3,89550,,
55,3,92750,,
56,3,95980,,
57,3,99250,,
58,3,102540,,
59,3,105870,,
60,3,109230,,
61,3,112620,,
62,3,116050,,
63,3,119500,,
64,3,122990,,
65,3,126510,,
66,3,130060,,
67,3,133650,,
68,3,137260,,
69,3,140910,,
70,3,152190,"1,2,3,4,5,6,7","1006108,10,1000003,40000;1006109,10,1000003,40000;1006110,10,1000003,40000;1006111,10,1000003,40000;1006112,10,1000003,40000;1006113,10,1000003,40000;1006114,10,1000003,40000"
71,3,163510,,
72,3,174870,,
73,3,186270,,
74,3,197710,,
75,3,209190,,
76,3,220710,,
77,3,232270,,
78,3,243870,,
79,3,255510,,
80,3,267190,,
81,3,278910,,
82,3,290670,,
83,3,302470,,
84,3,314310,,
85,3,326190,,
86,3,338110,,
87,3,350070,,
88,3,362070,,
89,3,374110,,
90,3,386190,,
91,3,398310,,
92,3,410470,,
93,3,422670,,
94,3,434910,,
95,3,447190,,
96,3,459510,,
97,3,471870,,
98,3,484270,,
99,3,496710,,
100,3,509190,,
101,3,521710,,
102,3,534270,,
103,3,546870,,
104,3,559510,,
105,3,572190,,
106,3,584910,,
107,3,597670,,
108,3,610470,,
109,3,623310,,
110,3,636190,,
111,3,649110,,
112,3,662070,,
113,3,675070,,
114,3,688110,,
115,3,701190,,
116,3,714310,,
117,3,727470,,
118,3,740670,,
119,3,753910,,
120,3,767190,"1,2,3,4,5,6,7","1006115,12,1000003,90000;1006116,12,1000003,90000;1006117,12,1000003,90000;1006118,12,1000003,90000;1006119,12,1000003,90000;1006120,12,1000003,90000;1006121,12,1000003,90000"
121,3,783030,,
122,3,798950,,
123,3,814950,,
124,3,831030,,
125,3,847190,,
126,3,863430,,
127,3,879750,,
128,3,896150,,
129,3,912630,,
130,3,929190,,
131,3,945830,,
132,3,962550,,
133,3,979350,,
134,3,996230,,
135,3,1013190,,
136,3,1030230,,
137,3,1047350,,
138,3,1064550,,
139,3,1081830,,
140,3,1099230,,
141,3,1116750,,
142,3,1134390,,
143,3,1152150,,
144,3,1170030,,
145,3,1188030,,
146,3,1206150,,
147,3,1224390,,
148,3,1242750,,
149,3,1261230,,
150,3,1279830,,
151,3,1298550,,
152,3,1317390,,
153,3,1336350,,
154,3,1355430,,
155,3,1374630,,
156,3,1393950,,
157,3,1413390,,
158,3,1432950,,
159,3,1452630,,
160,3,1472470,,
161,3,1492470,,
162,3,1512630,,
163,3,1532950,,
164,3,1553430,,
165,3,1574070,,
166,3,1594870,,
167,3,1615830,,
168,3,1636950,,
169,3,1658230,,
170,3,1679670,,
171,3,1701270,,
172,3,1723030,,
173,3,1744950,,
174,3,1767030,,
175,3,1789270,,
176,3,1811670,,
177,3,1834230,,
178,3,1856950,,
179,3,1879830,,
180,3,2671830,,
181,3,2671830,,
182,3,2671830,,
183,3,2671830,,
184,3,2671830,,
185,3,,,
1,4,300,,
2,4,620,,
3,4,970,,
4,4,1350,,
5,4,1760,,
6,4,2200,,
7,4,2660,,
8,4,3150,,
9,4,3670,,
10,4,4220,,
11,4,4800,,
12,4,5400,,
13,4,6030,,
14,4,6690,,
15,4,7380,,
16,4,8100,,
17,4,8840,,
18,4,9610,,
19,4,10410,,
20,4,11240,,
21,4,12100,,
22,4,12980,,
23,4,13890,,
24,4,14830,,
25,4,15800,,
26,4,16800,,
27,4,17820,,
28,4,18870,,
29,4,19950,,
30,4,22350,"1,2,3,4,5,6,7","1006101,10,1000003,8000;1006102,10,1000003,8000;1006103,10,1000003,8000;1006104,10,1000003,8000;1006105,10,1000003,8000;1006106,10,1000003,8000;1006107,10,1000003,8000"
31,4,24780,,
32,4,27250,,
33,4,29740,,
