Id,,,,,Name,Condition,,Hide,Text,TriggerCondition,SaveBit,PopUps,Icon,ChannelLock
1,基础功能,,玩家信息,主界面玩家信息,FuncName_1,,,,,,,,,
2,基础功能,,广告,,FuncName_2,"101030,1",完成主线1-3开启,,,,,,,
3,基础功能,,公告,,FuncName_3,"101030,1",完成主线1-3开启,1,,,,,,
4,基础功能,,设置,,FuncName_4,"101030,1",完成主线1-3开启,1,,,,,,
5,基础功能,,物品跳转,物品跳转开关,FuncName_5,,,,,,,,,
6,基础功能,,好友,好友 获得来自朋友的帮助,FuncName_6,"102200,1",完成主线2-20开启,1,,,,,,
7,基础功能,,邮箱,邮箱 让诺姆来整理就好了,FuncName_7,"101030,1",完成主线1-3开启,,,,,,,
8,基础功能,,仓库,,FuncName_8,,,,,,,,,
9,基础功能,,任务,任务 可完通过成任务提升魔女来挑战试炼，获得奖励,FuncName_9,"101120,1",完成主线1-17开启,1,,,1,1,ui_yc_xh_xinqi_tc_icon_11_1,
10,基础功能,,召唤,召唤 通过向神献祭结晶，召唤星痕进行战斗,FuncName_10,"101030,1",完成主线1-3开启,,,,2,1,ui_yc_xh_xinqi_tc_icon_4_1,
11,基础功能,,签到,签到 克萝萝每天都会给你带来不同的惊喜,FuncName_11,"101030,1",完成主线1-3开启,,,,,,,
12,基础功能,,勋章,勋章 不同的勋章会给予你不同的能力,FuncName_12,"101270,1",完成主线1-24开启,,,,3,1,ui_yc_xh_xinqi_tc_icon_6_1,
14,基础功能,,聊天,聊天入口/气泡窗,FuncName_14,"102200,1",完成主线1-20开启,1,,,,,,-1
15,基础功能,,看板娘,,,,,,,,,,,
16,基础功能,,公告自动弹出,,FuncName_16,"101040,1",完成主线1-4开启,1,,,,,,
17,基础功能,,可选择简中,,,,可选择简中,,,,,,,"0,2,3,4,5"
18,基础功能,,可选择繁中,,,,可选择繁中,,,,,,,0
19,基础功能,,可选择韩语,,,,可选择韩语,,,,,,,-1
20,基础功能,,可选择日语,,,,可选择日语,,,,,,,"0,1"
21,基础功能,,可选择英语,,,,可选择英语,,,,,,,"0,2,3,4,5"
22,基础功能,,导航栏,,,,导航栏,1,,,,,,
23,基础功能,,头像信息框,,,,头像信息框,,,,,,,
24,基础功能,个性化,称号信息,个性化界面，个人信息界面，社交聊天，排行榜界面,,"101030,1",完成主线1-3开启,1,,,,,,0
101,养成,星痕,主功能列表,,FuncName_101,"101030,1",完成主线1-3开启,,,,,,,
102,养成,星痕,星痕档案,,FuncName_102,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
103,养成,星痕,星痕升级,现在可以消耗道具升级星痕啦！,FuncName_103,"101180,1",完成主线1-8开启,,,,4,,ui_yc_xh_xinqi_tc_icon_8_1,
104,养成,星痕,星痕技能,强化星痕的技能效果,FuncName_104,"102020,1",完成主线2-2开启,,,,,,,
105,养成,星痕,星痕突破,使星痕突破能力极限解锁星痕最大潜力提升等级上限,FuncName_105,,,,,,,,,
106,养成,星痕,觉醒,消耗道具对星痕进行觉醒，提升星痕能力,FuncName_106,"101030,1",完成主线1-3开启,,,,,,,
107,养成,星痕,好感度,,FuncName_107,,,,,,,,,
108,养成,星痕,心契突破,满级+满突破开启,FuncName_108,,,,,,,,,
109,养成,星痕,专武,,FuncName_109,"103200,1",完成主线3-20开启,1,,,5,1,,-1
110,养成,魔女,主功能列表,,FuncName_110,"101030,1",完成主线1-3开启,,,,,,,
111,养成,魔女,魔女档案,魔女档案 用于观察魔女的情况,FuncName_111,"101030,1",完成主线1-3开启,,,,,,,"0,2,3,4,5"
112,养成,魔女,升级,强化魔女的职业提升魔女战斗力,FuncName_112,"101170,1",完成主线1-6开启,,,,6,1,ui_yc_xh_xinqi_tc_icon_10_1,
113,养成,魔女,好感度,,FuncName_113,,,1,,,,,,-1
114,养成,魔女,魔女符文,,FuncName_114,"104120,1",完成主线4-12开启,,,,7,1,ui_yc_xh_xinqi_tc_icon_9_1,
115,养成,魔女,符文升级,,FuncName_115,"104120,1",完成主线4-12开启,,,,,,,
116,养成,魔女,符文洗炼,,FuncName_116,"104120,1",完成主线4-12开启,,,,,,,
117,养成,魔女,魔女饰品,可以自由穿脱饰品，及调整饰品样式和位置,FuncName_117,"101030,1",完成主线1-3开启,,,,,,,
118,养成,星痕,职介天赋,,FuncName_118,"105330,1",完成主线5-33开启,,,,,,,
119,养成,魔女,符文定向锁词条,,FuncName_119,"104120,1",完成主线4-12开启,1,,,,,,"0,2,3,4,5"
120,养成,魔女,魔女等级交换,,FuncName_120,"101030,1",完成主线1-3开启,,,,,,,"0,2,3,4,5"
121,养成,星痕,星痕等级重置,,FuncName_121,"101030,1",完成主线1-3开启,,,,,,,"0,2,3,4,5"
201,出击,出击,主功能,,FuncName_201,,,,,,,,,
202,出击,困难,困难关卡,解锁关卡困难模式,FuncName_202,"102280,1",完成主线2-28开启,,,,8,1,ui_yc_xh_xinqi_tc_icon_8_1,
203,出击,宝库之门,宝库之门,开启资源副本，注意实际副本在章表配置,FuncName_203,"101180,1",完成主线1-8开启,,,,9,1,ui_yc_xh_xinqi_tc_icon_9_1,
204,出击,圣别之塔,圣别之塔,,FuncName_204,,,1,,,,,ui_yc_xh_xinqi_tc_icon_3_1,-1
205,出击,幻梦之境,幻梦之境,开启幻梦之境,FuncName_205,"104240,1",完成主线4-24开启,,,,10,1,ui_yc_xh_xinqi_tc_icon_13_1,
206,出击,教学关卡,教学关卡,,FuncName_206,,,1,,,,,,-1
207,出击,狭间,回忆深潜,回忆深潜开启,FuncName_207,"105330,1",完成主线5-33开启,,,,11,1,ui_yc_xh_xinqi_tc_icon_14_1,
208,出击,多维策略,多维策略,多维策略,,,,1,,,,,,-1
209,出击,挑战关卡,挑战关卡,挑战关卡,,,,1,,,,,,-1
210,出击,多维策略,魔物列阵,魔物列阵,FuncName_210,"104240,1",完成主线4-24开启,,,,16,1,ui_yc_xh_xinqi_tc_icon_14_1,0
211,出击,宝库之门,突破-传道,,FuncName_211,"102020,1",完成主线2-2开启,,,,,,,
212,出击,宝库之门,符文之地,,FuncName_212,"104120,1",完成主线4-12开启,,,,,,,
301,战斗,,编队,主功能按钮,FuncName_301,,,,,,,,,
302,战斗,编队,第二魔女栏位,解锁编队中第二个魔女栏位,FuncName_302,,,,,,,,,
303,战斗,编队,第三魔女栏位,解锁编队中第三个魔女栏位,FuncName_303,,,,,,,,,
304,战斗,编队,加成效果,解锁编队中加成效果,FuncName_304,,,1,,,,,,-1
305,战斗,编队,支援星痕,解锁编队中支援星痕,FuncName_305,,,1,,,,,,-1
306,战斗,界面,设置克制提示解锁,设置克制提示解锁,FuncName_306,"101020,1",,1,,,,,,
307,战斗,界面,2倍速按钮解锁,2倍速按钮解锁,FuncName_307,"101030,1",,1,,,,,,
308,战斗,界面,设置界面中撤退按钮解锁,设置界面中撤退按钮解锁,FuncName_308,"101030,1",,1,,,,,,
309,战斗,界面,设置技能确认解锁,设置技能确认解锁,FuncName_309,"101030,1",,1,,,,,,
310,战斗,界面,自动战斗按钮解锁,自动战斗按钮解锁,FuncName_310,"101030,1",,1,,,,,,
311,战斗,编队,阵容推荐,阵容推荐,FuncName_311,,,1,,,,,,-1
312,战斗,战斗结算,再次挑战,,,"101040,1",完成主线1-4开启,1,,,,,,
313,战斗,编队,快捷操作（快捷编队）,快捷操作功能按钮（先关掉，以后优化成快捷编队）,FuncName_313,,,1,,,,,,-1
314,战斗,主界面,快捷主线,快捷主线,FuncName_314,,,1,,,,,,"0,2,3,4,5"
401,商店,,兑换结晶,兑换结晶功能,FuncName_401,"101030,1",完成主线1-3开启,,,,,,,"0,2,3,4,5"
402,商店,,购买结晶,主界面“+”号,FuncName_402,"101030,1",完成主线1-3开启,,,,,,,"0,2,3,4,5"
403,商店,,商店,商店入口,FuncName_403,"101030,1",完成主线1-3开启,,,,,,,
404,商店,推荐,推荐,,FuncName_404,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
405,商店,结晶商店,结晶商店,,FuncName_405,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
406,商店,礼包商店,礼包商店,礼包商店总开关,FuncName_406,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
407,商店,兑换商店,兑换商店,兑换商店总开关,FuncName_407,"101030,1",完成主线1-3开启,1,,,,,,
408,商店,日常商店,日常商店,日常商店总开关（global表9991020可以配置或条件）,FuncName_408,"101030,1",完成主线1-3开启,1,,,,,,
409,商店,礼包-特惠礼包,礼包-特惠礼包,,FuncName_409,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
410,商店,礼包-月卡,礼包-月卡,,FuncName_410,"101030,1",完成主线1-3开启,1,,,,,,-1
411,商店,兑换-基础,兑换-基础,,FuncName_411,"101030,1",完成主线1-3开启,,,,,,,
412,商店,兑换-蓝尖方,兑换-蓝尖方,,FuncName_412,"101030,1",完成主线1-3开启,,,,,,,
413,商店,兑换-绿尖方,兑换-绿尖方,,FuncName_413,"101030,1",完成主线1-3开启,,,,,,,
414,商店,兑换-混乱铭牌,兑换-混乱铭牌,,FuncName_414,,,1,,,,,,-1
415,商店,兑换-常驻,兑换-常驻,,FuncName_415,"101030,1",完成主线1-3开启,,,,,,,
416,商店,兑换-友情,兑换-友情,,FuncName_416,,,1,,,,,,-1
417,商店,日常-百货,日常-百货,,FuncName_417,"101030,1",完成主线1-3开启,1,,,,,,-1
418,商店,日常-收购,日常-收购,,FuncName_418,"101030,1",完成主线1-3开启,1,,,,,,-1
419,商店,付费钻商店,付费钻商店,,FuncName_419,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
420,商店,皮肤商店,皮肤商店,皮肤商店总开关,FuncName_420,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
421,商店,幻梦商店,幻梦商店,开启周本商店,FuncName_421,"104240,1",完成主线4-24开启,,,,,,,
422,商店,珍藏插画,珍藏插画,,FuncName_422,"101030,1",完成主线1-3开启,,,,,,,
423,商店,精品插画,精品插画,,FuncName_423,"101030,1",完成主线1-3开启,,,,,,,
424,商店,公会商店,公会商店,,FuncName_424,"102200,1",完成主线2-20开启,1,,,,,,
425,商店,商店年龄确认弹窗,商店年龄确认弹窗,,FuncName_425,,,,,,14,,,1
426,商店,特权卡,欧美特权卡,,FuncName_426,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
427,商店,等级礼包,等级礼包,,FuncName_427,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
428,商店,进阶礼包商店,进阶礼包商店701,,FuncName_428,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
429,商店,触发礼包商店,触发礼包商店702,,FuncName_429,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
501,档案室,,主功能,档案室,FuncName_501,"101140,1",完成主线1-20开启,,,,,,,"0,2,3,4,5"
502,档案室,,图鉴,图鉴,FuncName_502,"101140,1",完成主线1-20开启,,,,,,,"0,2,3,4,5"
503,档案室,,编年史,编年史,FuncName_503,"101140,1",完成主线1-20开启,,,,,,,"0,2,3,4,5"
504,档案室,,剧情回顾,剧情回顾,FuncName_504,"101140,1",完成主线1-20开启,,,,12,1,ui_yc_xh_xinqi_tc_icon_7_1,"0,2,3,4,5"
505,档案室,,音乐,音乐,FuncName_505,"102140,1",完成主线2-14开启,,,,,,,"0,2,3,4,5"
506,档案室,,阅历,阅历,FuncName_506,"101140,1",完成主线1-20开启,1,,,,,,-1
507,档案室,,教学引导,,FuncName_507,,,1,,,,,,-1
508,档案室,,收藏奖励,,FuncName_508,"101140,1",完成主线1-20开启,1,,,,,,
601,活动,侍主历练,主界面按钮,侍主历练,FuncName_601,"101030,1",完成主线1-3开启,,,,,,,
602,活动,侍主历练,新人签到,新人签到,FuncName_602,"101030,1",完成主线1-3开启,,,,,,,
603,活动,侍主历练,等级奖励,等级奖励,FuncName_603,"101030,1",完成主线1-3开启,,,,,,,
604,活动,侍主历练,阶段任务,阶段任务,FuncName_604,"101030,1",完成主线1-3开启,1,,,,,,
605,活动,侍主历练,成长基金,成长基金,FuncName_605,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
606,活动,侍主历练,5星3选1,初心之礼,FuncName_606,"101030,1",完成主线1-3开启,1,,,,,,
607,活动,侍主历练,送10连抽,星辉馈赠,FuncName_607,"101030,1",完成主线1-3开启,1,,,,,,
620,活动,战令,主界面按钮,战令,FuncName_620,"101120,1",完成主线1-17开启,1,,,,,,
621,活动,战令,战令1,星海纪闻,FuncName_621,"101120,1",完成主线1-17开启,1,,,,,,
622,活动,战令,战令2,预留战令,FuncName_622,,,1,,,,,,-1
623,活动,战令,战令3,预留战令,FuncName_623,,,1,,,,,,-1
631,活动,活动中心,主界面按钮,活动中心,FuncName_631,"101120,1",完成主线1-17开启,1,,,,,,
632,活动,活动中心,活动中心,日常任务,FuncName_632,"101120,1",完成主线1-17开启,1,,,,,,
633,活动,活动中心,活动中心,回忆深潜,FuncName_633,"101120,1",完成主线1-17开启,1,,,,,,
634,活动,活动中心,活动中心,幻梦之境,FuncName_634,"101120,1",完成主线1-17开启,1,,,,,,
635,活动,活动中心,活动中心,十日签到,FuncName_635,"101120,1",完成主线1-17开启,1,,,,,,0
636,活动,活动中心,活动中心,积分阶段任务,FuncName_636,"101120,1",完成主线1-17开启,1,,,,,,0
641,首冲,首冲,首冲-任意充值,首冲-任意充值,FuncName_641,"101030,1",完成主线1-3开启,1,,,,,,0
642,首冲,首冲,首冲直充6元,首冲直充6元,FuncName_642,"101030,1",完成主线1-3开启,1,,,,,,"0,2,3,4,5"
701,抽卡,抽卡,新手池,,FuncName_701,"101030,1",完成主线1-3开启,,,,,,,"0,2,3,4,5"
702,抽卡,抽卡,常驻池,新手池40抽以后开启,FuncName_702,,,,,,,,,
703,抽卡,抽卡,限定池,通关普通1-9后开启,FuncName_703,"101270,1",完成主线1-24开启,,,,,,,
704,抽卡,抽卡,武器池,,FuncName_704,"103200,1",完成主线3-20开启,1,,,,,ui_yc_xh_xinqi_tc_icon_14_1,-1
705,抽卡,抽卡,新手池（自选）,新手池的每周自选功能,FuncName_705,"101030,1",完成主线1-3开启,,,,,,,"0,2,3,4,5"
801,公会,公会,公会列表（主功能）,加入公会,FuncName_801,"102200,1",完成主线2-20开启,,,,15,,ui_yc_xh_xinqi_tc_icon_9_1,
802,公会,公会,公会信息,公会信息,FuncName_802,"102200,1",完成主线2-20开启,1,,,,,,
803,公会,公会,公会捐赠,公会捐赠,FuncName_803,"102200,1",完成主线2-20开启,1,,,,,,
804,公会,公会,公会任务,公会任务,FuncName_804,"102200,1",完成主线2-20开启,1,,,,,,
805,公会,公会,成员信息,成员信息,FuncName_805,"102200,1",完成主线2-20开启,1,,,,,,
806,公会,公会,公会活动,公会活动,FuncName_806,"102200,1",完成主线2-20开启,1,,,,,,
807,公会,公会,公会boss,公会boss,FuncName_807,"102200,1",完成主线2-20开启,1,,,,,,"0,2,3,4,5"
808,公会,公会,公会赛马,公会赛马,FuncName_808,"102200,1",完成主线2-20开启,1,,,,,,
901,主线关卡,01,无罪的米德加尔,无罪的米德加尔（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,,,,,,,
902,主线关卡,02,罪恶是影子,罪恶是影子（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,,,,,,,
903,主线关卡,03,真理之壤,真理之壤（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,,,,,,,
904,主线关卡,04,虚妄之花,虚妄之花（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,,,,,,,
905,主线关卡,05,欲望的潮汐,欲望的潮汐（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,"0,2,3,4,5"
906,主线关卡,06-序,非虚构戏剧-序,非虚构戏剧-序（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
907,主线关卡,06-上,非虚构戏剧-上,非虚构戏剧-上（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
908,主线关卡,06-下,非虚构戏剧-下,非虚构戏剧-下（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
909,主线关卡,07,神谕协奏曲,神谕协奏曲（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
910,主线关卡,08,爱的进化剧,爱的进化剧（章节id+900=章节解锁条件id，别问为什么是这样总之做成了这样）,,,,1,,,,,,-1
1001,新手引导,,跳过新手引导功能,,,,,1,,,,,,
1101,邮箱,邮箱皮肤,邮箱皮肤,邮箱皮肤开关,,,,1,,,,,,"0,2,3,4,5"
1010000,版本活动,锦世奇缘,主活动开放,,,"102020,1",完成主线2-2开启,,,,,,,
10202,版本活动,锦世奇缘,困难关卡开放,,,"102020,1",完成主线2-2开启,,,,,,,
