Id,Score,Matenum,Weight,LoseCompensate,MateCompensate,Reward,MatchTime,ScoreWin,ScoreLose,ScoreDraw
1,0,3,"100,0",10,1,0,15,60,15,30
2,60,3,"100,0",10,1,"10002,10;10003,10;10004,20;9202,1",15,60,15,30
3,120,3,"100,0",10,1,"11001,1;9203,1",15,60,15,30
4,180,3,"100,0",10,1,"10003,10;9204,1",15,60,15,30
5,240,3,"100,0",10,1,"11001,1;9205,1",15,60,15,30
6,300,3,"100,0",10,1,0,15,60,15,30
7,360,3,"100,0",10,1,"11001,1;9206,1",15,60,15,30
8,420,3,"100,0",10,1,"11001,2;9207,1",15,60,15,30
9,480,3,"100,0",10,1,"10004,20",15,60,15,30
10,540,5,"100,0",10,1,0,15,60,15,30
11,600,5,"100,0",10,1,"1,10000",15,60,15,30
12,660,5,"100,0",10,1,"1,11000",15,60,15,30
13,720,5,"100,0",10,1,"1,12000",15,60,15,30
14,780,5,"100,0",10,1,"1,13000",15,60,15,30
15,840,5,"100,0",10,2,"1,14000",15,60,15,30
16,900,5,"100,0",10,2,"1,15000",15,60,15,30
17,960,5,"100,0",10,2,"1,15000",15,60,15,30
18,1020,5,"100,0",10,2,"1,15000",15,60,15,30
