Id,RolePetId,PlotId,PlotName,ChatEventId,PlotTitle,PlotSubTitle,,Open
11001,3015008,5800001,libraryplot_rolepet_1,,,,牧 - 直行道,1
11002,3015002,5800002,libraryplot_rolepet_2,,,,丹妮 - 行于千年,1
11004,3016009,5800004,libraryplot_rolepet_4,,,,吉拉蒂亚 - 视以同观,1
11005,3015007,5800005,libraryplot_rolepet_5,,,,萨拉-问答,1
11007,3014025,5800007,libraryplot_rolepet_7,,,,安普莎-问爱为何,1
11010,3014022,5800010,libraryplot_rolepet_10,,,,丘吉尔-谁在造谣,1
11012,3015004,5800012,libraryplot_rolepet_12,,,,耶坦尼娅-蔷薇的秘密,1
11013,3016130,5800013,libraryplot_rolepet_13,,,,伊卡洛斯-起浪,1
11014,3014019,5800014,libraryplot_rolepet_14,,,,艾什尔-佣兵,1
11015,3013003,5800015,libraryplot_rolepet_15,,,,阿涅克丝-雷鸣妖兽,1
11016,3016011,5800016,libraryplot_rolepet_16,,,,卡萝琳-夜巡,1
11018,3013019,5800018,libraryplot_rolepet_18,,,,库萝心-偶像,1
11020,3014021,5800021,libraryplot_rolepet_20,,,,纳菲-天魔驾到,1
11021,3014001,5800022,libraryplot_rolepet_21,,,,普林普顿-昔日风引,0
11023,3014023,5800024,libraryplot_rolepet_23,,,,神光-远天灯盏,1
11024,3014020,5800025,libraryplot_rolepet_24,,,,阿波菲斯-巡城,1
11026,3013015,5800027,libraryplot_rolepet_26,,,,哀歌-雨物语,1
11029,3016078,5800030,libraryplot_rolepet_29,,,,昔莱-十指连心,1
11030,3014009,5800031,libraryplot_rolepet_30,,,,桃-未尽之梦,0
11031,3016024,5800032,libraryplot_rolepet_31,,,,塞蕾丝蒂娜-猫纸灯,0
11032,3016010,5800033,libraryplot_rolepet_32,,,,瑞比娅-破晓之前,0
11033,3016068,5800034,libraryplot_rolepet_33,,,,贝卡丝-启封的礼物,1
11034,3016020,5800037,libraryplot_rolepet_34,,,,奈奥米-寻宝游戏,0
11035,3016187,5800035,libraryplot_rolepet_35,,,,异邦波斯菊-心有千千结,0
11036,3013017,5800036,libraryplot_rolepet_36,,,,波斯菊-新叶,1
11037,3016016,5800038,libraryplot_rolepet_37,,,,露易丝-如愿所愿,0
11038,3016049,5800039,libraryplot_rolepet_38,,,,艾琳娜-答案,0
11039,3016188,5800040,libraryplot_rolepet_39,,,,极焰-不寐明星,0
11040,3014011,5800041,libraryplot_rolepet_40,,,,艾斯塔利亚-梦非梦,0
11041,3016023,5800044,libraryplot_rolepet_41,,,,佩内洛普-不可靠的史官,1
11042,3017001,5800042,libraryplot_rolepet_42,,,,雪泉-回忆之味,0
11043,3017002,5800043,libraryplot_rolepet_43,,,,雪不归-人间观察,0
11044,3014022,5800045,libraryplot_rolepet_44,,,,丘吉尔-爱神的特别访谈,1
11045,3013001,5800046,libraryplot_rolepet_45,,,,格蕾-女武神骑行,1
11046,3016189,5800047,libraryplot_rolepet_46,,,,塔嘉娜-悄悄话,0
