ID,,,,MonsterId,Attr,AttrGapRnd,Ability,RandomValue,RngAbility,RandomValue2,Skill,PassiveSkill
3040001,咒行鵺,咒行鵺魂屑(魔物蛋),精英,3040001,"30400011,30400012,30400013,30400014,30400015","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5","34000111,34000112,34000114,34000113","34000115,34000116"
3040002,夺心魔,夺心魔魂屑(魔物蛋),精英,3040002,"30400021,30400022,30400023,30400024,30400025","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5","34000211,34000213,34000214,34000215","34000216,34000217"
3040003,深渊刺,深渊刺魂屑(魔物蛋),精英,3040003,"30400031,30400032,30400033,30400034,30400035","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5","34000311,34000312,34000313,34000315,34000314",34000316
3040004,炽炎翼,炽炎翼魂屑(魔物蛋),精英,3040004,"30400041,30400042,30400043,30400044,30400045","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5","34000411,34000412,34000413,34000415,34000414",34000416
3040005,宁芙妖,宁芙妖魂屑(魔物蛋),精英,3040005,"30400051,30400052,30400053,30400054,30400055","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5","34000511,34000512,34000513,34000515,34000514","34000516,34000517"
3040006,噬命刃,噬命刃魂屑(魔物蛋),精英,3040006,"30400061,30400062,30400063,30400064,30400065","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5","34000611,34000612,34000613,34000614","34000615,34000616"
3040007,影巫女,影巫女魂屑(魔物蛋),精英,3040007,"30400071,30400072,30400073,30400074,30400075","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5","34000711,34000712,34000713,34000714","34000715,34000716"
3040016,妄兽,妄兽魂屑(魔物蛋),精英,3040016,"30400161,30400162,30400163,30400164,30400165","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30400161,祸兽,祸兽魂屑(魔物蛋),精英,30400161,"304001611,304001612,304001613,304001614,304001615","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3040017,婴狐,婴狐魂屑(魔物蛋),精英,3040017,"30400171,30400172,30400173,30400174,30400175","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30400171,狐魑,狐魑魂屑(魔物蛋),精英,30400171,"304001711,304001712,304001713,304001714,304001715","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050001,蝇斥候,蝇斥候魂屑(魔物蛋),小怪,3050001,"30500011,30500012,30500013,30500014,30500015","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500011,播疫妖蝇,播疫妖蝇魂屑(魔物蛋),小怪,30500011,"305000111,305000112,305000113,305000114,305000115","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500012,凋败妖蝇,凋败妖蝇魂屑(魔物蛋),小怪,30500012,"305000121,305000122,305000123,305000124,305000125","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050002,铁骑士,铁骑士魂屑(魔物蛋),小怪,3050002,"30500021,30500022,30500023,30500024,30500025","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500021,白银骑士,白银骑士魂屑(魔物蛋),小怪,30500021,"305000211,305000212,305000213,305000214,305000215","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500022,黄金骑士,黄金骑士魂屑(魔物蛋),小怪,30500022,"305000221,305000222,305000223,305000224,305000225","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050003,刃行者,刃行者魂屑(魔物蛋),小怪,3050003,"30500031,30500032,30500033,30500034,30500035","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500031,刃行怪,刃行怪魂屑(魔物蛋),小怪,30500031,"305000311,305000312,305000313,305000314,305000315","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500032,刃行魔,刃行魔魂屑(魔物蛋),小怪,30500032,"305000321,305000322,305000323,305000324,305000325","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
3050004,梦游羊圣光,梦游羊·苏生魂屑(魔物蛋),小怪,3050004,"30500041,30500042,30500043,30500044,30500045","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500041,梦游羊诅咒,梦游羊·幻魇魂屑(魔物蛋),小怪,30500041,"305000411,305000412,305000413,305000414,305000415","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
30500042,梦游羊祝福,梦游羊·白夜魂屑(魔物蛋),小怪,30500042,"305000421,305000422,305000423,305000424,305000425","1,4,12,17,20,17,14,10,4,1","40,2001;40,2011;20,2021",1,"40,2001;40,2011;20,2021","10,1;25,2;30,3;25,4;10,5",,
