SuitId,SuitLv,EquipNumber,,AttrRefix,SuitName,SuitDes,SuitIcon
1,1,2,天界光辉,"63001,1",SuitName_1_1,SuitDes_1_1,sp_11001_suit
1,2,4,天界光辉,"63002,1",SuitName_1_2,SuitDes_1_2,sp_11001_suit
2,1,2,上古之战的余声,"63003,1",SuitName_2_1,SuitDes_2_1,sp_11002_suit
2,2,4,上古之战的余声,"63004,1",SuitName_2_2,SuitDes_2_2,sp_11002_suit
3,1,2,战争传奇,"63005,1",SuitName_3_1,SuitDes_3_1,sp_11003_suit
3,2,4,战争传奇,"63006,1",SuitName_3_2,SuitDes_3_2,sp_11003_suit
4,1,2,努海尔人的航行,"63007,1",SuitName_4_1,SuitDes_4_1,sp_11004_suit
4,2,4,努海尔人的航行,"63008,1",SuitName_4_2,SuitDes_4_2,sp_11004_suit
5,1,2,深渊的嘲弄,"63009,1",SuitName_5_1,SuitDes_5_1,sp_11005_suit
5,2,4,深渊的嘲弄,"63010,1",SuitName_5_2,SuitDes_5_2,sp_11005_suit
6,1,2,卡里安希兰的庇护,"63011,1",SuitName_6_1,SuitDes_6_1,sp_11006_suit
6,2,4,卡里安希兰的庇护,"63012,1",SuitName_6_2,SuitDes_6_2,sp_11006_suit
7,1,2,艾雅之匕,"63013,1",SuitName_7_1,SuitDes_7_1,sp_11007_suit
7,2,4,艾雅之匕,"63014,1",SuitName_7_2,SuitDes_7_2,sp_11007_suit
8,1,2,幽夜的呢喃,"63015,1",SuitName_8_1,SuitDes_8_1,sp_11008_suit
8,2,4,幽夜的呢喃,"63016,1",SuitName_8_2,SuitDes_8_2,sp_11008_suit
9,1,2,净水圣杯,"63017,1",SuitName_9_1,SuitDes_9_1,sp_11009_suit
9,2,4,净水圣杯,"63018,1",SuitName_9_2,SuitDes_9_2,sp_11009_suit
10,1,2,教会的怜悯,"63019,1",SuitName_10_1,SuitDes_10_1,sp_11010_suit
10,2,4,教会的怜悯,"63020,1",SuitName_10_2,SuitDes_10_2,sp_11010_suit
11,1,2,先知的启示,"63021,1",SuitName_11_1,SuitDes_11_1,sp_11011_suit
11,2,4,先知的启示,"63022,1",SuitName_11_2,SuitDes_11_2,sp_11011_suit
12,1,2,巨龙的侵攻,"63023,1",SuitName_12_1,SuitDes_12_1,sp_11012_suit
12,2,4,巨龙的侵攻,"63024,1",SuitName_12_2,SuitDes_12_2,sp_11012_suit
13,1,2,黑石议会之令,"63025,1",SuitName_13_1,SuitDes_13_1,sp_21001_suit
13,2,4,黑石议会之令,"63026,1",SuitName_13_2,SuitDes_13_2,sp_21001_suit
14,1,2,燎原之火,"63027,1",SuitName_14_1,SuitDes_14_1,sp_21002_suit
14,2,4,燎原之火,"63028,1",SuitName_14_2,SuitDes_14_2,sp_21002_suit
15,1,2,萨拉的审判,"63029,1",SuitName_15_1,SuitDes_15_1,sp_21003_suit
15,2,4,萨拉的审判,"63030,1",SuitName_15_2,SuitDes_15_2,sp_21003_suit
16,1,2,希楠聚落的崛起,"63031,1",SuitName_16_1,SuitDes_16_1,sp_21004_suit
16,2,4,希楠聚落的崛起,"63032,1",SuitName_16_2,SuitDes_16_2,sp_21004_suit
17,1,2,巨树之果,"63033,1",SuitName_17_1,SuitDes_17_1,sp_21005_suit
17,2,4,巨树之果,"63034,1",SuitName_17_2,SuitDes_17_2,sp_21005_suit
18,1,2,帕尔斯的坚毅,"63035,1",SuitName_18_1,SuitDes_18_1,sp_21006_suit
18,2,4,帕尔斯的坚毅,"63036,1",SuitName_18_2,SuitDes_18_2,sp_21006_suit
19,1,2,修格斯精炼,"63037,1",SuitName_19_1,SuitDes_19_1,sp_32001_suit
19,2,4,修格斯精炼,"63038,1",SuitName_19_2,SuitDes_19_2,sp_32001_suit
20,1,2,西努之盾,"63039,1",SuitName_20_1,SuitDes_20_1,sp_32002_suit
20,2,4,西努之盾,"63040,1",SuitName_20_2,SuitDes_20_2,sp_32002_suit
21,1,2,漆黑穹顶之心,"63041,1",SuitName_21_1,SuitDes_21_1,sp_32003_suit
21,2,4,漆黑穹顶之心,"63042,1",SuitName_21_2,SuitDes_21_2,sp_32003_suit
