Id,,TitleName,Birthday,Like,Height,Weight,Race,Positioning,PositioningTip,CvCn,CvJp,Limner,LikeStoryTitle,LikeStoryDesc,LikeStoryCondition,LikeStoryConditionText,ConditionCheck
3000000,莉莉娅,role_titlename_3000000,0,0,0,0,role_race_1,0,,cv_30000000,cv_30000001,artist_3000000,0,0,0,,
3000001,律,role_titlename_3000001,11/19/FE·1735,role_like_3000001,163,47000,role_race_1,role_positioning_1,,cv_30000010,cv_30000011,artist_3000001,"role_likestorytitle_1,role_likestorytitle_2,role_likestorytitle_3,role_likestorytitle_4,role_likestorytitle_5","role_likestory_3000001_1,role_likestory_3000001_2,role_likestory_3000001_3,role_likestory_3000001_4,role_likestory_3000001_5","0;0;3000001,2;3000001,4;3000001,6","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22","0,8,9,10"
3000002,克萝萝,role_titlename_3000002,5/5/FE·1750,role_like_3000002,137,35000,role_race_1,role_positioning_2,,cv_30000020,cv_30000021,artist_3000002,"role_likestorytitle_1,role_likestorytitle_2,role_likestorytitle_3,role_likestorytitle_4,role_likestorytitle_5","role_likestory_3000002_1,role_likestory_3000002_2,role_likestory_3000002_3,role_likestory_3000002_4,role_likestory_3000002_5","0;0;3000002,2;3000002,4;3000002,6","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22","0,8,9,10"
3000003,黑神月咏,role_titlename_3000003,6/29/FE·1732,role_like_3000003,167,50000,role_race_1,role_positioning_3,,cv_30000030,cv_30000031,artist_3000003,"role_likestorytitle_1,role_likestorytitle_2,role_likestorytitle_3,role_likestorytitle_4,role_likestorytitle_5","role_likestory_3000003_1,role_likestory_3000003_2,role_likestory_3000003_3,role_likestory_3000003_4,role_likestory_3000003_5","0;0;3000003,2;3000003,4;3000003,6","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22","0,8,9,10"
3000004,安洁,role_titlename_3000004,12/25/FE·1733,role_like_3000004,159,44000,role_race_1,role_positioning_4,,cv_30000040,cv_30000041,artist_3000004,"role_likestorytitle_1,role_likestorytitle_2,role_likestorytitle_3,role_likestorytitle_4,role_likestorytitle_5","role_likestory_3000004_1,role_likestory_3000004_2,role_likestory_3000004_3,role_likestory_3000004_4,role_likestory_3000004_5","0;0;3000004,2;3000004,4;3000004,6","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22","0,8,9,10"
3000005,米娅,role_titlename_3000005,4/17/FE·1734,role_like_3000005,165,53000,role_race_1,role_positioning_5,,cv_30000050,cv_30000051,artist_3000005,"role_likestorytitle_1,role_likestorytitle_2,role_likestorytitle_3,role_likestorytitle_4,role_likestorytitle_5","role_likestory_3000005_1,role_likestory_3000005_2,role_likestory_3000005_3,role_likestory_3000005_4,role_likestory_3000005_5","0;0;3000005,2;3000005,4;3000005,6","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22","0,8,9,10"
3000006,玛莎,role_titlename_3000006,11/19/FE·1707,role_like_3000006,164,49000,role_race_1,role_positioning_6,,cv_30000060,cv_30000061,artist_3000006,"role_likestorytitle_1,role_likestorytitle_2,role_likestorytitle_3,role_likestorytitle_4,role_likestorytitle_5","role_likestory_3000006_1,role_likestory_3000006_2,role_likestory_3000006_3,role_likestory_3000006_4,role_likestory_3000006_5","0;0;3000006,2;3000006,4;3000006,6","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22","0,8,9,10"
3013001,格蕾,role_titlename_3013001,8/31/SE·204,role_like_3013001,165,140,role_race_05,role_positioning_7,"role_positioning_13,606060,role_positioning_13_tip;role_positioning_18,d02e46,role_positioning_18_tip",cv_30130010,cv_30130011,artist_3013001,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013001_1,role_likestory_3013001_2,role_likestory_3013001_3,role_likestory_3013001_4,role_likestory_3013001_5","0;3013001,1;3013001,4;3013001,7;3013001,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013003,阿涅克丝,role_titlename_3013003,11/23/TE·4511,role_like_3013003,165,55000,role_race_06,role_positioning_8,"role_positioning_10,d02e46,role_positioning_10_tip;role_positioning_14,e7cf1e,role_positioning_14_tip",cv_30130030,cv_30130031,artist_3013003,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10","role_likestory_3013003_1,role_likestory_3013003_2,role_likestory_3013003_3,role_likestory_3013003_4,role_likestory_3013003_5","0;3013003,1;3013003,4;3013003,7;3013003,10","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22",
3013004,炽爱,role_titlename_3013004,6/22/SE·22337,role_like_3013004,161,180,role_race_07,role_positioning_7,"role_positioning_18,d02e46,role_positioning_18_tip;role_positioning_20,1670d6,role_positioning_20_tip;role_positioning_27,d02e46,role_positioning_27_tip",cv_30130040,cv_30130041,artist_3013004,"role_likestorytitle_6,role_likestorytitle_7,role_likestorytitle_8,role_likestorytitle_9,role_likestorytitle_10,filestitle_301300401","role_likestory_3013004_1,role_likestory_3013004_2,role_likestory_3013004_3,role_likestory_3013004_4,role_likestory_3013004_5,filesstory_301300401","0;3013004,1;3013004,4;3013004,7;3013004,10;18298,1","ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,ui_rolepet_22,files_unlock_301300401",
