Level,RoleRank,RoleLevel,RoleBreak,Item
1,3,300,,
2,3,320,,
3,3,350,,
4,3,380,,
5,3,410,,
6,3,440,,
7,3,460,,
8,3,490,,
9,3,520,,
10,3,550,,
11,3,580,,
12,3,600,,
13,3,630,,
14,3,660,,
15,3,690,,
16,3,720,,
17,3,740,,
18,3,770,,
19,3,800,,
20,3,830,,
21,3,860,,
22,3,880,,
23,3,910,,
24,3,940,,
25,3,970,,
26,3,1000,,
27,3,1020,,
28,3,1050,,
29,3,1080,,
30,3,2400,"1,2,3,4,5,6,7","1006101,8,1000003,4000;1006102,8,1000003,4000;1006103,8,1000003,4000;1006104,8,1000003,4000;1006105,8,1000003,4000;1006106,8,1000003,4000;1006107,8,1000003,4000"
31,3,2430,,
32,3,2470,,
33,3,2490,,
34,3,2530,,
35,3,2560,,
36,3,2590,,
37,3,2630,,
38,3,2650,,
39,3,2690,,
40,3,2720,,
41,3,2750,,
42,3,2790,,
43,3,2810,,
44,3,2850,,
45,3,2880,,
46,3,2910,,
47,3,2950,,
48,3,2970,,
49,3,3010,,
50,3,3040,,
51,3,3070,,
52,3,3110,,
53,3,3130,,
54,3,3170,,
55,3,3200,,
56,3,3230,,
57,3,3270,,
58,3,3290,,
59,3,3330,,
60,3,3360,,
61,3,3390,,
62,3,3430,,
63,3,3450,,
64,3,3490,,
65,3,3520,,
66,3,3550,,
67,3,3590,,
68,3,3610,,
69,3,3650,,
70,3,11280,"1,2,3,4,5,6,7","1006108,10,1000003,40000;1006109,10,1000003,40000;1006110,10,1000003,40000;1006111,10,1000003,40000;1006112,10,1000003,40000;1006113,10,1000003,40000;1006114,10,1000003,40000"
71,3,11320,,
72,3,11360,,
73,3,11400,,
74,3,11440,,
75,3,11480,,
76,3,11520,,
77,3,11560,,
78,3,11600,,
79,3,11640,,
80,3,11680,,
81,3,11720,,
82,3,11760,,
83,3,11800,,
84,3,11840,,
85,3,11880,,
86,3,11920,,
87,3,11960,,
88,3,12000,,
89,3,12040,,
90,3,12080,,
91,3,12120,,
92,3,12160,,
93,3,12200,,
94,3,12240,,
95,3,12280,,
96,3,12320,,
97,3,12360,,
98,3,12400,,
99,3,12440,,
100,3,12480,,
101,3,12520,,
102,3,12560,,
103,3,12600,,
104,3,12640,,
105,3,12680,,
106,3,12720,,
107,3,12760,,
108,3,12800,,
109,3,12840,,
110,3,12880,,
111,3,12920,,
112,3,12960,,
113,3,13000,,
114,3,13040,,
115,3,13080,,
116,3,13120,,
117,3,13160,,
118,3,13200,,
119,3,13240,,
120,3,13280,"1,2,3,4,5,6,7","1006115,12,1000003,90000;1006116,12,1000003,90000;1006117,12,1000003,90000;1006118,12,1000003,90000;1006119,12,1000003,90000;1006120,12,1000003,90000;1006121,12,1000003,90000"
121,3,15840,,
122,3,15920,,
123,3,16000,,
124,3,16080,,
125,3,16160,,
126,3,16240,,
127,3,16320,,
128,3,16400,,
129,3,16480,,
130,3,16560,,
131,3,16640,,
132,3,16720,,
133,3,16800,,
134,3,16880,,
135,3,16960,,
136,3,17040,,
137,3,17120,,
138,3,17200,,
139,3,17280,,
140,3,17400,,
141,3,17520,,
142,3,17640,,
143,3,17760,,
144,3,17880,,
145,3,18000,,
146,3,18120,,
147,3,18240,,
148,3,18360,,
149,3,18480,,
150,3,18600,,
151,3,18720,,
152,3,18840,,
153,3,18960,,
154,3,19080,,
155,3,19200,,
156,3,19320,,
157,3,19440,,
158,3,19560,,
159,3,19680,,
160,3,19840,,
161,3,20000,,
162,3,20160,,
163,3,20320,,
164,3,20480,,
165,3,20640,,
166,3,20800,,
167,3,20960,,
168,3,21120,,
169,3,21280,,
170,3,21440,,
171,3,21600,,
172,3,21760,,
173,3,21920,,
174,3,22080,,
175,3,22240,,
176,3,22400,,
177,3,22560,,
178,3,22720,,
179,3,22880,,
180,3,792000,,
181,3,792000,,
182,3,792000,,
183,3,792000,,
184,3,792000,,
185,3,,,
1,4,330,,
2,4,370,,
3,4,390,,
4,4,430,,
5,4,460,,
6,4,490,,
7,4,520,,
8,4,560,,
9,4,580,,
10,4,620,,
11,4,650,,
12,4,680,,
13,4,710,,
14,4,740,,
15,4,770,,
16,4,810,,
17,4,840,,
18,4,860,,
19,4,900,,
20,4,940,,
21,4,960,,
22,4,990,,
23,4,1030,,
24,4,1060,,
25,4,1090,,
26,4,1120,,
27,4,1150,,
28,4,1180,,
29,4,1220,,
30,4,2700,"1,2,3,4,5,6,7","1006101,10,1000003,8000;1006102,10,1000003,8000;1006103,10,1000003,8000;1006104,10,1000003,8000;1006105,10,1000003,8000;1006106,10,1000003,8000;1006107,10,1000003,8000"
31,4,2730,,
32,4,2770,,
33,4,2810,,
34,4,2850,,
35,4,2880,,
36,4,2910,,
37,4,2950,,
38,4,2990,,
39,4,3030,,
40,4,3060,,
41,4,3090,,
42,4,3130,,
43,4,3170,,
44,4,3210,,
45,4,3240,,
46,4,3270,,
47,4,3310,,
48,4,3350,,
49,4,3390,,
50,4,3420,,
51,4,3450,,
52,4,3490,,
53,4,3530,,
54,4,3570,,
55,4,3600,,
56,4,3630,,
57,4,3670,,
58,4,3710,,
59,4,3750,,
60,4,3780,,
61,4,3810,,
62,4,3850,,
63,4,3890,,
64,4,3930,,
65,4,3960,,
66,4,3990,,
67,4,4030,,
68,4,4070,,
69,4,4110,,
70,4,12690,"1,2,3,4,5,6,7","1006108,12,1000003,60000;1006109,12,1000003,60000;1006110,12,1000003,60000;1006111,12,1000003,60000;1006112,12,1000003,60000;1006113,12,1000003,60000;1006114,12,1000003,60000"
71,4,12730,,
72,4,12780,,
73,4,12830,,
74,4,12870,,
75,4,12910,,
76,4,12960,,
77,4,13010,,
78,4,13050,,
79,4,13090,,
80,4,13140,,
81,4,13190,,
82,4,13230,,
83,4,13270,,
84,4,13320,,
85,4,13370,,
86,4,13410,,
87,4,13450,,
88,4,13500,,
89,4,13550,,
90,4,13590,,
91,4,13630,,
92,4,13680,,
93,4,13730,,
94,4,13770,,
95,4,13810,,
96,4,13860,,
97,4,13910,,
98,4,13950,,
99,4,13990,,
100,4,14040,,
101,4,14090,,
102,4,14130,,
103,4,14170,,
104,4,14220,,
105,4,14270,,
106,4,14310,,
107,4,14350,,
108,4,14400,,
109,4,14450,,
110,4,14490,,
111,4,14530,,
112,4,14580,,
113,4,14630,,
114,4,14670,,
115,4,14710,,
116,4,14760,,
117,4,14810,,
118,4,14850,,
119,4,14890,,
120,4,14940,"1,2,3,4,5,6,7","1006115,15,1000003,140000;1006116,15,1000003,140000;1006117,15,1000003,140000;1006118,15,1000003,140000;1006119,15,1000003,140000;1006120,15,1000003,140000;1006121,15,1000003,140000"
121,4,17820,,
122,4,17910,,
123,4,18000,,
124,4,18090,,
125,4,18180,,
126,4,18270,,
127,4,18360,,
128,4,18450,,
129,4,18540,,
130,4,18630,,
131,4,18720,,
132,4,18810,,
133,4,18900,,
134,4,18990,,
135,4,19080,,
136,4,19170,,
137,4,19260,,
138,4,19350,,
139,4,19440,,
140,4,19580,,
141,4,19710,,
142,4,19840,,
143,4,19980,,
144,4,20120,,
145,4,20250,,
146,4,20380,,
147,4,20520,,
148,4,20660,,
149,4,20790,,
150,4,20920,,
151,4,21060,,
152,4,21200,,
153,4,21330,,
154,4,21460,,
155,4,21600,,
156,4,21740,,
157,4,21870,,
158,4,22000,,
159,4,22140,,
160,4,22320,,
161,4,22500,,
162,4,22680,,
163,4,22860,,
164,4,23040,,
165,4,23220,,
166,4,23400,,
167,4,23580,,
168,4,23760,,
169,4,23940,,
170,4,24120,,
171,4,24300,,
172,4,24480,,
173,4,24660,,
174,4,24840,,
175,4,25020,,
176,4,25200,,
177,4,25380,,
178,4,25560,,
179,4,25740,,
180,4,891000,,
181,4,891000,,
182,4,891000,,
183,4,891000,,
184,4,891000,,
185,4,,,
1,5,370,,
2,5,405,,
3,5,440,,
4,5,475,,
5,5,510,,
6,5,545,,
7,5,580,,
8,5,615,,
9,5,650,,
10,5,685,,
11,5,720,,
12,5,755,,
13,5,790,,
14,5,825,,
15,5,860,,
16,5,895,,
17,5,930,,
18,5,965,,
19,5,1000,,
20,5,1035,,
21,5,1070,,
22,5,1105,,
23,5,1140,,
24,5,1175,,
25,5,1210,,
26,5,1245,,
27,5,1280,,
28,5,1315,,
29,5,1350,,
30,5,3000,"1,2,3,4,5,6,7","1006101,12,1000003,12000;1006102,12,1000003,12000;1006103,12,1000003,12000;1006104,12,1000003,12000;1006105,12,1000003,12000;1006106,12,1000003,12000;1006107,12,1000003,12000"
31,5,3040,,
32,5,3080,,
33,5,3120,,
34,5,3160,,
35,5,3200,,
36,5,3240,,
37,5,3280,,
38,5,3320,,
39,5,3360,,
40,5,3400,,
41,5,3440,,
42,5,3480,,
43,5,3520,,
44,5,3560,,
45,5,3600,,
46,5,3640,,
47,5,3680,,
48,5,3720,,
49,5,3760,,
50,5,3800,,
51,5,3840,,
52,5,3880,,
53,5,3920,,
54,5,3960,,
55,5,4000,,
56,5,4040,,
57,5,4080,,
58,5,4120,,
59,5,4160,,
60,5,4200,,
61,5,4240,,
62,5,4280,,
63,5,4320,,
64,5,4360,,
65,5,4400,,
66,5,4440,,
67,5,4480,,
68,5,4520,,
69,5,4560,,
