id	activityId	upperLimit	reward	rewardNum	bossID	status
int	int	int	int	int	int	int
5000101	1	400000	4190001;3000003	500;100000	1133991	1
5000102	1	700000	4190001;3000003	500;150000	1133991	1
5000103	1	1000000	4190001;3000003	1000;200000	1133991	1
5000104	1	1500000	4190001;3000003	1000;250000	1133991	1
5000105	1	2000000	4190001;3000003	1000;300000	1133991	1
5000106	1	2500000	4190001;3000003	1000;350000	1133991	1
5000201	2	50000	9013002	10	1133991	1
5000202	2	100000	9013002	10	1133991	1
5000203	2	200000	9013002	10	1133991	1
5000204	2	300000	9013002	20	1133991	1
5000205	2	400000	9013002	20	1133991	1
5000206	2	500000	9013002	20	1133991	1
5000207	2	600000	9013002	30	1133991	1
5000208	2	700000	9013002	30	1133991	1
5000209	2	800000	9013002	30	1133991	1
5000210	2	900000	9013002	40	1133991	1
5000211	2	1000000	9013002	40	1133991	1
5000212	2	1100000	9013002	40	1133991	1
5000213	2	1200000	9013002	50	1133991	1
5000214	2	1300000	9013002	50	1133991	1
5000215	2	1500000	9013002	50	1133991	1
5000301	3	400000	4190001;3000003	200;100000	1133991	1
5000302	3	700000	4190001;3000003	200;150000	1133991	1
5000303	3	1000000	4190001;3000003	500;200000	1133991	1
5000304	3	1500000	4190001;3000003	500;250000	1133991	1
5000305	3	2000000	4190001;3000003	500;300000	1133991	1
5000306	3	2500000	4190001;3000003	500;350000	1133991	1
