id	activityId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	100	1	6210026;6220022;3000003	1;1;500000	90023	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
2	1	1	5	2	6210026;6220022;3000003	1;1;300000	90024	1	5%	5%	5%	5%	5%	5%
3	1	6	50	2	6220022;3000003	1;200000	90025	1	50%	50%	50%	50%	50%	50%
4	1	51	100	2	3000003	100000	90026	1	100%	100%	100%	100%	100%	100%
5	2	1	100	1	6220048;6210058;3000003	1;1;500000	90085	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
6	2	1	5	2	6220048;6210058;3000003	1;1;300000	90086	1	5%	5%	5%	5%	5%	5%
7	2	6	50	2	6220048;3000003	1;200000	90087	1	50%	50%	50%	50%	50%	50%
8	2	51	100	2	3000003	100000	90088	1	100%	100%	100%	100%	100%	100%
9	3	1	100	1	6210066;6220060;3000003	1;1;500000	90023	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
10	3	1	5	2	6210066;6220060;3000003	1;1;300000	90024	1	5%	5%	5%	5%	5%	5%
11	3	6	50	2	6220060;3000003	1;200000	90025	1	50%	50%	50%	50%	50%	50%
12	3	51	100	2	3000003	100000	90026	1	100%	100%	100%	100%	100%	100%
