id	activityId	questId	groupId	siteType	tagLoc	tagId	tagOr	lineType	startLoc	endLoc	lightTag	status
int	int	int	int	int	int	int	int	int	int	int	int	int
41101101	1	12015010	2110101	1	1;7	31101101						1
41101102	1	12015010	2110101	1	1;5	31101102						1
41101103	1	12015010	2110101	1	1;3	31101103						1
41101104	1	12015010	2110101	1	1;1	31101104						1
41101105	1	12015010	2110101	1	2;7	31101105	110101					1
41101106	1	12015010	2110101	1	2;5	31101106	110101					1
41101107	1	12015010	2110101	1	2;3	31101107	110102					1
41101108	1	12015010	2110101	1	2;1	31101108	110102					1
41101109	1	12015010	2110101	1	3;7	31101109	110103					1
41101110	1	12015010	2110101	1	3;5	31101110	110103					1
41101111	1	12015010	2110101	1	3;3	31101111	110104					1
41101112	1	12015010	2110101	1	3;1	31101112	110104					1
41101113	1	12015010	2110101	1	4;4	31101113						1
41101114	1	12015010	2110101	1	5;7	31101114	110105					1
41101115	1	12015010	2110101	1	5;5	31101115	110105					1
41101116	1	12015010	2110101	1	5;3	31101116	110106					1
41101117	1	12015010	2110101	1	5;1	31101117	110106					1
41101118	1	12015010	2110101	1	6;7	31101118	110107					1
41101119	1	12015010	2110101	1	6;5	31101119	110107					1
41101120	1	12015010	2110101	1	6;3	31101120	110108					1
41101121	1	12015010	2110101	1	6;1	31101121	110108					1
41101122	1	12015010	2110101	2	1;7			4	1;7	1;5	41101101;41101102	1
41101123	1	12015010	2110101	2	1;6			5	1;6	1;6	41101101;41101102	1
41101124	1	12015010	2110101	2	1;3			4	1;3	1;1	41101103;41101104	1
41101125	1	12015010	2110101	2	1;2			5	1;2	1;2	41101103;41101104	1
41101126	1	12015010	2110101	2	2;6			3	2;6	2;6	41101105;41101116	1
41101127	1	12015010	2110101	2	2;2			3	2;2	2;2	41101107;41101108	1
41101128	1	12015010	2110101	2	3;6			4	3;6	3;2	41101109;41101110;41101111;41101112	1
41101129	1	12015010	2110101	2	3;4			5	3;4	3;4	41101109;41101110;41101111;41101112	1
41101130	1	12015010	2110101	2	4;6			2	4;6	4;2	41101113	1
41101131	1	12015010	2110101	2	4;4			1	4;4	4;4	41101113	1
41101132	1	12015010	2110101	2	5;6			3	5;6	5;6	41101114;41101115	1
41101133	1	12015010	2110101	2	5;2			3	5;2	5;2	41101116;41101117	1
41101134	1	12015010	2110102	1	1;6	31101122						1
41101135	1	12015010	2110102	1	1;2	31101129						1
