id	type	level	attribute	changeId	changeNum	isNew	pic	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
5910001		1	3;4;2;2	3000029	10		188:activity_poker_cards_5910001	1	垃圾恶毒者	垃圾惡毒者	Garbage Plaguer	悪辣ゴミ	빌런 쓰레기통	ขยะจอมอาฆาต
5910002		1	5;2;2;3	3000029	10		188:activity_poker_cards_5910002	1	铁皮巡逻者	鐵皮巡邏者	Iron Sentinel	ブリキのパトローラー	아이언 패트롤	สตีลเซ็นทรี
5910003		1	4;4;1;1	3000029	10		188:activity_poker_cards_5910003	1	爆米花平板	爆米花平板	Popcorn Tablet	ポップコーンタブレット	팝콘 태블릿	ป๊อปคอร์นแท็บเล็ต
5910004		1	2;3;4;2	3000029	10		188:activity_poker_cards_5910004	1	咬咬恶猫	咬咬惡貓	Snapping Kitty	カミカミ猫	악묘 깨물기	ดีมอนแคท
5910005	3	1	6;1;2;1	3000029	10		188:activity_poker_cards_5910005	1	拳击贩售机	拳擊販售機	Boxing Automat	ボクシング販売機	권투 게임기	มินิบ็อกเซอร์
5910006		1	1;1;1;7	3000029	10		188:activity_poker_cards_5910006	1	妖怪信号灯	妖怪信號燈	Spook Light	妖怪信号機	요괴 신호등	สัญญาณไฟแห่งอสูร
5910007		1	2;3;4;3	3000029	10		188:activity_poker_cards_5910007	1	干扰放射者	干擾放射者	Flux Emitter	干渉者	방사선 레이더	ผู้ส่งคลื่นรบกวน
5910008		1	3;4;3;3	3000029	10		188:activity_poker_cards_5910008	1	无面涂鸦犬	無面塗鴉犬	Faceless Tagger Hound	顔なき落書き犬	낙서견	กราฟฟิตี้ด็อก
5910009		1	2;2;3;3	3000029	10		188:activity_poker_cards_5910009	1	恶笑木马	惡笑木馬	Grinning Carousel	悪笑木馬	비웃는 목마	ม้าไม้ปีศาจ
5910010		1	3;2;2;3	3000029	10		188:activity_poker_cards_5910010	1	恶魔777	惡魔777	Demon 777	悪魔777	데블 777	ปีศาจ 777
5920001	3	2	2;5;5;2	3000029	20		188:activity_poker_cards_5920001	1	兰斯洛特	蘭斯洛特	Lancelot	ランスロット	랜슬롯	แลนสล็อต
5920002		2	5;2;2;5	3000029	20		188:activity_poker_cards_5920002	1	特里斯坦	特里斯坦	Tristan	トリスタン	트리스탄	ทริสแทน
5920003	5	2	5;5;2;2	3000029	20		188:activity_poker_cards_5920003	1	高文	高文	Gawain	ガウェイン	가웨인	กาวิน
5920004		2	5;4;2;2	3000029	20		188:activity_poker_cards_5920004	1	鲍斯	鮑斯	Bors	ボールス	바르시	โบออร์ส
5920005		2	4;5;2;2	3000029	20		188:activity_poker_cards_5920005	1	加拉哈德	加拉哈德	Galahad	ガラハッド	갈라하드	กาลาฮัด
5920006		2	2;4;5;1	3000029	20		188:activity_poker_cards_5920006	1	梅林	梅林	Merlin	マーリン	멀린	เมอร์ลิน
5920007	5	2	1;2;4;5	3000029	20		188:activity_poker_cards_5920007	1	薇薇安	薇薇安	Viviane	ヴィヴィアン	비비안	วิเวียน
5920008		2	5;1;2;4	3000029	20		188:activity_poker_cards_5920008	1	尤文	尤文	Ywain	オーワイン	유원	ยูเวน
5920009		2	4;1;1;5	3000029	20		188:activity_poker_cards_5920009	1	帕西瓦尔	帕西瓦爾	Percival	パーシヴァル	퍼시벨	เพอร์ซิวาล
5920010		2	1;3;5;3	3000029	20		188:activity_poker_cards_5920010	1	杰兰特	杰蘭特	Geraint	ゲライント	제란트	เจรันท์
5920011		2	1;5;3;3	3000029	20		188:activity_poker_cards_5920011	1	贝德维尔	貝德維爾	Bedivere	ベディヴィア	베드미르	เบดิเวียร์
5920012		2	1;5;3;4	3000029	20		188:activity_poker_cards_5920012	1	兰马洛克	蘭馬洛克	Lamorak	ラモラック	란마로크	แลมบาร็อค
5920013		2	4;4;1;4	3000029	20		188:activity_poker_cards_5920013	1	凯	凱	Kay	ケイ	카이	เคย์
5920014	3	2	3;3;4;1	3000029	20		188:activity_poker_cards_5920014	1	加赫里斯	加赫里斯	Gaheris	ガヘリス	가헤리스	กาเฮอริส
5920015		2	3;4;2;4	3000029	20		188:activity_poker_cards_5920015	1	加雷斯	加雷斯	Gareth	ガレス	가레스	กาเร็ธ
5930001		3	7;3;1;7	3000029	60		188:activity_poker_cards_5930001	1	万事通	萬事通	Jack of All Trades	何でも屋	척척박사	กูรูสารพัดเรื่อง
5930002		3	7;1;2;7	3000029	60		188:activity_poker_cards_5930002	1	独行游侠	獨行遊俠	Lone Rover	一匹オオカミ	독행 유랑자	นักรบพเนจร
5930003		3	2;7;6;2	3000029	60		188:activity_poker_cards_5930003	1	天才黑客	天才駭客	Genius Hacker	天才ハッカー	천재 해커	แฮกเกอร์อัจฉริยะ
5930004	5	3	6;7;5;2	3000029	60		188:activity_poker_cards_5930004	1	少女偶像	少女偶像	Idol	少女アイドル	소녀 아이돌	สาวน้อยไอดอล
5930005		3	2;6;5;6	3000029	60		188:activity_poker_cards_5930005	1	欺诈师	欺詐師	Swindler	ぺてん師	사기꾼	นักต้มตุ๋น
5930006	3	3	1;6;5;6	3000029	60		188:activity_poker_cards_5930006	1	特聘书记	特聘書記	Special Secretary	特任書記	특명 비서	เลขาจ้างพิเศษ
5930007	5	3	4;7;1;6	3000029	60		188:activity_poker_cards_5930007	1	女子高中生	女子高中生	High School Student	女子高生	여고생	สาวน้อยมัธยมปลาย
5930008		3	6;1;7;4	3000029	60		188:activity_poker_cards_5930008	1	万花之友	萬花之友	Flower Child	万華ノ友	만화의 친구	มิตรแห่งบุปผา
5930009		3	1;6;5;6	3000029	60		188:activity_poker_cards_5930009	1	知名主播	知名主播	Famous Streamer	インフルエンサー	유명 방송인	สตรีมเมอร์ชื่อดัง
5930010		3	2;5;7;5	3000029	60		188:activity_poker_cards_5930010	1	街巷巡卫	街巷巡衛	Street Patrol	街の守護者	거리 순찰자	สตรีทพาโทรล
5930011		3	5;4;7;2	3000029	60		188:activity_poker_cards_5930011	1	古董修复师	古董修復師	Antique Restorer	骨董品修復士	골동품 복원사	ช่างซ่อมโบราณวัตถุ
5930012		3	2;7;4;4	3000029	60		188:activity_poker_cards_5930012	1	古董鉴别师	古董鑒別師	Antique Appraiser	骨董品鑑定士	골동품 감정사	ผู้เชี่ยวชาญโบราณวัตถุ
5930013		3	4;4;4;7	3000029	60		188:activity_poker_cards_5930013	1	千王之王	千王之王	King of All Kings	イカサマ王	왕의 왕	ราชันย์เหนือราชา
5930014		3	5;2;5;7	3000029	60		188:activity_poker_cards_5930014	1	一线球星	一線球星	Superstar	球技界のスター	스타플레이어	ดาวรุ่งยืนหนึ่ง
5930015	3	3	4;7;4;4	3000029	60		188:activity_poker_cards_5930015	1	零食专家	零食專家	Snack Enthusiast	スナック専門家	디저트 전문가	เซียนนักชิมขนม
5930016		3	5;5;5;2	3000029	60		188:activity_poker_cards_5930016	1	最佳佣兵	最佳傭兵	Best Mercenary	最高の傭兵	최고의 용병	ยอดทหารรับจ้าง
5930017		3	6;7;5;5	3000029	60		188:activity_poker_cards_5930017	1	美妆达人	美妝達人	Beauty Guru	コスメの達人	베스트 스타일러	เจ้าแม่ความงาม
5930018		3	5;4;5;5	3000029	60		188:activity_poker_cards_5930018	1	万能经理	萬能經理	Versatile Manager	万能マネージャー	만능 매니저	ผู้จัดการอเนกประสงค์
5930019		3	6;4;6;2	3000029	60		188:activity_poker_cards_5930019	1	明日之星	明日之星	Rising Star	明日の明星	미래의 스타	ดาวรุ่งพุ่งแรง
5930020		3	5;5;2;5	3000029	60		188:activity_poker_cards_5930020	1	战地指挥	戰地指揮	Warfield Commander	戦場指揮官	전장 지휘관	บัญชาการแนวหน้า
5930021		3	4;6;4;4	3000029	60		188:activity_poker_cards_5930021	1	入梦师	入夢師	Dreamweaver	ドリーマー	꿈 나그네	นักท่องฝัน
5930022	5	3	4;5;5;5	3000029	60		188:activity_poker_cards_5930022	1	派对甜心	派對甜心	Party Princess	パーティーハニー	스위트 하트	ขวัญใจในปาร์ตี
5940001		4	4;8;8;1	3000029	150		188:activity_poker_cards_5940001	1	心动季节	心動季節	Sweet Season	心躍る季節	심쿵의 계절	ฤดูแห่งรัก
5940002	5	4	1;7;8;7	3000029	150		188:activity_poker_cards_5940002	1	指尖芳菲	指尖芳菲	Innocent Fragrance	指先の香り	피어난 꽃	บุปผารัญจวน
5940003		4	8;2;2;8	3000029	150		188:activity_poker_cards_5940003	1	清道夫之夜	清道夫之夜	Purifier's Waltz	スカベンジャーズナイト	스케빈저 나이트	ค่ำคืนกวาดล้าง
5940004		4	2;7;7;7	3000029	150		188:activity_poker_cards_5940004	1	铃铃弥音	鈴鈴彌音	Vibrant Melinndy	嫋々たる鈴の音	경쾌한 멜로디	ทำนองคลองใจ
5940005	3	4	7;8;4;1	3000029	150		188:activity_poker_cards_5940005	1	暗巷星火	暗巷星火	Ember in Dark	路地裏の火花	다크 레인 파이어	ประกายไฟทมิฬ
5940006		4	8;4;1;7	3000029	150		188:activity_poker_cards_5940006	1	除障者	除障者	Bombshell	障害突破	옵타클 리무버	จอมกวาดล้าง
5940007		4	8;6;2;6	3000029	150		188:activity_poker_cards_5940007	1	银钩墨舞	銀鉤墨舞	Dances & Ink	墨の舞い	수묵화가	ระบำแห่งหมึก
5940008		4	8;6;7;1	3000029	150		188:activity_poker_cards_5940008	1	墨蕴寻真	墨蘊尋真	Truths & Ink	墨韻追跡	진리의 나침반	คำลับแห่งหมึก
5940009	3	4	4;8;6;7	3000029	150		188:activity_poker_cards_5940009	1	旋风初成	旋風初成	Zephyr's Birth	若き旋風	새로운 바람	วายุแห่งรุ่งอรุณ
5940010		4	5;6;6;8	3000029	150		188:activity_poker_cards_5940010	1	爱心妆点	愛心妝點	Lovely Makeup	プロデュースの極意	러블리 메이크업	เมกอัปสุดน่ารัก
5940011		4	7;5;2;6	3000029	150		188:activity_poker_cards_5940011	1	橘色纯真	橘色純真	Orange Naivete	オレンジイノセンス	오렌지 이노센스	แมวส้มแสนซน
5940012		4	8;6;8;6	3000029	150		188:activity_poker_cards_5940012	1	青之回旋	青之迴旋	Good Old Days	青の回旋	트위스트 블루	นักเตะดาวรุ่ง
5950001		5	9;1;6;8	3000029	300		188:activity_poker_cards_5950001	1	AI助理	AI助理	AI Assistant	AIアシスタント	AI 어시스턴트	AI ผู้ช่วย
5950002		5	9;5;3;7	3000029	300		188:activity_poker_cards_5950002	1	秘域访客	秘域訪客	Mystic Visitor	シークレットビジター	시크릿 게스트	ผู้มาเยือนปริศนา
5950003		5	2;7;9;6	3000029	300		188:activity_poker_cards_5950003	1	碧魂灯	碧魂燈	Soul Lanterns	碧魂灯	벽혼등	โคมวิญญาณ
5950004		5	2;6;7;9	3000029	300		188:activity_poker_cards_5950004	1	镜光旖梦	鏡光旖夢	Mirrored Dreams	ミラードリーム	거울빛 꿈	กระจกความฝัน
5950005		5	9;7;4;5	3000029	300		188:activity_poker_cards_5950005	1	黑桃A	黑桃A	Ace of Spades	スペードA	스페이스A	เอซโพธิ์ดำ
5950006		5	5;9;6;6	3000029	300		188:activity_poker_cards_5950006	1	致命音符	致命音符	One False Note	フォルティッシッシモ	포르티시모	เดธฮาร์โมนี
5950007		5	9;7;5;7	3000029	300		188:activity_poker_cards_5950007	1	狂想花骸	狂想花骸	Rhapsody Flower	花葬ラプソディ	플라워 리메인	บุปผาวิปลาส
5950008		5	5;7;9;7	3000029	300		188:activity_poker_cards_5950008	1	囚鸟绮愿	囚鳥綺愿	Cageling Wish	カナリアの冀求	새장 속 소원	ปรารถนาพันธนา
5960001		6	9;1;4;10	3000029	750		188:activity_poker_cards_5960001	1	月色凛冽	月色凜冽	Moonlit Chill	煌々と照る月	차가운 달빛	แสงจันทร์เยือกเย็น
5960002		6	8;6;10;5	3000029	750		188:activity_poker_cards_5960002	1	星之所向	星之所向	Stars' Guidance	星が導く場所	별이 향하는 곳	มุ่งสู่ดวงดารา
5960003		6	7;1;7;10	3000029	750		188:activity_poker_cards_5960003	1	雪音飞舞	雪音飛舞	Snowy Waltz	空舞う雪音	설음의 춤사위	สโนว์ซิมโฟนี
5960004		6	10;10;5;2	3000029	750		188:activity_poker_cards_5960004	1	雾气氤氲	霧氣氤氳	Misty Veil	湯気ほかほか	자욱한 안개	ม่านหมอกหนานุ่ม
