id	regularReward	regularRewardNum	fristRewards	fristRewardsNum	showItem	showItemNum	showItemTag	status
int	int	int	int	int	int	int	int	int
12008010								1
12008020								1
12008030								1
12008040								1
12008050			9000038;3000003;4110001	300;50000;20	9000038;3000003;4110001	300;50000;20		1
12008060								1
12008070								1
12008080			9000038;3000003;4110001	400;55000;20	9000038;3000003;4110001	400;55000;20		1
12008090			9000038;3000003;4110001	500;60000;20	9000038;3000003;4110001	500;60000;20		1
12008100			9000038;3000003;4110001	300;65000;20	9000038;3000003;4110001	300;65000;20		1
12008110			9000038;3000003;4110001	350;70000;20	9000038;3000003;4110001	350;70000;20		1
12008120								1
12008130								1
12008140			9000038;3000003;4110001	400;75000;20	9000038;3000003;4110001	400;75000;20		1
12008150			9000038;3000003;4110001	450;80000;20	9000038;3000003;4110001	450;80000;20		1
12008160			9000038;3000003;4110001	500;85000;20	9000038;3000003;4110001	500;85000;20		1
12008170								1
12008180								1
12008190								1
12008200			9000038;3000003;4110001	400;90000;20	9000038;3000003;4110001	400;90000;20		1
12008210								1
12008220			9000038;3000003;4110001	450;95000;20	9000038;3000003;4110001	450;95000;20		1
12008230			9000038;3000003;4110001	500;100000;20	9000038;3000003;4110001	500;100000;20		1
12008240			9000038;3000003;4110001	550;105000;20	9000038;3000003;4110001	550;105000;20		1
12008250								1
12008260			9000038;3000003;4110001	600;110000;20	9000038;3000003;4110001	600;110000;20		1
12008270			9000038;3000003;4110001	600;115000;20	9000038;3000003;4110001	600;115000;20		1
12008280								1
12008290			9000038;3000003;4110001	650;120000;20	9000038;3000003;4110001	650;120000;20		1
12008300								1
12008310			9000038;3000003;4110001	700;130000;20	9000038;3000003;4110001	700;130000;20		1
12008320			9000038;3000003;4110001	750;140000;20	9000038;3000003;4110001	750;140000;20		1
12008330								1
12008340			9000038;3000003;4110001	800;150000;20	9000038;3000003;4110001	800;150000;20		1
12008350								1
12008360								1
12008370								1
12008380								1
12008390			9000038;3000003;4110001	1000;160000;20	9000038;3000003;4110001	1000;160000;20		1
12008400								1
12008410								1
12008420			9000038;3000003;4110001	1050;170000;20	9000038;3000003;4110001	1050;170000;20		1
12008430			9000038;3000003;4110001	1100;180000;20	9000038;3000003;4110001	1100;180000;20		1
12008440			9000038;3000003;4110001	1150;200000;20	9000038;3000003;4110001	1150;200000;20		1
