id	activityId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	5	2	3000002;5112001;3000003	2000;500;300000	90027	1	5%	5%	5%	5%	5%	5%
2	1	6	50	2	3000002;3000003	500;200000	90028	1	50%	50%	50%	50%	50%	50%
3	1	51	100	2	3000002	100	90029	1	100%	100%	100%	100%	100%	100%
4	2	1	5	2	3000002;5112001;3000003	2000;500;300000	90075	1	5%	5%	5%	5%	5%	5%
5	2	6	50	2	3000002;3000003	500;200000	90076	1	50%	50%	50%	50%	50%	50%
6	2	51	100	2	3000002	100	90077	1	100%	100%	100%	100%	100%	100%
7	3	1	5	2	3000002;5112001;3000003	2000;500;300000	90139	1	5%	5%	5%	5%	5%	5%
8	3	6	50	2	3000002;3000003	500;200000	90140	1	50%	50%	50%	50%	50%	50%
9	3	51	100	2	3000002	100	90141	1	100%	100%	100%	100%	100%	100%
