id	activityId	upperLimit	reward	rewardNum	bossID	status
int	int	int	int	int	int	int
5000101	1	50000	9012015	50	50001	1
5000102	1	100000	9012015	50	50001	1
5000103	1	200000	9012015	100	50001	1
5000104	1	300000	9012015	100	50001	1
5000105	1	400000	9012015	150	50001	1
5000106	1	500000	9012015	150	50001	1
5000107	1	600000	9012015	200	50001	1
5000108	1	700000	9012015	200	50001	1
5000109	1	800000	9012045	250	50001	1
5000110	1	900000	9012045	250	50001	1
5000111	1	1000000	9012045	300	50001	1
5000112	1	1100000	9012045	300	50001	1
5000113	1	1200000	9012045	350	50001	1
5000114	1	1300000	9012045	350	50001	1
5000115	1	1500000	9012045	400	50001	1
