id	monsteType	level	exp	cardExp	opportunity	proposalLevel	SceneId	rounds	petLineup	roleNun	powerRatioTeamID	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12002571	0	0	0	0	0	27000		10	12061	3	0	1	0-0	0-0	0-0	0-0	0-0	0-0	来时之路	來時之路	The Path Here	来たる道	이동하는 길 위에서	หนทางที่ผ่านมา
12002572	0	0	0	0	0	27000		10	12061	3	0	1	1-1	1-1	1-1	1-1	1-1	1-1	人类杀手	人類殺手	Human Killer	ヒューマンキラー	인간 학살자	เพชฌฆาตผู้สังหารมนุษย์
12002573	0	0	0	0	0	27000	11501	10	12061	3	0	1	1-2	1-2	1-2	1-2	1-2	1-2	语言之外	語言之外	Beyond Words	言葉を超えて	말로 담지 못하는 것	เหนือคำพูด
12002574	0	0	0	0	0	27000		10	12061	3	0	1	1-3	1-3	1-3	1-3	1-3	1-3	无利不用	無利不用	For Benefit Only	利なくして動かず	쓸모없는 것	กำไรคือสิ่งสำคัญ
12002575	0	0	0	0	0	27000		10	12061	3	0	1	1-4	1-4	1-4	1-4	1-4	1-4	山脉震撼	山脈震撼	Mountain Shock	山脈の震撼	신음하는 산맥	แรงสั่นของภูผา
12002576	0	0	0	0	0	27000	14901	10	12061	3	0	1	2-1	2-1	2-1	2-1	2-1	2-1	圣女坐标	聖女座標	The Saint's Coordinates	聖女の座標	성녀의 좌표	ตำแหน่งของสตรีศักดิ์สิทธิ์
12002577	0	0	0	0	0	27000		10	12061	3	0	1	2-2	2-2	2-2	2-2	2-2	2-2	任意门	任意門	Dimension Door	どこにでもいける門	랜덤 도어	ประตูมิติ
12002578	0	0	0	0	0	27000		10	12061	3	0	1	2-3	2-3	2-3	2-3	2-3	2-3	苍白的游魂	蒼白的遊魂	The Pale Ghost	蒼白なる遊魂	창백한 유령	วิญญาณพเนจร
12002579	0	0	0	0	0	27000		10	12061	3	0	1	2-4	2-4	2-4	2-4	2-4	2-4	银山乞儿	銀山乞兒	The Beggar	銀山の乞食	은산의 걸인	ยาจกแห่งภูเขาเงิน
12002580	0	0	0	0	0	27000		10	12061	3	0	1	3-1	3-1	3-1	3-1	3-1	3-1	不过寻常	不過尋常	Nothing Special	ありふれた存在	요상한 일	ไม่ธรรมดา
12002581	0	0	0	0	0	27000		10	12061	3	0	1	3-2	3-2	3-2	3-2	3-2	3-2	野火将熄	野火將熄	The Dying Wildfire	野火は消えゆく	사그라드는 들불	เปลวเพลิงสุดท้าย
12002582	0	0	0	0	0	27000		10	12061	3	0	1	3-3	3-3	3-3	3-3	3-3	3-3	梦中炼狱	夢中煉獄	Purgatory of Dreams	夢の中の煉獄	꿈속의 연옥	ขุมนรกแห่งฝัน
12002583	0	0	0	0	0	27000		10	12061	3	0	1	3-4	3-4	3-4	3-4	3-4	3-4	济世教派	濟世教派	The Relief	済世教派	구세교단	ลัทธิแห่งการเยียวยา
12002584	0	0	0	0	0	27000	41001	10	12062	4	0	1	4-1	4-1	4-1	4-1	4-1	4-1	杀戮旨意	殺戮旨意	The Decree	殺戮の旨意	살육의 의미	บัญชาสังหาร
12002585	0	0	0	0	0	27000		10	12061	3	0	1	4-2	4-2	4-2	4-2	4-2	4-2	神明坠亡	神明墜亡	The Fallen Deity	神様死す	추락하는 신성	การล่มสลายของเทพ
12002586	0	0	0	0	0	27000		10	12061	3	0	1	4-3	4-3	4-3	4-3	4-3	4-3	零和博弈	零和博弈	Zero-Sum Game	ゼロサムゲーム	제로섬 게임	ศึกไร้ผู้ชนะ
12002587	0	0	0	0	0	27000		10	12061	3	0	1	4-4	4-4	4-4	4-4	4-4	4-4	可一可再	可一可再	Once or More	再三再四	한 번이 어려울 뿐	เกิดขึ้นวนซ้ำ
12002588	0	0	0	0	0	27000		10	12061	3	0	1	5-1	5-1	5-1	5-1	5-1	5-1	往日咒怨	往日咒怨	The Curse of the Past	過ぎ去りし恨み	과거의 저주	คำสาปในอดีต
12002589	0	0	0	0	0	27000		10	12061	3	0	1	5-2	5-2	5-2	5-2	5-2	5-2	扑杀天使	撲殺天使	Slaying the Angel	天使を狩る者	천사 죽이기	นักล่าเทวทูต
12002590	0	0	0	0	6	27000	14802	10	12061	3	0	1	5-3	5-3	5-3	5-3	5-3	5-3	永恒失落	永恆失落	Eternal Loss	永遠の喪失	영원한 방황	ล่มสลายนิรันดร์
12002591	0	0	0	0	0	27000		10	12061	3	0	1	5-4	5-4	5-4	5-4	5-4	5-4	阳光之下	陽光之下	Under the Sunshine	日差しの下	햇살 아래에서	ใต้แสงตะวัน
