id	desc	resourcePath	scriptSection	uiResourcePath	activityType	status1
int	int	int	int	int	int	int
1	【角色剧情副本】莲《业火红莲》	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/PT活动本	4000000-4099999	Assets/BundleResources/Arts/Textures/Activity/pt139008\nAssets/BundleResources/Arts/Textures/Activity/pt12000101\nAssets/BundleResources/Arts/Textures/Activity/pt12000102\nAssets/BundleResources/Arts/Textures/Activity/pt12000103\nAssets/BundleResources/Arts/Textures/Activity/pt12000104\nAssets/BundleResources/Arts/Textures/Activity/pt12000105\nAssets/BundleResources/Arts/Textures/Activity/pt12000106\nAssets/BundleResources/Arts/Textures/Activity/pt12000107	120001	0
7	【食之契约联动】梦境奇缘	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/食契联动活动	3011000-3011999	Assets/BundleResources/Arts/Textures/Activity/DreamAdventures12000801	120008	0
8	【猫娘乐园联动】百味蛋糕店	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/猫娘乐园联动	3012000-3012999	Assets/BundleResources/Arts/Textures/ActivityCakeShop\nAssets/BundleResources/Arts/Icons/ActivityCakeShop	113003	0
9	【和风卡牌副本】相闻歌	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/和风副本相闻歌	3014000-3014999	Assets/BundleResources/Arts/Textures/ActivityJapaneseLevel	113008	1
10	【微缩世界】猫与梦王国	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/微缩世界活动	3013000-3013999	Assets/BundleResources/Arts/Textures/Activity/OverseaParkour12001801\nAssets/BundleResources/Scenes/ParkourGame\nAssets/BundleResources/Prefabs/Activity/ParkourGame\n	120018	0
11	【暗夜猫】无法逃离的世界	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/暗夜猫活动	3003000-3003999	Assets/BundleResources/Arts/Textures/UIBg/nightcat_boss_4022.png\nAssets/BundleResources/Arts/Textures/UIBg/nightcat_boss_bg.png\nAssets/BundleResources/Arts/Textures/UIBg/nightcat_buff_bg.png\nAssets/BundleResources/Arts/Textures/UIBg/nightcat_home_bg.png\nAssets/BundleResources/Arts/Icons/NightCatInstanceBuff\nAssets/BundleResources/Arts/Textures/Activity/nightcat_tower_shadow_1.png\nAssets/BundleResources/Arts/Textures/Activity/nightcat_tower_bg_2.png\nAssets/BundleResources/Arts/Textures/Activity/nightcat_tower_bg_3.png\n	1206	0
12	【竹林本】竹野熊踪	SettingSourcePath/CSV数值表/数据表-海外/剧情PT本活动	3001000-3001999	Assets/BundleResources/Arts/Textures/Bamboo\nAssets/BundleResources/Arts/Icons/Bamboo	1201	0
13	【23双旦】暖雪来信	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/双旦活动	3010000-3010999	Assets/BundleResources/Arts/Textures/Activity/MidFestival12000201\nAssets/BundleResources/Arts/Textures/Activity/MidFestival12000202	120002	0
14	【21感恩节】星辉熠燃	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/人气比拼活动	3005000-3005999	Assets/BundleResources/Arts/Textures/Thanksgiving/121301\nAssets/BundleResources/Arts/Textures/UIBg/activity_pk_Competition_bg1.png\nAssets/BundleResources/Arts/Textures/UIBg/activity_pk_Competition_bg2.png\nAssets/BundleResources/Arts/Textures/UIBg/activity_pk_home.png\nAssets/BundleResources/Arts/Textures/UIBg/activity_pk_vote_bg.png\nAssets/BundleResources/Arts/Textures/UIBg/activity_pk_vote_bg2.png\n	1213	0
15	【21冰雪节】消融冰雪之心	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/冰雪节活动	3006000-3006999	Assets/BundleResources/Arts/Textures/UIBg/christmas_home_bg.png\nAssets/BundleResources/Arts/Textures/UIBg/christmas_point_bg.png	1215	0
16	【23春节副本】于此夜重逢	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/地图解密活动	3007000-3007999	Assets/BundleResources/Arts/Textures/SpringFestival\nAssets/BundleResources/Scenes/Mooncity.unity\nAssets/BundleResources/Scenes/springfestival_maze_1.unity\nAssets/BundleResources/Scenes/springfestival_maze_2.unity\nAssets/BundleResources/Scenes/springfestival_maze_3.unity\nAssets/BundleResources/Scenes/springfestival_maze_4.unity	1214	0
17	【22夏日】萤流浪速	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/中型PT活动	3002000-3002999	Assets/BundleResources/Arts/Textures/SpringFestival	1202	0
18	【22万圣】鬼屋探险（原：乐园惊魂夜）	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/奖池副本	3004000-3004999	Assets/BundleResources/Arts/Textures/JackpotDungoenBg	1209	0
19	【紧急封锁】首领战	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/首领战		Assets/BundleResources/Arts/Textures/UIBg/bosswanted_img_bg.png\nAssets/BundleResources/Arts/Textures/BossFight\nAssets/BundleResources/Arts/Textures/BossFight/120501\nAssets/BundleResources/Arts/Textures/BossFight/120502\nAssets/BundleResources/Arts/Textures/BossFight/120503	1205	0
20	【悼亡之影】爬塔换皮副本	SettingSourcePath/CSV数值表/数据表-海外/活动汇总/爬塔换皮本	3016000-3016999	Assets/BundleResources/Arts/Textures/Activity/ActivityMourn12002501	120025	0
