id	unlockId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	group	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	0	1405	0	2	9000007	400	518		1	1	离岛空运<color=#ff4dc0>2</color>次	離島空運<color=#ff4dc0>2</color>次	Complete Air Express <color=#ff4dc0>2</color> times.	離島空便を<color=#ff4dc0>2</color>回完了する	항공 운송 <color=#ff4dc0>2</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>2</color>​ ครั้ง​
2	0	1405	0	6	9000007	500	518		1	1	离岛空运<color=#ff4dc0>6</color>次	離島空運<color=#ff4dc0>6</color>次	Complete Air Express <color=#ff4dc0>6</color> times.	離島空便を<color=#ff4dc0>6</color>回完了する	항공 운송 <color=#ff4dc0>6</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>6</color>​ ครั้ง​
3	0	1405	0	10	9000007	600	518		1	1	离岛空运<color=#ff4dc0>10</color>次	離島空運<color=#ff4dc0>10</color>次	Complete Air Express <color=#ff4dc0>10</color> times.	離島空便を<color=#ff4dc0>10</color>回完了する	항공 운송 <color=#ff4dc0>10</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>10</color>​ ครั้ง​
4	0	1405	0	15	9000007	800	518		1	1	离岛空运<color=#ff4dc0>15</color>次	離島空運<color=#ff4dc0>15</color>次	Complete Air Express <color=#ff4dc0>15</color> times.	離島空便を<color=#ff4dc0>15</color>回完了する	항공 운송 <color=#ff4dc0>15</color>회 진행	ขนส่ง​ทางอากาศ​ <color=#ff4dc0>15</color>​ ครั้ง​
5	0	601	1	10	9000007	400	601		1	1	累计召唤<color=#ff4dc0>10</color>次	累計召喚<color=#ff4dc0>10</color>次	Make <color=#ff4dc0>10</color> summons in total.	召喚を<color=#ff4dc0>10</color>回行う	소환 누적 <color=#ff4dc0>10</color>회	รับสมัครสะสม <color=#ff4dc0>10</color> ครั้ง
6	0	601	1	20	9000007	500	601		1	1	累计召唤<color=#ff4dc0>20</color>次	累計召喚<color=#ff4dc0>20</color>次	Make <color=#ff4dc0>20</color> summons in total.	召喚を<color=#ff4dc0>20</color>回行う	소환 누적 <color=#ff4dc0>20</color>회	รับสมัครสะสม <color=#ff4dc0>20</color> ครั้ง
7	0	601	1	30	9000007	600	601		1	1	累计召唤<color=#ff4dc0>30</color>次	累計召喚<color=#ff4dc0>30</color>次	Make <color=#ff4dc0>30</color> summons in total.	召喚を<color=#ff4dc0>30</color>回行う	소환 누적 <color=#ff4dc0>30</color>회	รับสมัครสะสม <color=#ff4dc0>30</color> ครั้ง
8	0	601	1	50	9000007	800	601		1	1	累计召唤<color=#ff4dc0>50</color>次	累計召喚<color=#ff4dc0>50</color>次	Make <color=#ff4dc0>50</color> summons in total.	召喚を<color=#ff4dc0>50</color>回行う	소환 누적 <color=#ff4dc0>50</color>회	รับสมัคร <color=#ff4dc0>50</color> ครั้ง
13	0	5	5	5	9000007	400	233		1	1	获取任意<color=#ff4dc0>5</color>件橙色装备	獲取任意<color=#ff4dc0>5</color>件橙色裝備	Get <color=#ff4dc0>5</color> pieces of SSR equipment.	任意のオレンジ品質装備を<color=#ff4dc0>5</color>個獲得する	임의의 오렌지색 장비 <color=#ff4dc0>5</color>개 획득	ได้รับอุปกรณ์ SSR <color=#ff4dc0>5</color> ชิ้น
