type	id	status
string	string	int
101001	1	1
101002	2	1
101003	3	1
101004	4	1
101005	5	1
102001	6	1
102002	7	1
102003	8	1
102004	9	1
102005	10	1
102006	11	1
102007	12	1
103001	13,20,23	1
103002	14,21,24	1
103003	15,22,25	1
103004	16	1
103005	17	1
103006	18	1
103007	19	1
103008	26	1
103009	27	1
104001	28,36,38	1
104002	29,37,39	1
104003	30	1
104004	31	1
104005	32	1
104006	33	1
104007	34	1
104008	35	1
104009	40	1
104010	41	1
104011	42	1
105001	43	1
105002	44,51,52	1
105003	45,49,50	1
105004	46,53,54	1
105005	47	1
105006	48	1
105007	55	1
105008	56	1
105009	57	1
105010	58	1
105011	59	1
106001	60	1
106002	61	1
106003	62,67,68	1
106004	63,69,70	1
106005	64	1
106006	65	1
106007	66	1
106008	71	1
106009	72	1
106010	73	1
107001	74	1
107002	75	1
107003	76,81,82	1
107004	77	1
107005	78	1
107006	79	1
107007	80	1
107008	83	1
108001	84,91,92	1
108002	85	1
108003	86	1
108004	87,93,94	1
108005	88,95,96	1
108006	89	1
108007	90	1
108008	97	1
108009	98	1
108010	99	1
