id	type	regionLevel	Exp	cardExp	unlockNum	level	proposalLevel	frequency	costItem	costNum	costNumLose	SceneId	monsterShow	location	powerMin	powerTeamMin	rounds	repeatButton	showContinueBtn	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
4005101	1	1	6	0	0	1	100000		9000042	3	0	10901	100604	243;493	3840	28800	15	1	1	1	难度1	難度1	Difficulty 1	難易度1	난이도 1	ความยาก 1	间竹挑战1	間竹挑戰1	Bamboo Challenge I	間竹チャレンジ1	간죽 도전 1	ท้าทายแบมบู 1						
4005102	1	2	12	0	4005101	1	120000		9000042	6	0	10901	100614;100714	497;315	6720	50400	15	1	1	1	难度2	難度2	Difficulty 2	難易度2	난이도 2	ความยาก 2	间竹挑战1	間竹挑戰1	Bamboo Challenge I	間竹チャレンジ1	간죽 도전 1	ท้าทายแบมบู 1						
4005103	1	3	20	0	4005102	1	140000		9000042	10	0	10901	400334;100914	830;270	11520	86400	15	1	1	1	难度3	難度3	Difficulty 3	難易度3	난이도 3	ความยาก 3	间竹挑战1	間竹挑戰1	Bamboo Challenge I	間竹チャレンジ1	간죽 도전 1	ท้าทายแบมบู 1						
4005104	1	4	34	0	4005103	1	160000		9000042	17	0	10901	400334;100414	1025;448	16320	122400	15	1	1	1	难度4	難度4	Difficulty 4	難易度4	난이도 4	ความยาก 4	间竹挑战1	間竹挑戰1	Bamboo Challenge I	間竹チャレンジ1	간죽 도전 1	ท้าทายแบมบู 1						
4005105	1	5	50	0	4005104	1	180000		9000042	25	0	10901	800114;100914	1306;270	22560	169200	15	1	1	1	难度5	難度5	Difficulty 5	難易度5	난이도 5	ความยาก 5	间竹挑战1	間竹挑戰1	Bamboo Challenge I	間竹チャレンジ1	간죽 도전 1	ท้าทายแบมบู 1						
4005201	2	1	6	0	0	1	200000		9000042	3	0	11001	101104;100404	354;378	3840	28800	15	1	1	1	难度1	難度1	Difficulty 1	難易度1	난이도 1	ความยาก 1	间竹挑战2	間竹挑戰2	Bamboo Challenge II	間竹チャレンジ2	간죽 도전 2	ท้าทายแบมบู 2						
4005202	2	2	12	0	4005201	1	220000		9000042	6	0	11001	101114;100914	677;513	6720	50400	15	1	1	1	难度2	難度2	Difficulty 2	難易度2	난이도 2	ความยาก 2	间竹挑战2	間竹挑戰2	Bamboo Challenge II	間竹チャレンジ2	간죽 도전 2	ท้าทายแบมบู 2						
4005203	2	3	20	0	4005202	1	240000		9000042	10	0	11001	400114;100504	830;270	11520	86400	15	1	1	1	难度3	難度3	Difficulty 3	難易度3	난이도 3	ความยาก 3	间竹挑战2	間竹挑戰2	Bamboo Challenge II	間竹チャレンジ2	간죽 도전 2	ท้าทายแบมบู 2						
4005204	2	4	34	0	4005203	1	260000		9000042	17	0	11001	400114;100504	1168;468	16320	122400	15	1	1	1	难度4	難度4	Difficulty 4	難易度4	난이도 4	ความยาก 4	间竹挑战2	間竹挑戰2	Bamboo Challenge II	間竹チャレンジ2	간죽 도전 2	ท้าทายแบมบู 2						
4005205	2	5	50	0	4005204	1	280000		9000042	25	0	11001	400124;100524;100534	1306;270	22560	169200	15	1	1	1	难度5	難度5	Difficulty 5	難易度5	난이도 5	ความยาก 5	间竹挑战2	間竹挑戰2	Bamboo Challenge II	間竹チャレンジ2	간죽 도전 2	ท้าทายแบมบู 2						
4005301	3	1	6	0	0	1	300000		9000042	3	0	10901	100304;100704	386;315	3840	28800	15	1	1	1	难度1	難度1	Difficulty 1	難易度1	난이도 1	ความยาก 1	间竹挑战3	間竹挑戰3	Bamboo Challenge III	間竹チャレンジ3	간죽 도전 3	ท้าทายแบมบู 3						
4005302	3	2	12	0	4005301	1	320000		9000042	6	0	10901	100914;100714	608;493	6720	50400	15	1	1	1	难度2	難度2	Difficulty 2	難易度2	난이도 2	ความยาก 2	间竹挑战3	間竹挑戰3	Bamboo Challenge III	間竹チャレンジ3	간죽 도전 3	ท้าทายแบมบู 3						
4005303	3	3	20	0	4005302	1	340000		9000042	10	0	10901	400114;100914	941;378	11520	86400	15	1	1	1	难度3	難度3	Difficulty 3	難易度3	난이도 3	ความยาก 3	间竹挑战3	間竹挑戰3	Bamboo Challenge III	間竹チャレンジ3	간죽 도전 3	ท้าทายแบมบู 3						
4005304	3	4	34	0	4005303	1	360000		9000042	17	0	10901	100914;400224	1274;270	16320	122400	15	1	1	1	难度4	難度4	Difficulty 4	難易度4	난이도 4	ความยาก 4	间竹挑战3	間竹挑戰3	Bamboo Challenge III	間竹チャレンジ3	간죽 도전 3	ท้าทายแบมบู 3						
4005305	3	5	50	0	4005304	1	380000		9000042	25	0	10901	400254;400234;400244	1437;493	22560	169200	15	1	1	1	难度5	難度5	Difficulty 5	難易度5	난이도 5	ความยาก 5	间竹挑战3	間竹挑戰3	Bamboo Challenge III	間竹チャレンジ3	간죽 도전 3	ท้าทายแบมบู 3						
