id	sceneId	camera	cameraDirection	battleCamera	battleCameraDirection	superCamera	superCameraDirection	superBattleCamera	superBattleCameraDirection	Switchover	uiWeight	superUiWeight	battleWeight	superBattleWeight	roleDirection	monsterDirection	directionFocus	sky	sceneEffect	sceneCam	enemyAoe	enemyAoeRotation	teamAoe	teamAoeRotation	roleSummon	roleSummonDirection	enemySummon	enemySummonDirection	catPosition	catDirection	rolePosition	enemyPosition	sceneCenter	view	voiceId	blockIndex	surroundingsId	enterCamera	enterSound	whetherBoss	cameraFuse	catEndCam	Limit	teamBg	regionBg	lateUpdateScript	ifRepertory	catEnd	towerScript	enemyLightDirection	status	address1	address1_zh_TW	address1_en_UK	address1_ja_JP	address1_ko_KR	address1_th_TH	address2	address2_zh_TW	address2_en_UK	address2_ja_JP	address2_ko_KR	address2_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10101	fightmap01	6.7;3.72;16.37	15.29;209.5;0	4.61;2;15.72	5.09;192.32;0	6.7;3.72;16.37	15.29;209.5;0	4.61;2;15.72	5.09;192.32;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	4.89;0;19.06	1	0	600001	1.52;0;-0.57	0;0;0	3.1;0;10.78	0;0;0	7.3;0;8.412093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-3.3,0,10.53;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,1.71;0,6.55,0;12.57,0,-1.524945,0;8.49,0,-1.773118,0;4.17,0,-1.71,0;0.33,0,-1,0	1.78;0;5.32	57.22092	bgm_battle_01		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap01	91:BG_fightmap01		1	0,0,0;0,0,0			1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	普通街道-黄昏	普通街道-黃昏	Normal Street - Sunset	市街地-夕暮れ	일반 거리 - 황혼	ถนนทั่วไป - พลบค่ำ
10201	fightmap02	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	11.33596	bgm_battle_02		0	0		0	0	0.92;1.7;-1.34,0;-11;0	3;3;6.5;1.2	91:fightmap02	91:BG_fightmap02		0	0,0,0;0,0,0			1												
10301	fightmap03	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	11.33596	bgm_battle_03		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap03	91:BG_fightmap03		0	0,0,0;0,0,0			1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	Funny电玩城-大厅	Funny電玩城-大廳	Funny Arcade - Lobby	Funnyゲームセンター-ホール	Funny 게임 센터 - 홀	ศูนย์​เกม​อาร์​เคด​ Funny​ -​ ล็อบบี้​
10401	fightmap04	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	11.33596	bgm_battle_04		0	0		0	0	0.92;1.7;-1.34,0;-11;0	3;3;6.5;1.2	91:fightmap04	91:BG_fightmap04		0	0,0,0;0,0,0			1												
10601	fightmap06	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_role_telang_blood		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap06	91:BG_fightmap06		1	0,0,0;0,0,0			1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	贝克街-雨	貝克街-雨	Baker Street - Rainy	ベイカーストリート-雨	베이커 가 - 비	ถนนเบเกอร์ - ฝนตก
10602	fightmap1006	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_battle_BF04		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap01	91:BG_fightmap01		1	0,0,0;0,0,0			1												
10641	fightmap4106	3.3;4.6;23.6	2.200001;194.4;0	2.5;3.23;19.8	2.56;192.96;0	3.3;4.6;23.6	2.200001;194.4;0	2.5;3.23;19.8	2.56;192.96;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	2.96;0;22.61	1	0	600001	-2.52;0;-3	0;13.12;0	0.31;0;11.82	0;12.27;0	5.16976;0;10.365651	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-6.45,0,11.68;0,17.94172,0;11.39976,0,2.255651,0;8.15155,0,2.314049,0;5.042818,0,2.047199,0;2.144621,0,1.327751,0	-7.96,0,-1.17;0,9.669375,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.763729,0,-1.413656,0;-2.35212,0,-0.3732859,0	-0.76;0;4.08	57.22092	bgm_battle_10		0	0		0	0	-0.88;1.53;-2,0;9.46;0	3;3;6.5;1.2	91:fightmap59	91:BG_fightmap59		1	0,0,0;0,0,0			1												
10701	fightmap07	7.62;3.5;16.8	15.8;210;0	5.67;2.3;15.99	8.82;194.05;0	7.62;3.5;16.8	15.8;210;0	5.67;2.3;15.99	8.82;194.05;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	5.97;0;19.51	1	0	600001	2.81;0;2.46	0;0;0	4;0;11.59	0;0;0	8.17;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-2.17,0,11.7;0,15.2,0;10.12,0,1.452093,0;7.63,0,1.82,0;5.36,0,1.68,0;3.13,0,1.23,0	-2.7,0,4.41;0,6.55,0;11.6,0,-1.524945,0;7.48,0,-1.773118,0;3.07,0,-1.184777,0;-0.4,0,0.07278576,0	4.23;0;7.05	57.22092	bgm_battle_07		0	0		0	0	0.92;1.53;-1.34,0;-11;0	3;3;6.5;1.2	91:fightmap07	91:BG_fightmap07		1	0,0,0;0,0,0			1	南港区	南港區	Southport	南港区	사우스포트	เขตทะเลใต้	玩偶工厂	玩偶工廠	Doll Factory	ぬいぐるみ工房	인형 공장	โรงงานตุ๊กตา
10801	fightmap08	5.96;3.53;17.2	16.50001;209.5;0	3.9;1.88;16.31	6.73;193.14;0	5.96;3.53;17.2	14.2;-150;0	3.9;1.88;16.31	6.73;193.14;0	0.2	0.1	0.1	15	15	0;-158.67;0	0;0;0	3.82;0;17.48	1	0	600001	0.24;0;2.46	0;0;0	2.59;0;11.87	0;0;0	6.6;0;9.582093	0;202;0	-3.39;0;6.18	0;20;0	8.16;0;6.1	0;286;0	-4,0,11.7;0,12.05,0;10.38,0,1.452093,0;7.73,0,1.88,0;5.36,0,1.85,0;2.73,0,1.46,0	-5,0,4.41;0,6.55,0;13.4,0,-1.524945,0;8.25,0,-1.773118,0;2.78,0,-1.184777,0;-2.54,0,0.07278576,0	1.56;0;7.36	57.22092	bgm_battle_08		0	0		0	0	0.92;1.59;-1.34,0;-11;0	3;3;6.5;1.2	91:fightmap08	91:BG_fightmap08		1	0,0,0;0,0,0			1	昆士区	昆士區	Quince	コンシ区	퀸즈 타운	เขตควินซ์	涩谷	澀穀	Shibuya	渋谷	시부야	ชิบูย่า
