id	camp	conditionId	conditionNum	status
int	int	int	int	int
-1	0	0	0	1
101	2	1	0	1
102	2	0	0	1
103	2	31	0	1
105	2	10	1;1	1
106	2	10	1;2	1
107	2	10	1;3	1
108	2	10	2;1	1
109	2	10	2;2	1
110	2	10	2;3	1
111	2	10	3;1	1
112	2	10	3;2	1
113	2	10	3;3	1
114	2	11	1;1	1
115	2	11	1;2	1
116	2	11	1;3	1
117	2	11	2;1	1
118	2	11	2;2	1
119	2	11	2;3	1
120	2	11	3;1	1
121	2	11	3;2	1
122	2	11	3;3	1
123	2	3	1	1
124	2	3	2	1
125	2	3	3	1
126	2	3	4	1
127	2	12	1	1
128	2	12	2	1
129	2	12	3	1
130	2	13	1	1
131	2	13	2	1
132	2	13	3	1
133	2	43	1	1
134	2	43	2	1
135	2	10	5;1	1
136	2	11	100;1	1
137	2	11	100;2	1
138	2	11	100;3	1
139	2	52	904033	1
140	2	52	127008	1
141	2	52	34026001	1
142	2	52	34018009	1
143	2	52	38006009	1
144	2	52	129001	1
145	2	54	102030101;0	1
146	2	54	110900201;2	1
153	2	64		1
201	1	1	0	1
202	1	0	0	1
203	1	31	0	1
205	1	10	1;1	1
206	1	10	1;2	1
207	1	10	1;3	1
208	1	10	2;1	1
209	1	10	2;2	1
210	1	10	2;3	1
211	1	10	3;1	1
212	1	10	3;2	1
213	1	10	3;3	1
214	1	11	1;1	1
215	1	11	1;2	1
216	1	11	1;3	1
217	1	11	2;1	1
218	1	11	2;2	1
219	1	11	2;3	1
220	1	11	3;1	1
221	1	11	3;2	1
222	1	11	3;3	1
223	1	3	1	1
224	1	3	2	1
225	1	3	3	1
226	1	3	4	1
227	1	12	1	1
228	1	12	2	1
229	1	12	3	1
230	1	13	1	1
231	1	13	2	1
232	1	13	3	1
238	1	42	1	1
239	1	42	2	1
240	1	42	3	1
241	1	42	4	1
242	1	42	5	1
243	1	51	0	1
244	1	46	1	1
245	1	46	2	1
246	1	46	3	1
247	1	46	4	1
248	1	46	5	1
249	1	46	6	1
251	5	0	0	1
252	5	10	1;1	1
253	5	10	2;1	1
254	5	10	3;1	1
255	5	12	1	1
256	5	11	1;1	1
257	5	11	2;1	1
258	5	11	3;1	1
259	5	13	1	1
260	5	3	1	1
261	1	45	1	1
262	1	52	102008	1
263	1	52	108008	1
264	1	43	2	1
301	4	30	0	1
302	4	31	0	1
303	4	32	0	1
304	1	54	120601250;0	1
305	2	52	102021	1
306	1	55	110302104;0	1
307	5	52	107010	1
308	1	52	108006	1
309	1	55	111100214;0	1
310	1	54	110900228;0	1
401	3	3	2	1
402	3	3	1	1
403	3	12	1	1
404	3	13	1	1
405	3	0	0	1
311	1	52	114002	1
312	1	52	138008	1
313	1	52	802008	1
147	2	54	180200803;0	1
314	1	52	103009	1
315	2	52	103009	1
148	1	54	110101810;0	1
149	1	54	114400102;0	1
316	1	52	141008	1
317	1	52	804008	1
150	1	54	180400815;0	1
318	1	52	119008	1
151	2	52	31043071	1
152	2	52	31044071	1
319	5	52	139008	1
320	1	52	103017	1
321	2	10	100;1	1
322	1	52	144001	1
323	2	52	133008	1
324	1	52	149008	1
325	4	42	3	1
326	1	56	0	1
327	1	52	802008	1
328	2	52	104013	1
329	1	52	150008	1
330	5	46	2	1
331	2	52	146008	1
332	2	52	154008	1
333	1	52	154008	1
334	2	57	2;1	1
335	1	52	147008	1
336	1	52	138001	1
337	1	54	114700809;0	1
338	1	52	131001	1
339	2	54	116000815;0	1
340	2	54	1314500802;0	1
341	1	52	156008	1
342	2	59	115700808;1;1	1
343	2	52	102005	1
344	1	54	115800804;0	1
345	1	54	115800805;0	1
346	1	54	115800819;0	1
347	2	60	1;1	1
348	1	52	34053001	1
349	1	52	164008	1
350	2	59	116400809;1;1	1
351	2	57	2;1	1
352	2	63	100;1	1
353	1	52	135002	1
354	1	54	113500207;0	1
355	5	46	3	1
356	1	55	114400201;0	1
357	2	54	114400201;0	1
358	1	52	166008	1
359	1	52	102017	1
360	1	44	1	1
361	2	52	170008	1
362	5	52	104002	1
363	1	52	171008	1
364	5	52	171008	1
365	2	52	172008	1
366	2	58	2;1	1
367	1	52	172008	1
368	2	44		1
369	2	52	173008	1
370	2	54	117300837;0	1
371	1	52	102010	1
