id	group	regionLevel	unlockNum	proposalLevel	frequency	costItem	costNum	costNumLose	SceneId	rounds	repeatButton	score	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
12050101	1001	1	0	60000		0	0	0	13201	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050102	1001	2	0	120000		0	0	0	13201	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050103	1001	3	0	230000		0	0	0	13201	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
12050201	1002	1	0	80000		0	0	0	10601	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050202	1002	2	0	150000		0	0	0	10601	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050203	1002	3	0	250000		0	0	0	10601	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
12050301	1003	1	0	100000		0	0	0	12202	8	1	10	1	简单	簡單	Easy	Easy	간단	ง่าย	简单	簡單	Easy	Easy	간단	ง่าย	相对简单难度挑战	相對簡單難度挑戰	A relatively easy challenge	難易度の低い挑戦	비교적 쉬운 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​ค่อนข้าง​ง่าย​
12050302	1003	2	0	170000		0	0	0	12202	8	1	15	1	困难	困難	Hard	Hard	하드	ยาก	困难	困難	Hard	Hard	하드	ยาก	具有一定难度挑战	具有一定難度挑戰	A moderately challenging task	難易度の高い挑戦	일정 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มี​ความ​ยาก​พอสมควร​
12050303	1003	3	0	280000		0	0	0	12202	8	1	20	1	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	挑战	挑戰	Challenge	挑戦	도전	ความท้าทาย	极具难度的挑战	極具難度的挑戰	A very difficult challenge	極めて困難な挑戦	극한 난이도 도전	ความ​ท้าทาย​ใน​ระดับ​ที่​มีระดับ​ยาก​มาก​
