id	attributeId	attAddType	isConversion	oppsite	status	attributeName	attributeName_zh_TW	attributeName_en_UK	attributeName_ja_JP	attributeName_ko_KR	attributeName_th_TH
int	int	int	int	int	int	int	int	int	int	int	int
701	36	1	0	1	1						
702	36	2	1	1	1						
801	41	1	0	1	1						
802	41	2	1	1	1						
901	32	1	0	1	1						
902	32	2	1	1	1						
1001	37	1	0	1	1						
1002	37	2	1	1	1						
1101	40	1	0	1	1						
1102	40	2	1	1	1						
1201	29	1	0	1	1						
1202	29	2	1	1	1						
1203	209	1	1	1	1	穿透率	穿透率	Armor PEN	貫通率	관통률	อัตราเจาะเกราะ
1301	30	1	0	1	1						
1302	30	2	1	1	1						
1303	210	1	1	1	1	忍耐率	忍耐率	Endurance	忍耐率	인내율	อัตราอดทน
1801	25	1	1	1	1						
1802	26	1	1	1	1						
101	1	1	0	1	1	攻击力	攻擊力	ATK	攻撃力	공격력	ATK
102	1	2	1	1	1	攻击力	攻擊力	ATK	攻撃力	공격력	ATK
201	2	1	0	1	1	防御力	防禦力	DEF	防御力	방어력	DEF
202	2	2	1	1	1	防御力	防禦力	DEF	防御力	방어력	DEF
301	3	1	0	1	1	生命值	生命值	HP	HP	HP	HP
302	3	2	1	1	1	生命值	生命值	HP	HP	HP	HP
401	20	1	1	1	1	幸运	幸運	LUCK	幸運値	행운	โชค
603	5	1	1	1	1	暴击率	爆擊率	CRIT Rate	会心率	크리티컬율	อัตราคริติคอล
703	6	1	1	1	1	暴击伤害	爆擊傷害	CRIT DMG	会心ダメージ	크리티컬 대미지	ดาเมจคริติคอล
803	21	1	1	1	1	暴击率抵抗	爆擊率抵抗	CRIT RES	会心回避率	크리티컬율 저항	ต้านทานอัตราคริ
903	22	1	1	1	1	暴击伤害抵抗	爆擊傷害抵抗	CRIT DMG RES	会心ダメージ抵抗率	크리티컬 대미지 저항	ต้านทานดาเมจคริ
1003	7	1	1	1	1	精准	精準	Accuracy	精確	정밀도	แม่นยำ
1103	10	1	1	1	1	格挡	格擋	Block	ブロック	블록	บล็อก
1401	27	1	1	1	1	基础伤害	基礎傷害	Base DMG	基本ダメージ	기본 대미지	ดาเมจพื้นฐาน
1402	28	1	1	1	1	基础伤害减免	基礎傷害減免	Base DMG Red.	基本ダメージダウン	기본 대미지 감면	ลดดาเมจพื้นฐาน
1501	23	1	1	1	1	伤害	傷害	DMG	単体攻撃	대미지	ดาเมจ
1502	24	1	1	-1	1	伤害减免	傷害減免	DMG Reduction	ダメージダウン	대미지 감면	ลดดาเมจ
1601	211	1	1	1	1	造成治疗提升	造成治療提升	Healing Boost	与回復効果アップ	부여하는 치유 증가	สร้างการฟื้นฟูเพิ่มขึ้น
1602	206	1	1	1	1	受到治疗提升	受到治療提升	Received Healing UP	被回復効果アップ	적용되는 치유 증가	ได้รับการฟื้นฟูเพิ่มขึ้น
1701	208	1	1	1	1	吸血	吸血	Lifesteal	吸血	흡혈	ดูดเลือด
1901	212	1	1	1	1	溅射	濺射	Splash	スプラッシュ	확산 대미지	กระจายดาเมจ
2001	204	1	1	1	1	反伤	反傷	DMG Reflection	ダメージ反射	반사 대미지	สะท้อนดาเมจ
2002	205	1	1	1	1	反伤	反傷	DMG Reflection	ダメージ反射	반사 대미지	สะท้อนดาเมจ
2101	214	1	1	1	1	造成护盾提升	造成護盾提升	Shield Effect UP	与シールド耐久アップ	부여하는 실드	สร้างโล่ป้องกันเพิ่มขึ้น
2102	215	1	1	1	1	受到护盾提升	受到護盾提升	Shield Gained UP	被シールド耐久アップ	적용되는 실드	ได้รับโล่ป้องกันเพิ่มขึ้น
2201	216	1	1	1	1	间接伤害	間接傷害	Indirect DMG	間接ダメージ	간접 대미지	ดาเมจต่อเนื่อง
2202	217	1	1	-1	1	间接伤害减免	間接傷害減免	Indirect DMG Red.	間接ダメージ軽減	간접 대미지 감면	ลดดาเมจต่อเนื่อง
2501	220	1	1	1	1	控制增幅	控制增幅	Control Boost	行動制限強化	제어 증폭	เสริมการควบคุม
2502	221	1	1	1	1	控制抵抗	控制抵抗	Control RES	行動制限抵抗	제어 저항	ต่อต้านการควบคุม
2601	222	1	1	1	1	暴击修正	爆擊修正	Critical Modifier	会心修正	크리티컬 보정	ปรับคริติคอล
3011	301	1	1	1	1						
3021	302	1	1	1	1						
3031	303	1	1	1	1						
3041	304	1	1	1	1						
3051	305	1	1	1	1						
3061	306	1	1	1	1						
3071	307	1	1	1	1						
3081	308	1	1	1	1						
3091	309	1	1	1	1						
3101	310	1	1	1	1						
3111	311	1	1	1	1						
3121	312	1	1	1	1						
4011	401	1	1	1	1						
4021	402	1	1	1	1						
4031	403	1	1	1	1						
4041	404	1	1	1	1						
4051	405	1	1	1	1						
4061	406	1	1	1	1						
4071	407	1	1	1	1						
4081	408	1	1	1	1						
4091	409	1	1	1	1						
4101	410	1	1	1	1						
4111	411	1	1	1	1						
4121	412	1	1	1	1						
