roleId	characterId	defaultSkin	urSkin	starSkin	colorSkin	mainCat	playboard	canBattle	catType	location	race	rare	startRareLevel	starMin	attribute	starMax	autoEquip	starLevelType	isHarmonious	mode	lobbyMode	sound	atkSkill1	atkSkill2	atkSkill3	atkSkill4	atkSkill5	atkSkill0	passiveSkill	maxSp	reward	rewardNum	animation	cueName	summonPool	summonData	summonPriority	inChallengPool	inHandBook	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	jp_CV	jp_CV_zh_TW	jp_CV_en_UK	jp_CV_ja_JP	jp_CV_ko_KR	jp_CV_th_TH	cn_CV	cn_CV_zh_TW	cn_CV_en_UK	cn_CV_ja_JP	cn_CV_ko_KR	cn_CV_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101005	101	10100501	10100599	10100599		2	1	1	3	4	3	1	1	0	3	6	104;106;110;109;111;112;107;108	1	0	101005	101005_lobby	101005	71101005	72101005				73101005	0	5			0					0	1	1	涂鸦战争	塗鴉戰爭	Scribble Scramble	グラフィティ戦争	그래피티	สงครามกราฟฟิตี	非天	非天	Asura	アスラ	아수라	อาสึระ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
101008	101	10100801	10100899	10100899		2	1	1	3	4	3	2	1	0	1	6	104;106;110;109;111;112;107;108	1	0	101008	101008_lobby	101008	71101008	72101008				73101008	0	5			0	sfx_card_ssr_101008				1	1	1	自由轮滑	自由輪滑	Freestyle Skater	フリースケーティング	프리 스케이팅	โรลเลอร์เบลด	非天	非天	Asura	アスラ	아수라	อาสึระ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
101011	101	10101101	10101199	10101199		2	1	1	3	4	3	2	1	0	1	6	111;104;106;110;109;112;107;108	1	0	101011	101011_lobby	101011	71101011	72101011				73101011	0	5			0					0	0	1	棒球龙魂	棒球龍魂	Blaze Battler	ドラゴンストライク	드래곤 베이스볼	ดราก้อนสไตรค์	非天	非天	Asura	アスラ	아수라	อาสึระ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
101013	101	10101301	10101399	10101399		2	1	1	3	4	3	3	1	0	2	6	104;106;110;109;111;112;107;108	1	0	101013	101013_lobby	101013	71101013	72101013				73101013	0	5			1	sfx_card_ssr_101013				1	1	1	森林守护者	森林守護者	Forest Ranger	森の守護者	포레스트 가디언	ผู้พิทักษ์แห่งป่า	非天	非天	Asura	アスラ	아수라	อาสึระ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
102001	102	10200101	10200199	10200199		2	1	1	4	4	2	1	1	0	1	6	111;104;106;110;109;112;107;108	1	0	102001	102001_lobby	102001	71102001	72102001				73102001	0	5			0					0	1	1	星之愿	星之愿	Stargazer	星に願いを	별의 기원	สตาร์เกซเซอร์	艾可	艾可	Echo	アイコ	에코	เอคโค	内田彩	內田彩	Aya Uchida	內田彩	우치다 아야	อุจิดะ อายะ						
102007	102	10200701	10200799	10200799		2	1	1	4	3	2	3	1	0	1	6	111;104;106;110;109;112;107;108	1	0	102007	102007_lobby	102007	71102007	72102007				73102007	0	5			1	sfx_card_ssr_102007				1	1	1	电音骑士	電音騎士	Sparkle Rider	ポップナイト	EDM 여신	เหมียวนักบิด	艾可	艾可	Echo	アイコ	에코	เอคโค	内田彩	內田彩	Aya Uchida	內田彩	우치다 아야	อุจิดะ อายะ						
102008	102	10200801	10200899	10200899		2	1	1	4	2	2	2	1	0	3	6	111;104;106;110;109;112;107;108	1	0	102008	102008_lobby	102008	71102008	72102008				73102008	0	5			0					1	1	1	机械助理	機械助理	Mechanicat	アシスタントロボット	머신 어시스턴트	เหมียวเครื่องกล	艾可	艾可	Echo	アイコ	에코	เอคโค	内田彩	內田彩	Aya Uchida	內田彩	우치다 아야	อุจิดะ อายะ						
102010	102	10201001	10201099	10201099		2	1	1	4	2	2	3	1	0	2	6	111;104;106;110;109;112;107;108	1	0	102010	102010_lobby	102010	71102010	72102010				73102010	110201003;110201004;110201014;110201005	8			1	sfx_card_ssr_102010				0	1	1	火力开采	火力開採	Fiery Extraction	情熱のドリル	화력 채굴	ยิงสกัดขุดทะลวง	艾可	艾可	Echo	アイコ	에코	เอคโค	内田彩	內田彩	Aya Uchida	內田彩	우치다 아야	อุจิดะ อายะ						
102011	102	10201101	10201199	10201199		2	1	1	4	6	2	3	1	0	4	6	108;107;112;110;109;104;106;111	1	0	102011	102011_lobby	102011	71102011	72102011				73102011	0	5			1	sfx_card_ssr_102011				0	1	1	鳐摇心情	鰩搖心情	Marine Maverick	バイオニックエイ	마인드 셰이커	ผู้กล้าคาบสมุทร	艾可	艾可	Echo	アイコ	에코	เอคโค	内田彩	內田彩	Aya Uchida	內田彩	우치다 아야	อุจิดะ อายะ						
102021	102	10202101	10202199	10202199		2	1	1	4	5	2	3	1	0	2	6	111;104;106;110;109;112;107;108	1	0	102021	102021_lobby	102021	71102021	72102021				73102021	0	5			1	sfx_card_ssr_102021				1	1	1	完美效劳	完美效勞	Perfect Pitch	パーフェクトサービス	효율냥땅	ฟูลเซอร์วิส	艾可	艾可	Echo	アイコ	에코	เอคโค	内田彩	內田彩	Aya Uchida	內田彩	우치다 아야	อุจิดะ อายะ						
103002	103	10300201	10300299	10300299		2	1	1	5	5	2	2	1	0	2	6	111;104;106;110;109;112;107;108	1	0	103002	103002_lobby	103002	71103002	72103002				73103002	0	5			0					1	1	1	纯真拜访者	純真拜訪者	Crimson Charm	純真なるお見舞い	빨간 망토	แมวน้อยหมวกแดง	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	鬼头明里	鬼頭明里	Akari Kito	鬼頭明里	키토 아이리	คิโตะ อาคาริ						
103007	103	10300701	10300799	10300799		2	1	1	5	2	2	3	1	0	1	6	104;106;110;109;111;112;107;108	1	0	103007	103007_lobby	103007	71103007	72103007				73103007	0	5			1	sfx_card_ssr_103007				1	1	1	浮世谣	浮世謠	Fantasia Guitarist	浮世の謡	우키요	เมโลดี้ห้วงเวลา	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	鬼头明里	鬼頭明里	Akari Kito	鬼頭明里	키토 아이리	คิโตะ อาคาริ						
103008	103	10300801	10300899	10300899		2	1	1	5	1	2	2	1	0	3	6	108;107;112;110;109;104;106;111	1	0	103008	103008_lobby	103008	71103008	72103008				73103008	0	5			0					1	1	1	恬静时刻	恬靜時刻	Pure Grace	ピースフルタイム	사일런스 타임	บทเพลงบริสุทธิ์	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	鬼头明里	鬼頭明里	Akari Kito	鬼頭明里	키토 아이리	คิโตะ อาคาริ						
103021	103	10302101	10302199	10302199		2	1	1	5	1	2	3	1	0	2	6	108;107;112;110;109;104;106;111	1	1	103021	103021_lobby	103021	71103021	72103021				73103021	0	5			1	sfx_card_ssr_103021				1	1	1	心动疗愈	心動療愈	Heartfelt Healing	ときめく癒やし	심쿵 메이드	เยียวยาด้วยใจ	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	水崎 汐美	水崎 汐美	Shiomi Mizusaki	水崎汐美	미즈사키 시오미	มิซุซากิ ชิโอมิ	茕桂	煢桂	Olivia		계수나무	ชงกุย
103019	103	10301901	10301999	10301999		2	1	1	5	2	2	1	1	0	1	6	107;112;109;110;104;106;111;108	1	0	103019	103019_lobby	103019	71103019	72103019				73103019	0	5			0					0	1	1	枕边童话	枕邊童話	Dream Weaver	枕元のおとぎ話	포근한 잠자리	นิทานยามราตรี	特莉丝	特莉絲	Triss	トリス	트리스	ทริส	鬼头明里	鬼頭明里	Akari Kito	鬼頭明里	키토 아이리	คิโตะ อาคาริ						
104001	104	10400101	10400199			2	1	1	6	6	4	3	1	0	1	6	107;112;109;110;104;106;111;108	1	0	104001	104001_lobby	104001	71104001	72104001				73104001	0	5			1	sfx_card_ssr_104001				1	1	1	绯红武士	緋紅武士	Scarlet Samurai	真紅の侍	비색의 무사	สการ์เลตต์ซามูไร	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
104002	104	10400201	10400299	10400299		2	1	1	6	4	4	3	1	0	3	6	112;107;109;110;104;106;111;108	1	0	104002	104002_lobby	104002	71104002	72104002				73104002	0	5			1	sfx_card_ssr_104002				0	1	1	追风逐电	追風逐電	Storm Chaser	追風逐電	질풍질주	นักล่าวายุ	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
104003	104	10400301	10400399	10400399		2	1	1	6	6	4	2	1	0	2	6	112;107;109;110;104;106;111;108	1	0	104003	104003_lobby	104003	71104003	72104003				73104003	0	5			0					1	1	1	封面女郎	封面女郎	Catwalk Diva	カバーガール	패셔니스타	แคทวอล์คโมเดล	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
104004	104	10400401	10400499	10400499		2	1	1	6	4	4	3	1	0	1	6	112;107;109;110;104;106;111;108	1	0	104004	104004_lobby	104004	71104004	72104004				73104004	110400406	5			1	sfx_card_ssr_104004				0	1	1	叛逆主张	叛逆主張	Defiant Stand	反逆プロポジション	반역주장	ยืนหยัดไร้จำนน	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
104005	104	10400501	10400599	10400599		2	1	1	6	6	4	1	1	0	2	6	112;107;109;110;104;106;111;108	1	0	104005	104005_lobby	104005	71104005	72104005				73104005	0	5			0					0	1	1	高级特工	高級特工	Ghost Agent	敏腕スパイ	스페셜 에이전트	ยอดสายลับ	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
104008	104	10400801	10400899	10400899		2	1	1	6	6	4	2	1	0	3	6	112;107;109;110;104;106;111;108	1	0	104008	104008_lobby	104008	71104008	72104008				73104008	0	5			0					1	1	1	夜间执勤	夜間執勤	Doctor on Duty	夜間勤務	당직 근무	คุณหมอจำเป็น	南弥生	南彌生	Minami	南 弥生	미나미	มินามิ	加藤英美里	加藤英美里	Emiri Kato	加藤英美里	카토 에미리	คาโต้ เอมิริ						
105001	105	10500101	10500199	10500199		2	1	1	7	4	2	2	1	0	1	6	104;106;110;109;111;112;107;108	1	0	105001	105001_lobby	105001	71105001	72105001				73105001	0	5			0					0	0	1	障碍破坏	障礙破壞	Barrier Blaster	障害破壊	로드메이커	ฝ่ายบุกทะลวง	内特	內特	Nate	ネイト	네이트	เนท	黑铁头发	黑鐵頭髮	Hepaisutosu Kurogane	黒鉄ヘパイストス	쿠로테츠 헤파이스토스	คุโรกาเนะ เฮเฟสทัส						
105002	105	10500201	10500299	10500299		2	1	1	7	4	2	1	1	0	2	6	104;106;110;109;111;112;107;108	1	0	105002	105002_lobby	105002	71105002	72105002				73105002	0	5			0					0	0	1	纪律监督	紀律監督	Campus Watcher	風紀委員	선도부장	นายระเบียบ	内特	內特	Nate	ネイト	네이트	เนท	黑铁头发	黑鐵頭髮	Hepaisutosu Kurogane	黒鉄ヘパイストス	쿠로테츠 헤파이스토스	คุโรกาเนะ เฮเฟสทัส						
