id	type	target	attTypeId	num	status	dec	dec_zh_TW	dec_en_UK	dec_ja_JP	dec_ko_KR	dec_th_TH
int	int	int	int	int	int	int	int	int	int	int	int
1001	1	3	201	1	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1002	1	6	201	2	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1003	1	9	201	3	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1004	1	12	201	4	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1005	1	15	201	5	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1006	1	18	201	6	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1007	1	21	201	7	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1008	1	24	201	8	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1009	1	27	201	9	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1010	1	30	201	10	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1011	1	33	201	11	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1012	1	36	201	12	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1013	1	39	201	13	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1014	1	42	201	14	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1015	1	45	201	15	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1016	1	48	201	16	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1017	1	51	201	17	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1018	1	54	201	18	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1019	1	57	201	19	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1020	1	60	201	20	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1021	1	63	201	21	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1022	1	66	201	22	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1023	1	69	201	23	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1024	1	72	201	24	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1025	1	75	201	25	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1026	1	78	201	26	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1027	1	81	201	27	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1028	1	84	201	28	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1029	1	87	201	29	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1030	1	90	201	30	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1031	1	93	201	31	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1032	1	96	201	32	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1033	1	99	201	33	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1034	1	102	201	34	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1035	1	105	201	35	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1036	1	108	201	36	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1037	1	111	201	37	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1038	1	114	201	38	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1039	1	117	201	39	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1040	1	120	201	40	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1041	1	123	201	41	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1042	1	126	201	42	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
