roleId	rgb1	rgb2	rgb3	num	status
int	int	int	int	int	int
101001	3e4a42	404949	404949	1	1
101002	005be3	0a3c98	0a3c98	2	1
101003	15a69f	1c9a93	1c9a93	3	1
101004	2ec6cc	1c9a99	1c9a99	4	1
101005	e71f55	b20a38	b20a38	5	1
101006	58cbe5	43a2b8	43a2b8	6	1
101007	323a18	2e382a	2e382a	7	1
101008	498eff	1453bb	1453bb	8	1
101009	495a68	525b67	525b67	9	1
101010	b41616	372020	372020	10	1
101011	b41616	372020	372020	11	1
101012	0c197a	3260bd	3260bd	12	1
101017	36377b	5a1d1d	5a1d1d	13	1
102001	000000	1e2028	1e2028	14	1
102002	e3b94f	ca921a	ca921a	15	1
102003	b7cf0f	78b001	78b001	16	1
102004	9fe42f	7bc010	7bc010	17	1
102005	111726	0b0f18	0b0f18	18	1
102006	2cc5cf	049aa2	049aa2	19	1
102007	bfc4fd	282725	282725	20	1
102008	e75d87	d11e55	d11e55	21	1
102009	d50913	251309	251309	22	1
102010	1c1b22	1e1e2d	1e1e2d	23	1
102011	62a9e6	2e303f	2e303f	24	1
102016	62a9e6	2e303f	2e303f	25	1
103001	22191d	2d2227	2d2227	26	1
103002	44dbbb	0ea183	0ea183	27	1
103003	5eb3e8	4b5264	4b5264	28	1
103005	9ae221	55b400	55b400	29	1
103006	566468	384245	384245	30	1
103007	cb0611	bd131c	bd131c	31	1
103008	427bec	225dd3	225dd3	32	1
103010	f86b84	d83d58	d83d58	33	1
103011	3270d7	37333c	37333c	34	1
104001	f0a155	ea821d	ea821d	35	1
104002	4a494a	2e2d2e	2e2d2e	36	1
104003	8b7874	4d3e49	4d3e49	37	1
104004	9c61ff	393537	393537	38	1
104005	000000	0f0f0f	0f0f0f	39	1
104008	3f414d	222227	222227	40	1
