roleId	id	status
string	string	int
101	101005,101008,101011,101013,101018,101012,101002	1
102	102001,102007,102008,102010,102011,102021,102012,102018,102005,102017,102013	1
103	103002,103007,103008,103021,103019,103006,103009,103003,103017,103012,103005,103010,103011	1
104	104001,104002,104003,104004,104005,104008,104016,104007,104009,104013	1
105	105001,105002,105006,105008,105004	1
106	106001,106002,106008,106010,106009,106011,106005	1
107	107001,107005,107008,107010	1
108	108001,108004,108006,108008	1
110	110008	1
111	111002,111008	1
112	112002,112008	1
113	113001,113008,113002	1
114	114001,114008,114002	1
4001	904001	1
4002	904002	1
4005	904005	1
4006	904006	1
4009	904009	1
4010	904010	1
4014	904014	1
4015	904015	1
4020	904020	1
4022	904022	1
4025	904025	1
4026	904026	1
4031	904031	1
4033	904033	1
4034	904034	1
4041	904041	1
4043	904043	1
8002	908002	1
109	109008,109002	1
115	115008	1
117	117008	1
121	121008	1
127	127008,127001	1
130	130008	1
131	131008,131001	1
129	129008,129001,129002	1
123	123008	1
116	116001	1
137	137008	1
140	140008	1
138	138008,138001	1
135	135008,135001,135002	1
803	803008,803001	1
802	802008,801008	1
136	136008	1
144	144001,144008,144002	1
804	804008	1
805	805008	1
806	806008	1
141	141008	1
125	125008	1
120	120008	1
119	119008	1
133	133008	1
139	139008	1
122	122008	1
143	143008	1
149	149008	1
152	152008	1
153	153008	1
151	151008	1
150	150008	1
148	148008	1
154	154008	1
146	146008	1
126	126008	1
147	147008	1
159	159008	1
128	128008	1
160	160008	1
161	161008	1
156	156008	1
157	157008	1
158	158008	1
132	132008	1
162	162008	1
163	163008	1
145	145008	1
155	155008	1
164	164008	1
165	165008	1
166	166008	1
167	167008	1
170	170008	1
169	169008	1
171	171008	1
172	172008	1
173	173008	1
