id	skillLevel	passiveLevel	status
int	int	int	int
31290082	1	1	1
31210081	1	1	1
31290081	1	1	1
31310081	1	1	1
31270081	1	1	1
31110081	1	1	1
31120081	1	1	1
31150081	1	1	1
31020018	1	1	1
31030198	1	1	1
39040418	1	1	1
39040438	1	1	1
31010088	1	1	1
31010118	1	1	1
31050018	1	1	1
31060108	1	1	1
31070058	1	1	1
31110088	1	1	1
31130088	1	1	1
39040058	1	1	1
39040108	1	1	1
39040268	1	1	1
31020078	1	1	1
31030078	1	1	1
31040018	1	1	1
31100088	1	1	1
31140018	1	1	1
31090088	1	1	1
31170088	1	1	1
31040058	1	1	1
31050028	1	1	1
31060018	1	1	1
31080088	1	1	1
39040028	1	1	1
31030028	1	1	1
31040038	1	1	1
31050068	1	1	1
31120088	1	1	1
31140088	1	1	1
39040098	1	1	1
39040338	1	1	1
39080028	1	1	1
31010138	1	1	1
31020218	1	1	1
31030218	1	1	1
31060028	1	1	1
31070018	1	1	1
31080068	1	1	1
31110028	1	1	1
31310088	1	1	1
31010058	1	1	1
39040018	1	1	1
39040068	1	1	1
31020088	1	1	1
31030088	1	1	1
31040088	1	1	1
31060088	1	1	1
31070088	1	1	1
31080048	1	1	1
39040148	1	1	1
39040158	1	1	1
39040208	1	1	1
39040228	1	1	1
39040258	1	1	1
39040318	1	1	1
39040348	1	1	1
31150088	1	1	1
31210088	1	1	1
31050088	1	1	1
31080018	1	1	1
31120028	1	1	1
31130018	1	1	1
31270088	1	1	1
31300088	1	1	1
31300087	1	1	1
31300089	1	1	1
31170081	1	1	1
31270011	1	1	1
31080081	1	1	1
31390082	1	1	1
31660081	1	1	1
