ID	levelId	costExp	status
int	int	int	int
1001	1	0;0;0	1
1002	2	20;20;20	1
1003	3	30;30;30	1
1004	4	50;50;50	1
1005	5	100;100;100	1
1006	6	150;150;150	1
1007	7	200;200;200	1
1008	8	250;250;250	1
1009	9	300;300;300	1
1010	10	350;350;350	1
1011	11	400;400;400	1
1012	12	500;500;500	1
1013	13	650;650;650	1
1014	14	800;800;800	1
1015	15	950;950;950	1
1016	16	1100;1100;1100	1
1017	17	1350;1350;1350	1
1018	18	1600;1600;1600	1
1019	19	1850;1850;1850	1
1020	20	2100;2100;2100	1
1021	21	2350;2350;2350	1
1022	22	2600;2600;2600	1
1023	23	2850;2850;2850	1
1024	24	3100;3100;3100	1
1025	25	3450;3450;3450	1
1026	26	3800;3800;3800	1
1027	27	4150;4150;4150	1
1028	28	4500;4500;4500	1
1029	29	4850;4850;4850	1
1030	30	5200;5200;5200	1
1031	31	5550;5550;5550	1
1032	32	5900;5900;5900	1
1033	33	6250;6250;6250	1
1034	34	6600;6600;6600	1
1035	35	6950;6950;6950	1
1036	36	7300;7300;7300	1
1037	37	7650;7650;7650	1
1038	38	8000;8000;8000	1
1039	39	8350;8350;8350	1
1040	40	8700;8700;8700	1
1041	41	9050;9050;9050	1
1042	42	9400;9400;9400	1
1043	43	9750;9750;9750	1
1044	44	10100;10100;10100	1
1045	45	10450;10450;10450	1
1046	46	10800;10800;10800	1
1047	47	11150;11150;11150	1
1048	48	11500;11500;11500	1
1049	49	11850;11850;11850	1
1050	50	12200;12200;12200	1
1051	51	12550;12550;12550	1
1052	52	12900;12900;12900	1
1053	53	13250;13250;13250	1
1054	54	13600;13600;13600	1
1055	55	13950;13950;13950	1
1056	56	14300;14300;14300	1
1057	57	14650;14650;14650	1
1058	58	15000;15000;15000	1
1059	59	15350;15350;15350	1
1060	60	15700;15700;15700	1
1061	61	16050;16050;16050	1
1062	62	16400;16400;16400	1
1063	63	16750;16750;16750	1
1064	64	17100;17100;17100	1
1065	65	17450;17450;17450	1
1066	66	17800;17800;17800	1
1067	67	18150;18150;18150	1
1068	68	18500;18500;18500	1
1069	69	18850;18850;18850	1
1070	70	19200;19200;19200	1
