key	exp1	totalExp1	exp2	totalExp2	exp3	totalExp3	status
string	int	int	int	int	int	int	int
1	0	0	0	0	0	0	1
2	20	20	20	20	20	20	1
3	30	50	30	50	30	50	1
4	50	100	50	100	50	100	1
5	100	200	100	200	100	200	1
6	150	350	150	350	150	350	1
7	200	550	200	550	200	550	1
8	250	800	250	800	250	800	1
9	300	1100	300	1100	300	1100	1
10	350	1450	350	1450	350	1450	1
11	400	1850	400	1850	400	1850	1
12	500	2350	500	2350	500	2350	1
13	650	3000	650	3000	650	3000	1
14	800	3800	800	3800	800	3800	1
15	950	4750	950	4750	950	4750	1
16	1100	5850	1100	5850	1100	5850	1
17	1350	7200	1350	7200	1350	7200	1
18	1600	8800	1600	8800	1600	8800	1
19	1850	10650	1850	10650	1850	10650	1
20	2100	12750	2100	12750	2100	12750	1
21	2350	15100	2350	15100	2350	15100	1
22	2600	17700	2600	17700	2600	17700	1
23	2850	20550	2850	20550	2850	20550	1
24	3100	23650	3100	23650	3100	23650	1
25	3450	27100	3450	27100	3450	27100	1
26	3800	30900	3800	30900	3800	30900	1
27	4150	35050	4150	35050	4150	35050	1
28	4500	39550	4500	39550	4500	39550	1
29	4850	44400	4850	44400	4850	44400	1
30	5200	49600	5200	49600	5200	49600	1
31	5550	55150	5550	55150	5550	55150	1
32	5900	61050	5900	61050	5900	61050	1
33	6250	67300	6250	67300	6250	67300	1
34	6600	73900	6600	73900	6600	73900	1
35	6950	80850	6950	80850	6950	80850	1
36	7300	88150	7300	88150	7300	88150	1
37	7650	95800	7650	95800	7650	95800	1
38	8000	103800	8000	103800	8000	103800	1
39	8350	112150	8350	112150	8350	112150	1
40	8700	120850	8700	120850	8700	120850	1
41	9050	129900	9050	129900	9050	129900	1
42	9400	139300	9400	139300	9400	139300	1
43	9750	149050	9750	149050	9750	149050	1
44	10100	159150	10100	159150	10100	159150	1
45	10450	169600	10450	169600	10450	169600	1
46	10800	180400	10800	180400	10800	180400	1
47	11150	191550	11150	191550	11150	191550	1
48	11500	203050	11500	203050	11500	203050	1
49	11850	214900	11850	214900	11850	214900	1
50	12200	227100	12200	227100	12200	227100	1
51	12550	239650	12550	239650	12550	239650	1
52	12900	252550	12900	252550	12900	252550	1
53	13250	265800	13250	265800	13250	265800	1
54	13600	279400	13600	279400	13600	279400	1
55	13950	293350	13950	293350	13950	293350	1
56	14300	307650	14300	307650	14300	307650	1
57	14650	322300	14650	322300	14650	322300	1
58	15000	337300	15000	337300	15000	337300	1
59	15350	352650	15350	352650	15350	352650	1
60	15700	368350	15700	368350	15700	368350	1
61	16050	384400	16050	384400	16050	384400	1
62	16400	400800	16400	400800	16400	400800	1
63	16750	417550	16750	417550	16750	417550	1
64	17100	434650	17100	434650	17100	434650	1
65	17450	452100	17450	452100	17450	452100	1
66	17800	469900	17800	469900	17800	469900	1
67	18150	488050	18150	488050	18150	488050	1
68	18500	506550	18500	506550	18500	506550	1
69	18850	525400	18850	525400	18850	525400	1
70	19200	544600	19200	544600	19200	544600	1
