classId	star	levelLimit	property	status
int	int	int	int	int
1101	0	9999	101:49;201:13.5;301:64.8;703:1.5	1
2101	0	9999	101:49;201:13.5;301:129.6;703:1.5	1
3101	0	9999	101:49;201:13.5;301:194.4;703:1.5	1
4101	0	9999	101:49;201:13.5;301:388.8;703:1.5	1
5101	0	9999	101:49;201:13.5;301:1296;703:1.5	1
1102	0	9999	101:61.2;201:13.5;301:48.6;703:1.5	1
2102	0	9999	101:61.2;201:13.5;301:97.2;703:1.5	1
3102	0	9999	101:61.2;201:13.5;301:145.8;703:1.5	1
4102	0	9999	101:61.2;201:13.5;301:291.6;703:1.5	1
5102	0	9999	101:61.2;201:13.5;301:972;703:1.5	1
1103	0	9999	101:73.4;201:27;301:97.2;703:1.5	1
2103	0	9999	101:73.4;201:27;301:194.4;703:1.5	1
3103	0	9999	101:73.4;201:27;301:291.6;703:1.5	1
4103	0	9999	101:73.4;201:27;301:583.2;703:1.5	1
5103	0	9999	101:73.4;201:27;301:1944;703:1.5	1
1104	0	9999	101:91.8;201:27;301:405;703:1.5	1
2104	0	9999	101:91.8;201:27;301:810;703:1.5	1
3104	0	9999	101:91.8;201:27;301:1215;703:1.5	1
4104	0	9999	101:91.8;201:27;301:2430;703:1.5	1
5104	0	9999	101:91.8;201:27;301:7000;703:1.5	1
1105	0	9999	101:61.2;201:21.6;301:64.8;703:1.5	1
2105	0	9999	101:61.2;201:21.6;301:129.6;703:1.5	1
3105	0	9999	101:61.2;201:21.6;301:194.4;703:1.5	1
4105	0	9999	101:61.2;201:21.6;301:388.8;703:1.5	1
5105	0	9999	101:61.2;201:21.6;301:1296;703:1.5	1
1106	0	9999	101:12.2;201:1.35;301:8100;703:1.5	1
2106	0	9999	101:12.2;201:1.35;301:16200;703:1.5	1
3106	0	9999	101:12.2;201:1.35;301:24300;703:1.5	1
4106	0	9999	101:12.2;201:1.35;301:48600;703:1.5	1
5106	0	9999	101:12.2;201:1.35;301:162000;703:1.5	1
1107	0	9999	101:60;201:30;301:64.8;703:1.5	1
2107	0	9999	101:60;201:30;301:180;703:1.5	1
3107	0	9999	101:60;201:30;301:250;703:1.5	1
4107	0	9999	101:60;201:30;301:450;703:1.5	1
5107	0	9999	101:60;201:30;301:1296;703:1.5	1
1201	0	9999	101:36.7;201:18;301:64.8;703:1.5	1
2201	0	9999	101:36.7;201:18;301:129.6;703:1.5	1
3201	0	9999	101:36.7;201:18;301:194.4;703:1.5	1
4201	0	9999	101:36.7;201:18;301:388.8;703:1.5	1
5201	0	9999	101:36.7;201:18;301:1296;703:1.5	1
1202	0	9999	101:45.9;201:18;301:48.6;703:1.5	1
2202	0	9999	101:45.9;201:18;301:97.2;703:1.5	1
3202	0	9999	101:45.9;201:18;301:145.8;703:1.5	1
4202	0	9999	101:45.9;201:18;301:291.6;703:1.5	1
5202	0	9999	101:45.9;201:18;301:972;703:1.5	1
1203	0	9999	101:55.1;201:36;301:97.2;703:1.5	1
2203	0	9999	101:55.1;201:36;301:194.4;703:1.5	1
3203	0	9999	101:55.1;201:36;301:291.6;703:1.5	1
4203	0	9999	101:55.1;201:36;301:583.2;703:1.5	1
