growId	property	status
int	int	int
1101	101:4.9;201:1.35;301:6.48	1
2101	101:4.9;201:1.35;301:12.96	1
3101	101:4.9;201:1.35;301:19.44	1
4101	101:4.9;201:1.35;301:38.88	1
5101	101:4.9;201:1.35;301:129.6	1
1102	101:6.12;201:1.35;301:4.86	1
2102	101:6.12;201:1.35;301:9.72	1
3102	101:6.12;201:1.35;301:14.58	1
4102	101:6.12;201:1.35;301:29.16	1
5102	101:6.12;201:1.35;301:97.2	1
1103	101:7.34;201:2.7;301:9.72	1
2103	101:7.34;201:2.7;301:19.44	1
3103	101:7.34;201:2.7;301:29.16	1
4103	101:7.34;201:2.7;301:58.32	1
5103	101:7.34;201:2.7;301:194.4	1
1104	101:9.18;201:2.7;301:40.5	1
2104	101:9.18;201:2.7;301:81	1
3104	101:9.18;201:2.7;301:121.5	1
4104	101:9.18;201:2.7;301:243	1
5104	101:9.18;201:2.7;301:700	1
1105	101:6.12;201:2.16;301:6.48	1
2105	101:6.12;201:2.16;301:12.96	1
3105	101:6.12;201:2.16;301:19.44	1
4105	101:6.12;201:2.16;301:38.88	1
5105	101:6.12;201:2.16;301:129.6	1
1106	101:1.22;201:0.135;301:810	1
2106	101:1.22;201:0.135;301:1620	1
3106	101:1.22;201:0.135;301:2430	1
4106	101:1.22;201:0.135;301:4860	1
5106	101:1.22;201:0.135;301:16200	1
1107	101:6;201:2;301:6.48	1
2107	101:6;201:2.5;301:18	1
3107	101:6;201:3;301:25	1
4107	101:6;201:3;301:45	1
5107	101:6;201:4.05;301:129.6	1
1201	101:3.67;201:1.8;301:6.48	1
2201	101:3.67;201:1.8;301:12.96	1
3201	101:3.67;201:1.8;301:19.44	1
4201	101:3.67;201:1.8;301:38.88	1
5201	101:3.67;201:1.8;301:129.6	1
1202	101:4.59;201:1.8;301:4.86	1
2202	101:4.59;201:1.8;301:9.72	1
3202	101:4.59;201:1.8;301:14.58	1
4202	101:4.59;201:1.8;301:29.16	1
5202	101:4.59;201:1.8;301:97.2	1
1203	101:5.51;201:3.6;301:9.72	1
2203	101:5.51;201:3.6;301:19.44	1
3203	101:5.51;201:3.6;301:29.16	1
4203	101:5.51;201:3.6;301:58.32	1
5203	101:5.51;201:3.6;301:194.4	1
1204	101:6.89;201:3.6;301:40.5	1
2204	101:6.89;201:3.6;301:81	1
3204	101:6.89;201:3.6;301:121.5	1
4204	101:6.89;201:3.6;301:243	1
