id	property	status
string	string	int
10100801		1
10100802	101:22.5;201:9;301:54	1
10100803	101:62.5;201:24;301:146.5	1
10100804	101:115;201:45;301:272.5	1
10100805	101:179.1;201:69;301:420.5	1
10100806	101:246.6;201:96;301:582.5	1
10100807	101:321.6;201:126;301:762.5	1
10100808	101:409.7;201:164.5;301:971.5	1
10100809	101:511.7;201:200.5;301:1205.5	1
10100810	101:622.2;201:246.1;301:1465.5	1
10100811	101:741.2;201:288.1;301:1752.5	1
10100812	101:876.2;201:340.7;301:2075	1
10100813	101:1028.2;201:404.7;301:2427	1
10100814	101:1189.7;201:464.2;301:2809.5	1
10100815	101:1369.7;201:536.3;301:3223.5	1
10101101		1
10101102	101:22.5;201:9;301:54	1
10101103	101:62.5;201:24;301:146.5	1
10101104	101:118.6;201:45;301:272.5	1
10101105	101:178.6;201:69;301:420.5	1
10101106	101:250.6;201:96;301:582.5	1
10101107	101:325.6;201:126;301:762.5	1
10101108	101:419.1;201:164.5;301:971.5	1
10101109	101:515.2;201:200.5;301:1205.5	1
10101110	101:625.7;201:246.1;301:1465.5	1
10101111	101:751.7;201:288.1;301:1752.5	1
10101112	101:886.7;201:340.7;301:2075	1
10101113	101:1038.7;201:404.7;301:2427	1
10101114	101:1200.2;201:464.2;301:2809.5	1
10101115	101:1380.2;201:536.3;301:3223.5	1
10100501		1
10100502	101:18;201:6;301:42	1
10100503	101:50.5;201:18.5;301:112	1
10100504	101:96;201:36;301:210	1
10100505	101:144;201:52;301:322	1
10100506	101:202.5;201:74.5;301:448	1
10100507	101:262.6;201:94.5;301:583	1
10100508	101:339.7;201:122;301:742.5	1
10100509	101:417.7;201:152;301:922.5	1
10100510	101:508.8;201:184.5;301:1124	1
10100511	101:606.8;201:226.5;301:1341	1
10100512	101:719.3;201:264;301:1588.5	1
10100513	101:839.3;201:312.1;301:1852.5	1
10100514	101:966.8;201:354.6;301:2150	1
10100515	101:1110.8;201:408.6;301:2465	1
10101301		1
10101302	101:31.5;201:12;301:75.1	1
10101303	101:84;201:32;301:197.6	1
10101304	101:157.6;201:63.5;301:372.6	1
10101305	101:241.7;201:95.5;301:568.6	1
10101306	101:336.2;201:131.5;301:793.6	1
10101307	101:436.2;201:171.5;301:1038.6	1
10101308	101:557.2;201:221;301:1324.6	1
10101309	101:689.2;201:275;301:1636.6	1
10101310	101:838.7;201:333.5;301:1994.1	1
10101311	101:1006.7;201:396.5;301:2386.2	1
10101312	101:1186.7;201:471.5;301:2821.2	1
10101313	101:1386.7;201:551.6;301:3293.2	1
10101314	101:1607.7;201:636.6;301:3811.8	1
10101315	101:1841.7;201:726.6;301:4378.8	1
10200801		1
10200802	101:21;201:9;301:54	1
10200803	101:56;201:24;301:144	1
10200804	101:108.5;201:45;301:270	1
10200805	101:164.6;201:69;301:414	1
10200806	101:227.6;201:96;301:576	1
10200807	101:297.6;201:126;301:756	1
