key	ids	status
string	string	int
101005	10100501;10100502;10100503;10100504;10100505;10100506	1
101006	10100601;10100602;10100603;10100604;10100605;10100606	1
101008	10100801;10100802;10100803;10100804;10100805;10100806	1
101011	10101101;10101102;10101103;10101104;10101105;10101106	1
102001	10200101;10200102;10200103;10200104;10200105;10200106	1
102007	10200701;10200702;10200703;10200704;10200705;10200706	1
102008	10200801;10200802;10200803;10200804;10200805;10200806	1
102011	10201101;10201102;10201103;10201104;10201105;10201106	1
102021	10202101;10202102;10202103;10202104;10202105;10202106	1
103002	10300201;10300202;10300203;10300204;10300205;10300206	1
103006	10300601;10300602;10300603;10300604;10300605;10300606	1
103007	10300701;10300702;10300703;10300704;10300705;10300706	1
103008	10300801;10300802;10300803;10300804;10300805;10300806	1
103021	10302101;10302102;10302103;10302104;10302105;10302106	1
103019	10301901;10301902;10301903;10301904;10301905	1
104003	10400301;10400302;10400303;10400304;10400305;10400306	1
104005	10400501;10400502;10400503;10400504;10400505;10400506	1
104008	10400801;10400802;10400803;10400804;10400805;10400806	1
104001	10400101;10400102;10400103;10400104;10400105;10400106	1
105001	10500101;10500102;10500103;10500104;10500105;10500106	1
105002	10500201;10500202;10500203;10500204;10500205;10500206	1
105006	10500601;10500602;10500603;10500604;10500605;10500606	1
105008	10500801;10500802;10500803;10500804;10500805;10500806	1
106001	10600101;10600102;10600103;10600104;10600105;10600106;10600107;10600108;10600109;10600110;10600111;10600112	1
106002	10600201;10600202;10600203;10600204;10600205;10600206;10600207;10600208;10600209;10600210;10600211;10600212	1
106008	10600801;10600802;10600803;10600804;10600805;10600806;10600807;10600808;10600809;10600810;10600811;10600812	1
106010	10601001;10601002;10601003;10601004;10601005;10601006;10601007;10601008;10601009;10601010;10601011;10601012	1
107001	10700101;10700102;10700103;10700104;10700105;10700106	1
107005	10700501;10700502;10700503;10700504;10700505;10700506	1
107008	10700801;10700802;10700803;10700804;10700805;10700806	1
108001	10800101;10800102;10800103;10800104;10800105;10800106	1
108006	10800601;10800602;10800603;10800604;10800605;10800606	1
