ID	totalUpProperty	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status	
								
90800201001	101@34.6;201@14.4;301@74.6;703@0.022;401@0.01;1602@0.011;2102@0.011	90800201	1	101@34.6;201@14.4;301@74.6;703@0.022;401@0.01;1602@0.011;2102@0.011			1	
90800201002	101@47.6;201@14.4;301@74.6;703@0.022;401@0.01;1602@0.011;2102@0.011	90800201	2	101@13	4104041;3000003	15;900	1	
90800201003	101@47.6;201@19.8;301@74.6;703@0.022;401@0.01;1602@0.011;2102@0.011	90800201	3	201@5.4	4104041;3000003	15;960	1	
90800201004	101@47.6;201@19.8;301@102.6;703@0.022;401@0.01;1602@0.011;2102@0.011	90800201	4	301@28	4104041;3000003	15;1020	1	
90800201005	101@47.6;201@19.8;301@102.6;703@0.044;401@0.01;1602@0.011;2102@0.011	90800201	5	703@0.022	4104041;3000003	15;1080	1	
90800201006	101@60.6;201@19.8;301@102.6;703@0.044;401@0.01;1602@0.011;2102@0.011	90800201	6	101@13	4104041;3000003	15;1140	1	
90800201007	101@60.6;201@25.2;301@102.6;703@0.044;401@0.01;1602@0.011;2102@0.011	90800201	7	201@5.4	4104041;3000003	15;1200	1	
90800201008	101@60.6;201@25.2;301@130.6;703@0.044;401@0.01;1602@0.011;2102@0.011	90800201	8	301@28	4104041;3000003	15;1260	1	
90800201009	101@60.6;201@25.2;301@130.6;703@0.044;401@0.02;1602@0.011;2102@0.011	90800201	9	401@0.01	4104041;3000003	15;1320	1	
90800201010	101@73.6;201@25.2;301@130.6;703@0.044;401@0.02;1602@0.011;2102@0.011	90800201	10	101@13	4104041;3000003	15;1380	1	
90800201011	101@73.6;201@30.6;301@130.6;703@0.044;401@0.02;1602@0.011;2102@0.011	90800201	11	201@5.4	4104041;3000003	30;1440	1	
90800201012	101@73.6;201@30.6;301@158.6;703@0.044;401@0.02;1602@0.011;2102@0.011	90800201	12	301@28	4104041;3000003	30;1500	1	
90800201013	101@73.6;201@30.6;301@158.6;703@0.044;401@0.02;1602@0.022;2102@0.011	90800201	13	1602@0.011	4104041;3000003	30;1560	1	
90800201014	101@86.6;201@30.6;301@158.6;703@0.044;401@0.02;1602@0.022;2102@0.011	90800201	14	101@13	4104041;3000003	30;1620	1	
90800201015	101@86.6;201@36;301@158.6;703@0.044;401@0.02;1602@0.022;2102@0.011	90800201	15	201@5.4	4104041;3000003	30;1680	1	
90800201016	101@86.6;201@36;301@186.6;703@0.044;401@0.02;1602@0.022;2102@0.011	90800201	16	301@28	4104041;3000003	30;1740	1	
90800201017	101@86.6;201@36;301@186.6;703@0.044;401@0.02;1602@0.022;2102@0.022	90800201	17	2102@0.011	4104041;3000003	30;1800	1	
90800201018	101@99.6;201@36;301@186.6;703@0.044;401@0.02;1602@0.022;2102@0.022	90800201	18	101@13	4104041;3000003	30;1860	1	
90800201019	101@99.6;201@41.4;301@186.6;703@0.044;401@0.02;1602@0.022;2102@0.022	90800201	19	201@5.4	4104041;3000003	30;1920	1	
90800201020	101@99.6;201@41.4;301@214.6;703@0.044;401@0.02;1602@0.022;2102@0.022	90800201	20	301@28	4104041;3000003	30;1980	1	
90800201021	101@99.6;201@41.4;301@214.6;703@0.066;401@0.02;1602@0.022;2102@0.022	90800201	21	703@0.022	4104041;4104042;3000003	40;40;2040	1	
90800201022	101@112.6;201@41.4;301@214.6;703@0.066;401@0.02;1602@0.022;2102@0.022	90800201	22	101@13	4104041;4104042;3000003	40;40;2100	1	
90800201023	101@112.6;201@46.8;301@214.6;703@0.066;401@0.02;1602@0.022;2102@0.022	90800201	23	201@5.4	4104041;4104042;3000003	40;40;2160	1	
90800201024	101@112.6;201@46.8;301@242.6;703@0.066;401@0.02;1602@0.022;2102@0.022	90800201	24	301@28	4104041;4104042;3000003	40;40;2220	1	
90800201025	101@112.6;201@46.8;301@242.6;703@0.066;401@0.03;1602@0.022;2102@0.022	90800201	25	401@0.01	4104041;4104042;3000003	40;40;2280	1	
90800201026	101@125.6;201@46.8;301@242.6;703@0.066;401@0.03;1602@0.022;2102@0.022	90800201	26	101@13	4104041;4104042;3000003	40;40;2340	1	
90800201027	101@125.6;201@52.2;301@242.6;703@0.066;401@0.03;1602@0.022;2102@0.022	90800201	27	201@5.4	4104041;4104042;3000003	40;40;2400	1	
90800201028	101@125.6;201@52.2;301@270.6;703@0.066;401@0.03;1602@0.022;2102@0.022	90800201	28	301@28	4104041;4104042;3000003	40;40;2460	1	
90800201029	101@125.6;201@52.2;301@270.6;703@0.066;401@0.03;1602@0.033;2102@0.022	90800201	29	1602@0.011	4104041;4104042;3000003	40;40;2520	1	
90800201030	101@138.6;201@52.2;301@270.6;703@0.066;401@0.03;1602@0.033;2102@0.022	90800201	30	101@13	4104041;4104042;3000003	40;40;2580	1	
90800201031	101@138.6;201@57.6;301@270.6;703@0.066;401@0.03;1602@0.033;2102@0.022	90800201	31	201@5.4	4104041;4104042;3000003	50;50;2640	1	
90800201032	101@138.6;201@57.6;301@298.6;703@0.066;401@0.03;1602@0.033;2102@0.022	90800201	32	301@28	4104041;4104042;3000003	50;50;2700	1	
90800201033	101@138.6;201@57.6;301@298.6;703@0.066;401@0.03;1602@0.033;2102@0.033	90800201	33	2102@0.011	4104041;4104042;3000003	50;50;2760	1	
90800201034	101@151.6;201@57.6;301@298.6;703@0.066;401@0.03;1602@0.033;2102@0.033	90800201	34	101@13	4104041;4104042;3000003	50;50;2820	1	
90800201035	101@151.6;201@63;301@298.6;703@0.066;401@0.03;1602@0.033;2102@0.033	90800201	35	201@5.4	4104041;4104042;3000003	50;50;2880	1	
90800201036	101@151.6;201@63;301@326.6;703@0.066;401@0.03;1602@0.033;2102@0.033	90800201	36	301@28	4104041;4104042;3000003	50;50;2940	1	
90800201037	101@151.6;201@63;301@326.6;703@0.088;401@0.03;1602@0.033;2102@0.033	90800201	37	703@0.022	4104041;4104042;3000003	50;50;3000	1	
