key	exp	totalExp	status
string	inCardBreakRewardt	int	int
10100800	0	0	1
10100801	300	300	1
10100802	600	900	1
10100803	900	1800	1
10100804	1200	3000	1
10100805	1500	4500	1
10101100	0	0	1
10101101	200	200	1
10101102	400	600	1
10101103	600	1200	1
10101104	800	2000	1
10101105	1000	3000	1
10100500	0	0	1
10100501	200	200	1
10100502	400	600	1
10100503	600	1200	1
10100504	800	2000	1
10100505	1000	3000	1
10101300	0	0	1
10101301	200	200	1
10101302	400	600	1
10101303	600	1200	1
10101304	800	2000	1
10101305	1000	3000	1
10200800	0	0	1
10200801	250	250	1
10200802	500	750	1
10200803	750	1500	1
10200804	1000	2500	1
10200805	1250	3750	1
10200700	0	0	1
10200701	200	200	1
10200702	400	600	1
10200703	600	1200	1
10200704	800	2000	1
10200705	1000	3000	1
10201100	0	0	1
10201101	200	200	1
10201102	400	600	1
10201103	600	1200	1
10201104	800	2000	1
10201105	1000	3000	1
10200100	0	0	1
10200101	250	250	1
10200102	500	750	1
10200103	750	1500	1
10200104	1000	2500	1
10200105	1250	3750	1
10202100	0	0	1
10202101	375	375	1
10202102	750	1125	1
10202103	1125	2250	1
10202104	1500	3750	1
10202105	1875	5625	1
10300800	0	0	1
10300801	300	300	1
10300802	600	900	1
10300803	900	1800	1
10300804	1200	3000	1
10300805	1500	4500	1
10300200	0	0	1
10300201	250	250	1
10300202	500	750	1
10300203	750	1500	1
10300204	1000	2500	1
10300205	1250	3750	1
10300700	0	0	1
10300701	200	200	1
10300702	400	600	1
10300703	600	1200	1
10300704	800	2000	1
10300705	1000	3000	1
10301900	0	0	1
10301901	250	250	1
10301902	500	750	1
10301903	750	1500	1
10301904	1000	2500	1
10301905	1250	3750	1
10302100	0	0	1
10302101	375	375	1
10302102	750	1125	1
10302103	1125	2250	1
10302104	1500	3750	1
10302105	1875	5625	1
10400300	0	0	1
10400301	300	300	1
10400302	600	900	1
10400303	900	1800	1
10400304	1200	3000	1
10400305	1500	4500	1
10400500	0	0	1
10400501	250	250	1
10400502	500	750	1
10400503	750	1500	1
10400504	1000	2500	1
10400505	1250	3750	1
10400100	0	0	1
10400101	200	200	1
10400102	400	600	1
10400103	600	1200	1
10400104	800	2000	1
10400105	1000	3000	1
10400800	0	0	1
10400801	200	200	1
10400802	400	600	1
10400803	600	1200	1
10400804	800	2000	1
10400805	1000	3000	1
10500800	0	0	1
10500801	200	200	1
10500802	400	600	1
10500803	600	1200	1
10500804	800	2000	1
10500805	1000	3000	1
10500100	0	0	1
10500101	200	200	1
10500102	400	600	1
10500103	600	1200	1
10500104	800	2000	1
10500105	1000	3000	1
10500200	0	0	1
10500201	200	200	1
10500202	400	600	1
10500203	600	1200	1
10500204	800	2000	1
10500205	1000	3000	1
10500600	0	0	1
10500601	250	250	1
10500602	500	750	1
10500603	750	1500	1
10500604	1000	2500	1
10500605	1250	3750	1
10600800	0	0	1
10600801	250	250	1
10600802	500	750	1
10600803	750	1500	1
10600804	1000	2500	1
10600805	1250	3750	1
10600100	0	0	1
10600101	250	250	1
10600102	500	750	1
10600103	750	1500	1
10600104	1000	2500	1
10600105	1250	3750	1
10600200	0	0	1
10600201	200	200	1
10600202	400	600	1
10600203	600	1200	1
10600204	800	2000	1
10600205	1000	3000	1
10601000	0	0	1
10601001	200	200	1
10601002	400	600	1
10601003	600	1200	1
10601004	800	2000	1
10601005	1000	3000	1
10700800	0	0	1
10700801	300	300	1
10700802	600	900	1
10700803	900	1800	1
10700804	1200	3000	1
10700805	1500	4500	1
10700100	0	0	1
10700101	200	200	1
10700102	400	600	1
10700103	600	1200	1
10700104	800	2000	1
10700105	1000	3000	1
10700500	0	0	1
10700501	200	200	1
10700502	400	600	1
10700503	600	1200	1
10700504	800	2000	1
10700505	1000	3000	1
10800800	0	0	1
10800801	300	300	1
10800802	600	900	1
10800803	900	1800	1
10800804	1200	3000	1
10800805	1500	4500	1
10800100	0	0	1
10800101	200	200	1
10800102	400	600	1
10800103	600	1200	1
10800104	800	2000	1
10800105	1000	3000	1
10800600	0	0	1
10800601	450	450	1
10800602	900	1350	1
10800603	1350	2700	1
10800604	1800	4500	1
10800605	2250	6750	1
10800400	0	0	1
10800401	200	200	1
10800402	400	600	1
10800403	600	1200	1
10800404	800	2000	1
10800405	1000	3000	1
10900800	0	0	1
10900801	200	200	1
10900802	400	600	1
10900803	600	1200	1
10900804	800	2000	1
10900805	1000	3000	1
11000800	0	0	1
11000801	200	200	1
11000802	400	600	1
11000803	600	1200	1
11000804	800	2000	1
11000805	1000	3000	1
11100800	0	0	1
11100801	450	450	1
11100802	900	1350	1
11100803	1350	2700	1
11100804	1800	4500	1
11100805	2250	6750	1
11100200	0	0	1
11100201	200	200	1
11100202	400	600	1
11100203	600	1200	1
11100204	800	2000	1
11100205	1000	3000	1
11200800	0	0	1
11200801	250	250	1
11200802	500	750	1
11200803	750	1500	1
11200804	1000	2500	1
11200805	1250	3750	1
11200200	0	0	1
11200201	200	200	1
11200202	400	600	1
11200203	600	1200	1
11200204	800	2000	1
11200205	1000	3000	1
11300800	0	0	1
11300801	250	250	1
11300802	500	750	1
11300803	750	1500	1
11300804	1000	2500	1
11300805	1250	3750	1
11300100	0	0	1
11300101	200	200	1
11300102	400	600	1
11300103	600	1200	1
11300104	800	2000	1
11300105	1000	3000	1
11400800	0	0	1
11400801	250	250	1
11400802	500	750	1
11400803	750	1500	1
11400804	1000	2500	1
11400805	1250	3750	1
11400100	0	0	1
11400101	200	200	1
11400102	400	600	1
11400103	600	1200	1
11400104	800	2000	1
11400105	1000	3000	1
90400100	0	0	1
90400101	200	200	1
90400102	400	600	1
90400103	600	1200	1
90400104	800	2000	1
90400105	1000	3000	1
90400200	0	0	1
90400201	200	200	1
90400202	400	600	1
90400203	600	1200	1
90400204	800	2000	1
90400205	1000	3000	1
90400500	0	0	1
90400501	200	200	1
90400502	400	600	1
90400503	600	1200	1
90400504	800	2000	1
90400505	1000	3000	1
90400600	0	0	1
90400601	200	200	1
90400602	400	600	1
90400603	600	1200	1
90400604	800	2000	1
90400605	1000	3000	1
90400900	0	0	1
90400901	200	200	1
90400902	400	600	1
90400903	600	1200	1
90400904	800	2000	1
90400905	1000	3000	1
90401000	0	0	1
90401001	200	200	1
90401002	400	600	1
90401003	600	1200	1
90401004	800	2000	1
90401005	1000	3000	1
90401400	0	0	1
90401401	200	200	1
90401402	400	600	1
90401403	600	1200	1
90401404	800	2000	1
90401405	1000	3000	1
90401500	0	0	1
90401501	200	200	1
90401502	400	600	1
90401503	600	1200	1
90401504	800	2000	1
90401505	1000	3000	1
90402000	0	0	1
90402001	200	200	1
90402002	400	600	1
90402003	600	1200	1
90402004	800	2000	1
90402005	1000	3000	1
90402200	0	0	1
90402201	200	200	1
90402202	400	600	1
90402203	600	1200	1
90402204	800	2000	1
90402205	1000	3000	1
90402500	0	0	1
90402501	200	200	1
90402502	400	600	1
90402503	600	1200	1
90402504	800	2000	1
90402505	1000	3000	1
90402600	0	0	1
90402601	200	200	1
90402602	400	600	1
90402603	600	1200	1
90402604	800	2000	1
90402605	1000	3000	1
90403100	0	0	1
90403101	200	200	1
90403102	400	600	1
90403103	600	1200	1
90403104	800	2000	1
90403105	1000	3000	1
90403300	0	0	1
90403301	200	200	1
90403302	400	600	1
90403303	600	1200	1
90403304	800	2000	1
90403305	1000	3000	1
90403400	0	0	1
90403401	200	200	1
90403402	400	600	1
90403403	600	1200	1
90403404	800	2000	1
90403405	1000	3000	1
90404100	0	0	1
90404101	200	200	1
90404102	400	600	1
90404103	600	1200	1
90404104	800	2000	1
90404105	1000	3000	1
90404300	0	0	1
90404301	200	200	1
90404302	400	600	1
90404303	600	1200	1
90404304	800	2000	1
90404305	1000	3000	1
90800200	0	0	1
90800201	200	200	1
90800202	400	600	1
90800203	600	1200	1
90800204	800	2000	1
90800205	1000	3000	1
11500800	0	0	1
11500801	200	200	1
11500802	400	600	1
11500803	600	1200	1
11500804	800	2000	1
11500805	1000	3000	1
12700800	0	0	1
12700801	200	200	1
12700802	400	600	1
12700803	600	1200	1
12700804	800	2000	1
12700805	1000	3000	1
13000800	0	0	1
13000801	200	200	1
13000802	400	600	1
13000803	600	1200	1
13000804	800	2000	1
13000805	1000	3000	1
13100800	0	0	1
13100801	200	200	1
13100802	400	600	1
13100803	600	1200	1
13100804	800	2000	1
13100805	1000	3000	1
11700800	0	0	1
11700801	200	200	1
11700802	400	600	1
11700803	600	1200	1
11700804	800	2000	1
11700805	1000	3000	1
12100800	0	0	1
12100801	200	200	1
12100802	400	600	1
12100803	600	1200	1
12100804	800	2000	1
12100805	1000	3000	1
10300600	0	0	1
10300601	200	200	1
10300602	400	600	1
10300603	600	1200	1
10300604	800	2000	1
10300605	1000	3000	1
10500400	0	0	1
10500401	200	200	1
10500402	400	600	1
10500403	600	1200	1
10500404	800	2000	1
10500405	1000	3000	1
10600900	0	0	1
10600901	200	200	1
10600902	400	600	1
10600903	600	1200	1
10600904	800	2000	1
10600905	1000	3000	1
10701000	0	0	1
10701001	200	200	1
10701002	400	600	1
10701003	600	1200	1
10701004	800	2000	1
10701005	1000	3000	1
12300800	0	0	1
12300801	200	200	1
12300802	400	600	1
12300803	600	1200	1
12300804	800	2000	1
12300805	1000	3000	1
12500800	0	0	1
12500801	200	200	1
12500802	400	600	1
12500803	600	1200	1
12500804	800	2000	1
12500805	1000	3000	1
13700800	0	0	1
13700801	200	200	1
13700802	400	600	1
13700803	600	1200	1
13700804	800	2000	1
13700805	1000	3000	1
11600100	0	0	1
11600101	200	200	1
11600102	400	600	1
11600103	600	1200	1
11600104	800	2000	1
11600105	1000	3000	1
14000800	0	0	1
14000801	200	200	1
14000802	400	600	1
14000803	600	1200	1
14000804	800	2000	1
14000805	1000	3000	1
12900100	0	0	1
12900101	200	200	1
12900102	400	600	1
12900103	600	1200	1
12900104	800	2000	1
12900105	1000	3000	1
12900800	0	0	1
12900801	200	200	1
12900802	400	600	1
12900803	600	1200	1
12900804	800	2000	1
12900805	1000	3000	1
10900200	0	0	1
10900201	200	200	1
10900202	400	600	1
10900203	600	1200	1
10900204	800	2000	1
10900205	1000	3000	1
11300200	0	0	1
11300201	200	200	1
11300202	400	600	1
11300203	600	1200	1
11300204	800	2000	1
11300205	1000	3000	1
11400200	0	0	1
11400201	200	200	1
11400202	400	600	1
11400203	600	1200	1
11400204	800	2000	1
11400205	1000	3000	1
13800100	0	0	1
13800101	200	200	1
13800102	400	600	1
13800103	600	1200	1
13800104	800	2000	1
13800105	1000	3000	1
13800800	0	0	1
13800801	200	200	1
13800802	400	600	1
13800803	600	1200	1
13800804	800	2000	1
13800805	1000	3000	1
13500800	0	0	1
13500801	200	200	1
13500802	400	600	1
13500803	600	1200	1
13500804	800	2000	1
13500805	1000	3000	1
80200800	0	0	1
80200801	200	200	1
80200802	400	600	1
80200803	600	1200	1
80200804	800	2000	1
80200805	1000	3000	1
80300800	0	0	1
80300801	200	200	1
80300802	400	600	1
80300803	600	1200	1
80300804	800	2000	1
80300805	1000	3000	1
80100800	0	0	1
80100801	200	200	1
80100802	400	600	1
80100803	600	1200	1
80100804	800	2000	1
80100805	1000	3000	1
12700100	0	0	1
12700101	200	200	1
12700102	400	600	1
12700103	600	1200	1
12700104	800	2000	1
12700105	1000	3000	1
13600800	0	0	1
13600801	200	200	1
13600802	400	600	1
13600803	600	1200	1
13600804	800	2000	1
13600805	1000	3000	1
10401600	0	0	1
10401601	200	200	1
10401602	400	600	1
10401603	600	1200	1
10401604	800	2000	1
10401605	1000	3000	1
10300900	0	0	1
10300901	200	200	1
10300902	400	600	1
10300903	600	1200	1
10300904	800	2000	1
10300905	1000	3000	1
10201200	0	0	1
10201201	200	200	1
10201202	400	600	1
10201203	600	1200	1
10201204	800	2000	1
10201205	1000	3000	1
10101800	0	0	1
10101801	200	200	1
10101802	400	600	1
10101803	600	1200	1
10101804	800	2000	1
10101805	1000	3000	1
14400100	0	0	1
14400101	200	200	1
14400102	400	600	1
14400103	600	1200	1
14400104	800	2000	1
14400105	1000	3000	1
14400800	0	0	1
14400801	200	200	1
14400802	400	600	1
14400803	600	1200	1
14400804	800	2000	1
14400805	1000	3000	1
80400800	0	0	1
80400801	300	300	1
80400802	600	900	1
80400803	900	1800	1
80400804	1200	3000	1
80400805	1500	4500	1
80500800	0	0	1
80500801	300	300	1
80500802	600	900	1
80500803	900	1800	1
80500804	1200	3000	1
80500805	1500	4500	1
80600800	0	0	1
80600801	200	200	1
80600802	400	600	1
80600803	600	1200	1
80600804	800	2000	1
80600805	1000	3000	1
14100800	0	0	1
14100801	200	200	1
14100802	400	600	1
14100803	600	1200	1
14100804	800	2000	1
14100805	1000	3000	1
12900200	0	0	1
12900201	200	200	1
12900202	400	600	1
12900203	600	1200	1
12900204	800	2000	1
12900205	1000	3000	1
12000800	0	0	1
12000801	200	200	1
12000802	400	600	1
12000803	600	1200	1
12000804	800	2000	1
12000805	1000	3000	1
11900800	0	0	1
11900801	200	200	1
11900802	400	600	1
11900803	600	1200	1
11900804	800	2000	1
11900805	1000	3000	1
13300800	0	0	1
13300801	200	200	1
13300802	400	600	1
13300803	600	1200	1
13300804	800	2000	1
13300805	1000	3000	1
10400700	0	0	1
10400701	200	200	1
10400702	400	600	1
10400703	600	1200	1
10400704	800	2000	1
10400705	1000	3000	1
10300300	0	0	1
10300301	300	300	1
10300302	600	900	1
10300303	900	1800	1
10300304	1200	3000	1
10300305	1500	4500	1
10301700	0	0	1
10301701	200	200	1
10301702	400	600	1
10301703	600	1200	1
10301704	800	2000	1
10301705	1000	3000	1
10201800	0	0	1
10201801	200	200	1
10201802	400	600	1
10201803	600	1200	1
10201804	800	2000	1
10201805	1000	3000	1
10101200	0	0	1
10101201	200	200	1
10101202	400	600	1
10101203	600	1200	1
10101204	800	2000	1
10101205	1000	3000	1
10400900	0	0	1
10400901	200	200	1
10400902	400	600	1
10400903	600	1200	1
10400904	800	2000	1
10400905	1000	3000	1
13900800	0	0	1
13900801	200	200	1
13900802	400	600	1
13900803	600	1200	1
13900804	800	2000	1
13900805	1000	3000	1
14900800	0	0	1
14900801	200	200	1
14900802	400	600	1
14900803	600	1200	1
14900804	800	2000	1
14900805	1000	3000	1
14300800	0	0	1
14300801	200	200	1
14300802	400	600	1
14300803	600	1200	1
14300804	800	2000	1
14300805	1000	3000	1
12200800	0	0	1
12200801	200	200	1
12200802	400	600	1
12200803	600	1200	1
12200804	800	2000	1
12200805	1000	3000	1
15200800	0	0	1
15200801	200	200	1
15200802	400	600	1
15200803	600	1200	1
15200804	800	2000	1
15200805	1000	3000	1
13500100	0	0	1
13500101	200	200	1
13500102	400	600	1
13500103	600	1200	1
13500104	800	2000	1
13500105	1000	3000	1
10401300	0	0	1
10401301	200	200	1
10401302	400	600	1
10401303	600	1200	1
10401304	800	2000	1
10401305	1000	3000	1
10601100	0	0	1
10601101	200	200	1
10601102	400	600	1
10601103	600	1200	1
10601104	800	2000	1
10601105	1000	3000	1
15300800	0	0	1
15300801	200	200	1
15300802	400	600	1
15300803	600	1200	1
15300804	800	2000	1
15300805	1000	3000	1
15100800	0	0	1
15100801	200	200	1
15100802	400	600	1
15100803	600	1200	1
15100804	800	2000	1
15100805	1000	3000	1
15000800	0	0	1
15000801	200	200	1
15000802	400	600	1
15000803	600	1200	1
15000804	800	2000	1
15000805	1000	3000	1
14800800	0	0	1
14800801	200	200	1
14800802	400	600	1
14800803	600	1200	1
14800804	800	2000	1
14800805	1000	3000	1
15400800	0	0	1
15400801	200	200	1
15400802	400	600	1
15400803	600	1200	1
15400804	800	2000	1
15400805	1000	3000	1
80300100	0	0	1
80300101	200	200	1
80300102	400	600	1
80300103	600	1200	1
80300104	800	2000	1
80300105	1000	3000	1
14600800	0	0	1
14600801	200	200	1
14600802	400	600	1
14600803	600	1200	1
14600804	800	2000	1
14600805	1000	3000	1
12600800	0	0	1
12600801	200	200	1
12600802	400	600	1
12600803	600	1200	1
12600804	800	2000	1
12600805	1000	3000	1
10301200	0	0	1
10301201	200	200	1
10301202	400	600	1
10301203	600	1200	1
10301204	800	2000	1
10301205	1000	3000	1
14700800	0	0	1
14700801	200	200	1
14700802	400	600	1
14700803	600	1200	1
14700804	800	2000	1
