key	ids	status
string	string	int
101005	1;2	1
101008	3;4	1
101011	5;6	1
101013	7;8	1
101018	9;10	1
102001	11;12	1
102007	13;14	1
102008	15;16	1
102011	17;18	1
102012	19;20	1
102021	21;22	1
103002	23;24	1
103006	25;26	1
103007	27;28	1
103008	29;30	1
103009	31;32	1
103019	33;34	1
103021	35;36	1
104001	37;38	1
104003	39;40	1
104005	41;42	1
104008	43;44	1
104016	45;46	1
105001	47;48	1
105002	49;50	1
105004	51;52	1
105006	53;54	1
105008	55;56	1
106001	57;58	1
106002	59;60	1
106008	61;62	1
106009	63;64	1
106010	65;66	1
107001	67;68	1
107005	69;70	1
107008	71;72	1
107010	73;74	1
108001	75;76	1
108004	77;78	1
108006	79;80	1
108008	81;82	1
109002	83;84	1
109008	85;86	1
110008	87;88	1
111002	89;90	1
111008	91;92	1
112002	93;94	1
112008	95;96	1
113001	97;98	1
113002	99;100	1
113008	101;102	1
114001	103;104	1
114002	105;106	1
114008	107;108	1
115008	109;110	1
116001	111;112	1
116008	113;114	1
117008	115;116	1
121008	117;118	1
127001	119;120	1
127008	121;122	1
129001	123;124	1
129008	125;126	1
130008	127;128	1
131008	129;130	1
135008	131;132	1
136008	133;134	1
137008	135;136	1
138001	137;138	1
138008	139;140	1
140008	141;142	1
801008	143;144	1
802008	145;146	1
803008	147;148	1
904001	149;150	1
904002	151;152	1
904005	153;154	1
904006	155;156	1
904009	157;158	1
904010	159;160	1
904014	161;162	1
904015	163;164	1
904020	165;166	1
904022	167;168	1
904025	169;170	1
904026	171;172	1
904031	173;174	1
904033	175;176	1
908002	177;178	1
904041	179;180	1
904043	181;182	1
904034	183;184	1
144008	185;186	1
144001	187;188	1
129002	189;190	1
141008	191;192	1
804008	193;194	1
805008	195;196	1
806008	197;198	1
125008	199;200	1
120008	201;202	1
119008	203;204	1
103003	205;206	1
102018	207;208	1
103017	209;210	1
101012	211;212	1
104009	213;214	1
122008	215;216	1
143008	217;218	1
149008	219;220	1
152008	221;222	1
123008	223;224	1
133008	225;226	1
104007	227;228	1
139008	229;230	1
135001	231;232	1
104013	233;234	1
106011	235;236	1
151008	237;238	1
148008	239;240	1
150008	241;242	1
153008	243;244	1
154008	245;246	1
146008	247;248	1
803001	249;250	1
126008	251;252	1
147008	253;254	1
159008	255;256	1
103012	257;258	1
128008	259;260	1
131001	261;262	1
160008	263;264	1
161008	265;266	1
156008	267;268	1
157008	269;270	1
158008	271;272	1
102005	273;274	1
162008	275;276	1
163008	277;278	1
132008	279;280	1
101002	281;282	1
145008	283;284	1
155008	285;286	1
164008	287;288	1
103005	289;290	1
165008	291;292	1
135002	293;294	1
144002	295;296	1
166008	297;298	1
103010	299;300	1
167008	301;302	1
102017	303;304	1
104004	305;306	1
170008	307;308	1
102013	309;310	1
104002	311;312	1
169008	313;314	1
103011	315;316	1
106005	317;318	1
171008	319;320	1
172008	321;322	1
173008	323;324	1
108009	325;326	1
102010	327;328	1
