id	starLv	additionId	additionNum	attributeId	catId	status
int	int	int	int	int	int	int
101001	1;3;5	101001;402001;302001	30;0.3;0.3	1	101	1
101006	1;3;5	201002;402002;302002	50;0.3;0.3	2	101	1
101010	1;3;5	101003;402003;302003	30;0.3;0.3	3	101	1
102002	1;3;5	201004;402008;302008	50;0.3;0.3	4	102	1
103001	1;3;5	201002;302010;402010	50;0.3;0.3	2	103	1
103004	1;3;5	101003;302011;402011	30;0.3;0.3	3	103	1
104005	1;3;5	201001;302013;402013	50;0.3;0.3	1	104	1
104006	1;3;5	101004;302016;402016	30;0.3;0.3	4	104	1
105002	1;3;5	101003;102003;202003	30;0.35;0.35	3	101;102;103;104	1
108008	1;3;5	101004;102004;202004	30;0.35;0.35	4	101;102;103;104	1
101002	2;4	301001;102001;	30;0.5	1	101	1
101003	1;3;5	201004;402004;302004	50;0.3;0.3	4	101	1
101004	2;4	401003;202003;	30;0.3	3	101	1
101005	2;4	301004;102004;	30;0.5	4	101	1
101007	2;4	401004;202004;	30;0.3	4	101	1
101009	2;4	401001;202001;	30;0.3	1	101	1
101011	2;4	401002;202002;	30;0.3	2	101	1
102001	1;3;5	101001;402005;302005	30;0.3;0.3	1	102	1
102003	2;4	301006;102002;	30;0.5	2	102	1
102004	2;4	401007;102003;	30;0.5	3	102	1
102006	2;4	301008;202004;	30;0.3	4	102	1
102008	2;4	401005;102001;	30;0.5	1	102	1
102009	2;4	401006;202002;	30;0.3	2	102	1
103002	2;4	301009;102001;	30;0.5	1	103	1
103008	2;4	401010;102002;	30;0.5	2	103	1
103011	2;4	301011;202003;	30;0.3	3	103	1
104003	2;4	301013;202001;	30;0.3	1	104	1
103014	2;4	401012;202004;	30;0.3	4	103	1
105003	2;4	101004;102004;	30;0.5	4	101;102;103;104	1
106008	2;4	201004;202004;	30;0.3	4	101;102;103;104	1
107008	2;4	101001;202001;	30;0.3	1	101;102;103;104	1
104013	2;4	401014;102002;	30;0.5	2	104	1
104017	2;4	301015;202003;	30;0.3	3	104	1
103019	2;4	401009;202001;	30;0.3	1	103	1
101014	2;4	301002;102002;	30;0.5	2	101	1
101008	3	101003	30	3	101	1
101012	3	201003	50	3	101	1
101013	3	201001	50	1	101	1
101018	3	101004	30	4	101	1
102005	3	101003	30	3	102	1
102011	3	101002	30	2	102	1
102012	2;4	301005;202001	30;0.3	1	102	1
102013	3	201004	50	4	102	1
102014	3	201003	50	3	102	1
102016	2;4	301006;102002	30;0.5	2	102	1
103003	3	101001	30	1	103	1
103005	3	101002	30	2	103	1
103006	3	101003	30	3	103	1
103009	3	201004	50	4	103	1
103010	3	201001	50	1	103	1
104001	3	101004	30	4	104	1
104002	3	201001	50	1	104	1
104004	3	101002	30	2	104	1
104008	2;4	401016;102004	30;0.5	4	104	1
104016	3	201004	50	4	104	1
102017	3	201001	50	1	102	1
103012	3	201002	50	2	103	1
104007	3	201002	50	2	104	1
105008	3	101002	30	2	101;102;103;104	1
109008	3	201004	50	4	101;102;103;104	1
102018	3	201002	50	2	101;102;103;104	1
103017	3	101004	30	4	101;102;103;104	1
104009	2;4	401015;102003;	30;0.5;	3	104	1
105004	2;4	201001;202001;	30;0.3;	1	101;102;103;104	1
106009	3	101001	30	1	101;102;103;104	1
107010	3	201001	50	1	101;102;103;104	1
106011	3	101002	30	2	101;102;103;104	1
108007	2;4	101003;102003;	30;0.5;	3	101;102;103;104	1
108006	3	101001	30	1	101;102;103;104	1
