id	catId	probability	formula	status
int	int	int	int	int
2101	101;102;104	1;0.7;0.4	1101;1102	1
2102	101;103;102	1;0.7;0.4	1101;1103	1
2103	102;101;103	1;0.7;0.4	1101;1104	1
2104	102;104;103	1;0.7;0.4	1101;1105	1
2105	103;102;104	1;0.7;0.4	1102;1103	1
2106	103;104;101	1;0.7;0.4	1102;1104	1
2107	104;101;102	1;0.7;0.4	1102;1105	1
2108	104;103;101	1;0.7;0.4	1103;1104	1
2109	101;104;103	1;0.7;0.4	1103;1105	1
2110	102;103;101	1;0.7;0.4	1104;1105	1
2201	101;102;104	1;0.7;0.4	1201;1202	1
2202	101;103;102	1;0.7;0.4	1201;1203	1
2203	102;101;103	1;0.7;0.4	1201;1204	1
2204	102;104;103	1;0.7;0.4	1201;1205	1
2205	103;102;104	1;0.7;0.4	1202;1203	1
2206	103;104;101	1;0.7;0.4	1202;1204	1
2207	104;101;102	1;0.7;0.4	1202;1205	1
2208	104;103;101	1;0.7;0.4	1203;1204	1
2209	103;102;104	1;0.7;0.4	1203;1205	1
2210	104;101;102	1;0.7;0.4	1204;1205	1
2301	101;102;104	1;0.7;0.4	1301;1302	1
2302	101;103;102	1;0.7;0.4	1301;1303	1
2303	102;101;103	1;0.7;0.4	1301;1304	1
2304	102;104;103	1;0.7;0.4	1301;1305	1
2305	101;104;103	1;0.7;0.4	1302;1303	1
2306	103;104;101	1;0.7;0.4	1302;1304	1
2307	104;101;102	1;0.7;0.4	1302;1305	1
2308	104;103;101	1;0.7;0.4	1303;1304	1
2309	103;102;104	1;0.7;0.4	1303;1305	1
2310	102;103;101	1;0.7;0.4	1304;1305	1
2401	101;102;104	1;0.7;0.4	1401;1402	1
2402	101;103;102	1;0.7;0.4	1401;1403	1
2403	102;101;103	1;0.7;0.4	1401;1404	1
2404	102;104;103	1;0.7;0.4	1401;1405	1
2405	103;102;104	1;0.7;0.4	1402;1403	1
2406	103;104;101	1;0.7;0.4	1402;1404	1
2407	104;101;102	1;0.7;0.4	1402;1405	1
2408	104;103;101	1;0.7;0.4	1403;1404	1
2409	103;102;104	1;0.7;0.4	1403;1405	1
2410	104;101;102	1;0.7;0.4	1404;1405	1
2501	101;102;104	1;0.7;0.4	1501;1502	1
2502	101;103;102	1;0.7;0.4	1501;1503	1
2503	102;101;103	1;0.7;0.4	1501;1504	1
2504	102;104;103	1;0.7;0.4	1501;1505	1
2505	103;102;104	1;0.7;0.4	1502;1503	1
2506	103;104;101	1;0.7;0.4	1502;1504	1
2507	104;101;102	1;0.7;0.4	1502;1505	1
2508	104;103;101	1;0.7;0.4	1503;1504	1
2509	101;104;103	1;0.7;0.4	1503;1505	1
2510	102;103;101	1;0.7;0.4	1504;1505	1
2601	101;102;104	1;0.7;0.4	1601;1602	1
2602	101;103;102	1;0.7;0.4	1601;1603	1
2603	102;101;103	1;0.7;0.4	1601;1604	1
2604	102;104;103	1;0.7;0.4	1601;1605	1
2605	103;102;104	1;0.7;0.4	1602;1603	1
2606	103;104;101	1;0.7;0.4	1602;1604	1
2607	104;101;102	1;0.7;0.4	1602;1605	1
2608	104;103;101	1;0.7;0.4	1603;1604	1
2609	103;102;104	1;0.7;0.4	1603;1605	1
2610	104;101;102	1;0.7;0.4	1604;1605	1
