id	functionId	photo1	photo2	photo3	group	sort	status
int	int	int	int	int	int	int	int
101	236	111:cathouse_tutorial_incubation_1_1	111:cathouse_tutorial_incubation_1_2	111:cathouse_tutorial_incubation_1_3	1	1	1
102	236	111:cathouse_tutorial_incubation_2_1.png	111:cathouse_tutorial_incubation_2_2.png		2	2	1
103	236	111:cathouse_tutorial_incubation_3_1.png			4	3	1
104	236	111:cathouse_tutorial_incubation_4_1.png			4	4	1
105	236	111:cathouse_tutorial_incubation_5_1.png	111:cathouse_tutorial_incubation_5_2.png		3	5	1
106	236	111:cathouse_tutorial_incubation_6_1.png	111:cathouse_tutorial_incubation_6_2.png		3	6	1
107	236	111:cathouse_tutorial_incubation_7_1.png			4	7	1
108	236	111:cathouse_tutorial_incubation_8_1.png	111:cathouse_tutorial_incubation_8_2.png		3	8	1
109	236	111:cathouse_tutorial_incubation_9_1.png			4	9	1
110	236	111:cathouse_tutorial_incubation_10_1.png	111:cathouse_tutorial_incubation_10_2.png		3	10	1
201	243	111:cathouse_tutorial_train_1_1.png			4	1	1
202	243	111:cathouse_tutorial_train_2_1.png			4	2	1
203	243	111:cathouse_tutorial_train_3_1.png			4	3	1
