id	groupId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	434	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
2	434	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
3	434	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
4	434	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
5	434	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
6	434	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
7	434	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
8	437	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
9	437	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
10	437	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
11	437	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
12	437	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
13	437	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
14	437	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
15	420	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
16	420	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
17	420	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
18	420	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
19	420	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
20	420	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
21	420	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
22	421	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
23	421	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
24	421	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
25	421	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
26	421	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
