ID	dec	icon	status
int	int	int	int
101	治愈	153:common_ico_career_1	1
102	增益	153:common_ico_career_2	1
103	减益	153:common_ico_career_3	1
104	单攻	153:common_ico_career_4	1
105	群攻	153:common_ico_career_5	1
106	防护	153:common_ico_career_6	1
201	圆振	153:common_ico_type_1	1
202	三相	153:common_ico_type_2	1
203	方波	153:common_ico_type_3	1
204	星流	153:common_ico_type_4	1
301	红色情绪	153:common_ico_element_1	1
302	绿色情绪	153:common_ico_element_2	1
303	蓝色情绪	153:common_ico_element_3	1
304	白色情绪	153:common_ico_element_4	1
305	黑色情绪	153:common_ico_element_5	1
