id	groupId	time	bossTime	status
int	int	int	int	int
1	1	2024/7/31 5:00		1
2	1	2024/8/13 5:00		1
3	1	2024/9/19 5:00		1
4	1;101;201	2024/9/23 5:00		1
5	1;126;226	2024/9/30 5:00		1
6	1;127;227	2024/10/17 5:00		1
7	1;131;231	2024/10/31 5:00		1
8	1;134;234;334;434	2024/11/14 5:00		1
9	1;137;237;337;437	2024/11/28 5:00	2024/12/19 0:00	1
10	1;120;220;320;420	2024/12/19 5:00	2025/1/2 0:00	1
11	1;121;221;321;421	2025/1/2 5:00	2025/1/16 0:00	1
12	1;142;242;342;442	2025/1/16 5:00	2025/1/30 0:00	1
13	1;143;243;343;443	2025/1/30 5:00	2025/2/13 0:00	1
14	1;145;245;345;445	2025/2/13 5:00	2025/2/27 0:00	1
101	1;147;247;347;447	2025/2/27 5:00	2025/3/13 0:00	1
102	1;148;248;348;448	2025/3/13 5:00	2025/3/27 0:00	1
103	1;149;249;349;449	2025/3/27 5:00	2025/4/10 0:00	1
104	1;151;251;351;451	2025/4/10 5:00	2025/5/1 0:00	1
105	1;155;255;355;455	2025/5/1 5:00	2025/5/15 0:00	1
106	1;156;256;356;456	2025/5/15 5:00	2025/5/29 0:00	1
107	1;158;258;358;458	2025/5/29 5:00	2025/6/12 0:00	1
108	1;159;259;359;459	2025/6/12 5:00	2025/6/26 0:00	1
109	1;162;262;362;462	2025/6/26 5:00	2025/7/10 0:00	1
110	1;165;265;365;465	2025/7/10 5:00	2025/7/24 0:00	1
111	1;166;266;366;466	2025/7/24 5:00	2025/8/7 0:00	1
112	1;167;267;367;467	2025/8/7 5:00	2025/8/21 0:00	1
113	1;122;222	2025/8/21 5:00	2025/9/4 0:00	1
114	1;101;201	2025/9/4 5:00	2025/9/18 0:00	1
115	1;134;234;334;434	2025/9/18 5:00	2025/10/2 0:00	1
116	1;137;237;337;437	2025/10/2 5:00	2025/10/16 0:00	1
117	1;120;220;320;420	2025/10/16 5:00	2025/10/30 0:00	1
118	1;121;221;321;421	2025/10/30 5:00	2025/11/13 0:00	1
119	1;142;242;342;442	2025/11/13 5:00	2025/11/27 0:00	1
120	1;143;243;343;443	2025/11/27 5:00	2025/12/11 0:00	1
121	1;145;245;345;445	2025/12/11 5:00	2025/12/25 0:00	1
122	1;147;247;347;447	2025/12/25 5:00	2026/1/8 0:00	1
123	1;148;248;348;448	2026/1/8 5:00	2026/1/22 0:00	1
124	1;149;249;349;449	2026/1/22 5:00	2026/2/5 0:00	1
125	1;151;251;351;451	2026/2/5 5:00	2026/2/19 0:00	1
126	1;155;255;355;455	2026/2/19 5:00	2026/3/5 0:00	1
127	1;156;256;356;456	2026/3/5 5:00	2026/3/19 0:00	1
128	1;158;258;358;458	2026/3/19 5:00	2026/4/2 0:00	1
129	1;159;259;359;459	2026/4/2 5:00	2026/4/16 0:00	1
130	1;162;262;362;462	2026/4/16 5:00	2026/4/30 0:00	1
131	1;165;265;365;465	2026/4/30 5:00	2026/5/14 0:00	1
132	1;166;266;366;466	2026/5/14 5:00	2026/5/28 0:00	1
133	1;167;267;367;467	2026/5/28 5:00	2026/6/11 0:00	1
134	1;134;234;334;434	2026/6/11 5:00	2026/6/25 0:00	1
135	1;137;237;337;437	2026/6/25 5:00	2026/7/9 0:00	1
136	1;120;220;320;420	2026/7/9 5:00	2026/7/23 0:00	1
137	1;167;267;367;467	2026/7/23 5:00	2026/8/6 0:00	1
138	1;162;262;362;462	2026/8/6 5:00	2026/8/20 0:00	1
139	1;162;262;362;462	2026/8/20 5:00		1
