id	groupId	starLevel	Rewards	ItemNum	status
int	int	int	int	int	int
1	1	3	3000002;5200005;4199001	50;5;5	1
2	1	6	3000002;5200005;4199001	50;5;5	1
3	1	9	3000002;5200005;4199001	50;5;5	1
4	1	12	3000002;5200005;4199001	100;5;5	1
5	1	15	3000002;5200005;4199001	100;5;5	1
6	1	18	3000002;5200005;4199001	100;5;5	1
7	1	21	3000002;5200005;4199001	100;5;5	1
8	1	24	3000002;5200005;4199001	150;5;5	1
9	1	27	3000002;5200005;4199001	150;5;5	1
10	1	30	3000002;5200005;4199001	150;5;5	1
11	101	3	3000002;5200005;4199001	20;1;5	1
12	101	6	3000002;5200005;4199001	20;1;5	1
13	101	9	3000002;5200005;4199001	20;1;5	1
14	101	12	3000002;5200005;4199001	50;1;5	1
15	101	15	3000002;5200005;4199001	50;1;5	1
16	101	18	3000002;5200005;4199001	50;1;5	1
17	101	21	3000002;5200005;4199001	50;1;5	1
18	101	24	3000002;5200005;4199001	80;1;5	1
19	101	27	3000002;5200005;4199001	80;1;5	1
20	101	30	3000002;5200005;4199001	80;1;5	1
21	201	3	3000002;5200005;4199001	50;2;5	1
22	201	6	3000002;5200005;4199001	50;2;5	1
23	201	9	3000002;5200005;4199001	50;2;5	1
24	201	12	3000002;5200005;4199001	80;2;5	1
25	201	15	3000002;5200005;4199001	80;2;5	1
26	201	18	3000002;5200005;4199001	80;2;5	1
27	201	21	3000002;5200005;4199001	80;2;5	1
28	201	24	3000002;5200005;4199001	100;2;5	1
29	201	27	3000002;5200005;4199001	100;2;5	1
30	201	30	3000002;5200005;4199001	100;2;5	1
31	301	3	3000002;5200005;4199001	80;3;5	1
32	301	6	3000002;5200005;4199001	80;3;5	1
33	301	9	3000002;5200005;4199001	80;3;5	1
34	301	12	3000002;5200005;4199001	100;3;5	1
35	301	15	3000002;5200005;4199001	100;3;5	1
36	301	18	3000002;5200005;4199001	100;3;5	1
37	301	21	3000002;5200005;4199001	100;3;5	1
38	301	24	3000002;5200005;4199001	120;3;5	1
39	301	27	3000002;5200005;4199001	120;3;5	1
40	301	30	3000002;5200005;4199001	120;3;5	1
41	102	3	3000002;5200005;4199001	20;1;5	1
42	102	6	3000002;5200005;4199001	20;1;5	1
43	102	9	3000002;5200005;4199001	20;1;5	1
44	102	12	3000002;5200005;4199001	50;1;5	1
45	102	15	3000002;5200005;4199001	50;1;5	1
46	102	18	3000002;5200005;4199001	50;1;5	1
47	102	21	3000002;5200005;4199001	50;1;5	1
48	102	24	3000002;5200005;4199001	80;1;5	1
49	102	27	3000002;5200005;4199001	80;1;5	1
