id	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	1	6210069;6200119;3000002;3000017;4190001	1;1;2000;5000;3000	40003	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
2	2	2	1	3000002;3000017;4190001	1500;5000;3000	40003	1	第2名	第2名	No.2	2位	2위	อันดับที่ 2
3	3	5	1	3000002;3000017;4190001	1200;5000;3000	40003	1	第3~5名	第3~5名	No.3 - No.5	3~5位	3~5위	อันดับที่ 3-5
4	6	20	1	3000002;3000017;4190001	1000;5000;3000	40003	1	第6~20名	第6~20名	No.6 - No.20	6~20位	6~20위	อันดับที่ 6-20
5	21	50	1	3000002;3000017;4190001	800;5000;2000	40003	1	第21~50名	第21~50名	No.21 - No.50	21~50位	21~50위	อันดับที่ 21-50
6	51	150	1	3000002;3000017;4190001	600;4000;1500	40003	1	第51~150名	第51~150名	No.51 - No.150	51~150位	51~150위	อันดับที่ 51-150
7	151	500	1	3000002;3000017;4190001	500;3000;1000	40003	1	第151~500名	第151~500名	No.151 - No.500	151~500位	151~500위	อันดับที่ 151-500
8	501	1000	1	3000002;3000017;4190001	450;2000;500	40003	1	第501~1000名	第501~1000名	No.501 - No.1000	501~1000位	501~1000위	อันดับที่ 501-1,000
9	1001	2000	1	3000002;3000017;4190001	400;1000;200	40003	1	第1001~2000名	第1001~2000名	No.1001 - No.2000	1001~2000位	1001~2000위	อันดับที่ 1,001-2,000
10	2001	5000	1	3000002;3000017;4190001	200;800;100	40003	1	第2001~5000名	第2001~5000名	No.2001 - No.5000	2001~5000位	2001~5000위	อันดับที่ 2,001-5,000
11	5001	10000	1	3000002;3000017;4190001	100;500;100	40003	1	第5001~10000名	第5001~10000名	No.5001 - No.10000	5001~10000位	5001~10000위	อันดับที่ 5,001-10,000
