id	node	catBus	status	dec	dec_zh_TW	dec_en_UK	dec_ja_JP	dec_ko_KR	dec_th_TH
int	int	int	int	int	int	int	int	int	int
1	1	1	1	这是什么？	這是什麼？	What's this?	これはなに？	이건 뭐야?	นี่คืออะไร?
2	1	2	1	奖券！	獎券！	A ticket!	抽選券！	티켓!	ตั๋วรางวัล!
3	1	3	1	奖券！？	獎券！？	A ticket!?	抽選券？！	티켓!?	ตั๋วรางวัล!?
4	2	1	1	> <	> <	> <	> <	> <	> <
5	2	2	1	(*0▽0*)	(*0▽0*)	(*0▽0*)	(*0▽0*)	(*0▽0*)	(*0▽0*)
6	2	3	1	(oωo?) 	(oωo?)	(oωo?)	(oωo?)	(oωo?)	(oωo?)
7	3	1	1	？！	？！	?!	？！	？！	?!
8	3	2	1	！！	！！	!!	！！	！！	!!
9	3	3	1	？！！	？！！	?!!	？！！	？！！	?!!
10	4	1	1	(//oДo?/)	(//oДo?/)	(//oДo?/)	(//oДo?/)	(//oДo?/)	(//oДo?/)
11	4	2	1	(,#0Д0)	(,#0Д0)	(,#0Д0)	(,#0Д0)	(,#0Д0)	(,#0Д0)
12	4	3	1	(╯°Д°)╯	(╯°Д°)╯	(╯°Д°)╯	(╯°Д°)╯	(╯°Д°)╯	(╯°Д°)╯
