id	phylogeneticStage	color	skinType	skinId	partName	color1	color2	color3	color4	itemId	status	skinPool	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101001	1	1	1	179:20039_body01.mat						8700001	1		毛色-幽紫	毛色-幽紫	Fur Color - Mysterious Purple	毛色-ダークパープル	털 색상-진보라색	สีขน-ม่วงบาง
102001	1	2	1	179:20039_body02.mat						8700002	1		毛色-海蓝	毛色-海藍	Fur Color - Azure	毛色-マーリンブルー	털 색상-남색	สีขน-ฟ้าทะเล
103001	1	3	1	179:20039_body03.mat						8700003	1		毛色-天青	毛色-天青	Fur Color - Pale Blue	毛色-スカイブルー	털 색상-하늘색	สีขน-ฟ้าสว่าง
104001	1	4	1	179:20039_body04.mat						8700004	1		毛色-明绿	毛色-明綠	Fur Color - Vivid Green	毛色-ブライトグリーン	털 색상-연두색	สีขน-เขียวสดใส
201001	2	1	1			C0EA46	F38BE8	FF9EF5	FFFFFF	8700005	1		毛色-素紫	毛色-素紫	Fur Color - Subtle Lilac	毛色-ペールパープル	털 색상-보라색	สีขน-ม่วงอ่อน
201002	2	1	1			46E946	FFAEF9	E9CEFF	FFC6CF	8700006	1		毛色-晚樱	毛色-晚櫻	Fur Color - Cherry Pink	毛色-ピンク	털 색상-연분홍색	สีขน-ซากุระ
201003	2	1	1			46E9A4	FBE1FF	FFFFFF	F9C9FF	8700007	1		毛色-绛紫	毛色-絳紫	Fur Color - Dark Purple	毛色-ダークパープル	털 색상-자주색	สีขน-ม่วงเข้ม
202001	2	2	1			46D0E9	79A9FF	B1D8FF	FFFFFF	8700008	1		毛色-碧空	毛色-碧空	Fur Color - Sky Blue	毛色-クリアブルー	털 색상-비취색	สีขน-ฟ้าใส
202002	2	2	1			4674E9	FFFFFF	72C6FF	C2E1FF	8700009	1		毛色-远海	毛色-遠海	Fur Color - Distant Sea	毛色-グレイブルー	털 색상-바다 남색	สีขน-ทะเลลึก
203001	2	3	1			7946E9	99FFF9	B8FFF8	FFFFFF	8700010	1		毛色-清风	毛色-清風	Fur Color - Gentle Breeze	毛色-ホワイトブルー	털 색상-시원한 바람색	สีขน-ลมเย็น
203002	2	3	1			DC46E9	96E6FF	31FFF9	D2FAFF	8700011	1		毛色-薄荷	毛色-薄荷	Fur Color - Minty Fresh	毛色-ミントグリーン	털 색상-민트색	สีขน-มินต์
204001	2	4	1			E9469E	E1FF96	94FF72	FFFFFF	8700012	1		毛色-翠竹	毛色-翠竹	Fur Color - Verdant Bamboo	毛色-ホワイトアンドグリーン	털 색상-대나무색	สีขน-เขียวใบไผ่
204002	2	4	1			E94646	CFFF96	D8FF72	E4FFE1	8700013	1		毛色-青柠	毛色-青檸	Fur Color - Lime Green	毛色-ライムグリーン	털 색상-라임색	สีขน-มะนาว
205001	2	5	1			E98946	FFBD6D	FFA34C	FFFFFF	8700014	1		毛色-橘云	毛色-橘雲	Fur Color - Sunset Cloud	毛色-ホワイトアンドオレンジ	털 색상-주황색	สีขน-เมฆ
205002	2	5	1			E9DB46	FFBD6D	F9FF4C	FFFDEB	8700015	1		毛色-暖橙	毛色-暖橙	Fur Color - Tangerine	毛色-オレンジ	털 색상-코랄색	สีขน-ส้มอบอุ่น
301001	3	1	1			FFFFFF	F38BE8	FF9EF5	FFFFFF	8700016	1		毛色-素紫	毛色-素紫	Fur Color - Subtle Lilac	毛色-ペールパープル	털 색상-보라색	สีขน-ม่วงอ่อน
301002	3	1	1			222222	FFAEF9	E9CEFF	FFC6CF	8700017	1		毛色-晚樱	毛色-晚櫻	Fur Color - Cherry Pink	毛色-ピンク	털 색상-연분홍색	สีขน-ซากุระ
301003	3	1	1			5C5C5C	FBE1FF	FFFFFF	F9C9FF	8700018	1		毛色-绛紫	毛色-絳紫	Fur Color - Dark Purple	毛色-ダークパープル	털 색상-자주색	สีขน-ม่วงเข้ม
302001	3	2	1			BABABA	79A9FF	B1D8FF	FFFFFF	8700019	1		毛色-碧空	毛色-碧空	Fur Color - Sky Blue	毛色-クリアブルー	털 색상-비취색	สีขน-ฟ้าใส
302002	3	2	1			C0EA46	FFFFFF	72C6FF	C2E1FF	8700020	1		毛色-远海	毛色-遠海	Fur Color - Distant Sea	毛色-グレイブルー	털 색상-바다 남색	สีขน-ทะเลลึก
303001	3	3	1			46E946	99FFF9	B8FFF8	FFFFFF	8700021	1		毛色-清风	毛色-清風	Fur Color - Gentle Breeze	毛色-ホワイトブルー	털 색상-시원한 바람색	สีขน-ลมเย็น
303002	3	3	1			46E9A4	96E6FF	31FFF9	D2FAFF	8700022	1		毛色-薄荷	毛色-薄荷	Fur Color - Minty Fresh	毛色-ミントグリーン	털 색상-민트색	สีขน-มินต์
304001	3	4	1			46D0E9	E1FF96	94FF72	FFFFFF	8700023	1		毛色-翠竹	毛色-翠竹	Fur Color - Verdant Bamboo	毛色-ホワイトアンドグリーン	털 색상-대나무색	สีขน-เขียวใบไผ่
