id	phaseId	trigger	status	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH
int	int	int	int	int	int	int	int	int	int
1	1	1	1	喵呜~	喵嗚~	Meowoo!	ニャーン～	야옹~	เหมียว~
2	1	1	1	再多摸摸我吧……	再多摸摸我吧……	Keep petting me, please...	もっと撫でて……	더 만져달라냥...	ลูบฉันอีกสิ...
3	1	1	1	好温暖啊……	好溫暖啊……	It's so warm and cozy...	温かいな……	따뜻하다옹...	อุ่นดีจัง...
4	1	2	1	好好吃喵~	好好吃喵~	It's so yummy!	美味しいにゃ～	정말 맛있다냥~	อร่อยจังเลยเมี้ยว~
5	2	1	1	摸上去的手感很好吧~	摸上去的手感很好吧~	That feels nice to the touch, right?	触り心地いいだろ？	쓰다듬으면 감촉이 엄청 좋다옹~	ความรู้สึก​ตอน​ลูบ​นี่​ดี​สุด​ๆ​ ไป​เลย​~​
6	2	1	1	好喜欢这种感觉……	好喜歡這種感覺……	I really enjoy this feeling...	この感触が好き……	이런 느낌이 좋다옹...	ชอบ​ความรู้สึก​แบบนี้​จัง​...​
7	2	1	1	我可没有睡着哦！	我可沒有睡著哦！	I'm just resting my eyes, I promise!	寝てないよ！	난 안 잔다냥!	ฉันไม่ได้หลับสักหน่อย!
8	2	2	1	还有吗？	還有嗎？	Can I have more cuddles?	おかわりある？	또 있냐옹?	มีอีกไหม?
9	3	1	1	想摸多久都可以，毕竟你是我最好的朋友啊。	想摸多久都可以，畢竟你是我最好的朋友啊。	You can pet me for as long as you want, after all, you're my best friend.	好きなだけ触っていいんだよ、なんたって君は親友だからね。	쓰다듬고 싶은 만큼 쓰다듬어라옹. 너는 내 가장 좋은 친구다냥	จะ​ลูบ​นาน​แค่​ไหน​ก็ได้​นะ​ ก็​คุณ​เป็นเพื่อน​ที่​ดี​ที่สุด​ของ​ฉัน​นี่​
10	3	1	1	你可以靠着我睡觉哦，嘿嘿~	你可以靠著我睡覺哦，嘿嘿~	You can cuddle up against me for sleep, hee-hee.	僕のそばで寝ていいよ、えへへ～	날 기대고 잠들어도 된다옹. 헤헤~	คุณ​จะ​พิง​ฉัน​นอน​ก็ได้​นะ​ คิคิ​~​
11	3	1	1	放心吧，我不会离开你身边的。	放心吧，我不會離開你身邊的。	Don't worry, I'll always be by your side.	離さないから、安心してね。	걱정하지 마라냥, 네 옆을 떠나지 않을 거라냥	วางใจ​เถอะ​ ฉัน​ไม่​ทิ้ง​คุณ​ไป​ไหน​หรอก​
12	3	2	1	啊——满足了，满足了……	啊——滿足了，滿足了……	Ah, I'm so content...	ああ～食った食った……	아—— 만족했다옹, 만족했다옹...	อ้า~ ฟิน ฟินสุดๆ
13	4	1	1	想摸多久都可以，毕竟你是我最好的朋友啊。	想摸多久都可以，畢竟你是我最好的朋友啊。	You can pet me for as long as you want, after all, you're my best friend.	好きなだけ触っていいんだよ、なんたって君は親友だからね。	쓰다듬고 싶은 만큼 쓰다듬어라옹. 너는 내 가장 좋은 친구다냥	จะ​ลูบ​นาน​แค่​ไหน​ก็ได้​นะ​ ก็​คุณ​เป็นเพื่อน​ที่​ดี​ที่สุด​ของ​ฉัน​นี่​
14	4	1	1	你可以靠着我睡觉哦，嘿嘿~	你可以靠著我睡覺哦，嘿嘿~	You can cuddle up against me for sleep, hee-hee.	僕のそばで寝ていいよ、えへへ～	날 기대고 잠들어도 된다옹. 헤헤~	คุณ​จะ​พิง​ฉัน​นอน​ก็ได้​นะ​ คิคิ​~​
15	4	1	1	放心吧，我不会离开你身边的。	放心吧，我不會離開你身邊的。	Don't worry, I'll always be by your side.	離さないから、安心してね。	걱정하지 마라냥, 네 옆을 떠나지 않을 거라냥	วางใจ​เถอะ​ ฉัน​ไม่​ทิ้ง​คุณ​ไป​ไหน​หรอก​
16	4	2	1	嗝——唔，这、可不是饱了……我还能再吃！	嗝——唔，這、可不是飽了……我還能再吃！	Burp—No, that's not a full tummy... I'm ready for more!	ゲップ…こ、これは別に満腹のサインなんかじゃないぞ。まだまだ食えるぜ。	끄억——음, 이, 이건 배가 부른게 아니라옹... 더는 못 먹겠다냥!	เออ​~​ เอิ๊ก​ นี่​...​ ยัง​ไม่​อิ่ม​นะ​ ฉัน​ยัง​กิน​ได้​อีก​!​
