id	point	rewardNum	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int
1	0	400	1	新人调查官	新人調查官	Apprentice Inspector	新人調査官	신인 조사관	ผู้ตรวจการมือใหม่
2	200	450	1	见习调查官	見習調查官	Novice Inspector	見習い調査官	견습 조사관	ผู้ตรวจการฝึกหัด
3	400	500	1	初级调查官	初級調查官	Junior Inspector	初級調査官	초급 조사관	ผู้ตรวจการระดับต้น
4	800	550	1	中级调查官	中級調查官	Intermediate Inspector	中級調査官	중급 조사관	ผู้ตรวจการระดับกลาง
5	1500	600	1	高级调查官	高級調查官	Senior Inspector	高級調査官	고급 조사관	ผู้ตรวจการระดับสูง
6	2300	650	1	先锋调查官	先鋒調查官	Pioneer Inspector	先鋒調査官	선행 조사관	ผู้ตรวจการแนวหน้า
7	3200	700	1	特派调查官	特派調查官	Special Inspector	特派調査官	특파 조사관	ผู้ตรวจการพิเศษ
8	4500	800	1	资深调查官	資深調查官	Seasoned Inspector	ベテラン調査官	선임 조사관	ผู้ตรวจการอาวุโส
9	6000	900	1	首席调查官	首席調查官	Lead Inspector	首席調査官	수석 조사관	หัวหน้าผู้ตรวจการ
10	8000	1000	1	暴风眼调查署署长	暴風眼調查署署長	Chief of the SEBI	ストームアイの署長	스톰아이 조사국 국장	ผู้กำกับการสำนักงานสืบสวนสตอร์มอาย
