id	name	quality	status
int	int	int	int
Adreno 200		0	1
Adreno 203		0	1
Adreno 205		0	1
Adreno 220		0	1
Adreno 225		0	1
Adreno 304		0	1
Adreno 305		0	1
Adreno 306		0	1
Adreno 308		0	1
Adreno 320		0	1
Adreno 330		0	1
Adreno 405		0	1
Adreno 418		0	1
Adreno 420		0	1
Adreno 430		0	1
Adreno 505		0	1
Adreno 506		0	1
Adreno 508		0	1
Adreno 509		0	1
Adreno 510		0	1
Adreno 512	骁龙660	0	1
Adreno 530	骁龙821	2	1
Adreno 540	骁龙835	2	1
Adreno 610	骁龙460,骁龙662,骁龙665	0	1
Adreno 612	骁龙675	0	1
Adreno 615	骁龙670	0	1
Adreno 616	骁龙710,骁龙712	1	1
Adreno 618	骁龙730,骁龙720G,骁龙730G	2	1
Adreno 619	骁龙750G,骁龙480	2	1
Adreno 620	骁龙765,骁龙768G	2	1
Adreno 630	骁龙845	2	1
Adreno 640	骁龙855	2	1
Adreno 642	骁龙780G	2	1
Adreno 642L	骁龙778G	2	1
Adreno 650	骁龙865,骁龙870	3	1
Adreno 660	骁龙888	2	1
Adreno 730	骁龙8 Gen1	3	1
Adreno 725	骁龙7+ Gen2	3	1
Adreno 740	骁龙8 Gen2	3	1
Adreno 750	骁龙8 Gen3	3	1
Mali-300		0	1
Mali-400 MP		0	1
Mali-400 MP2		0	1
Mali-450 MP		0	1
Mali-450 MP4		0	1
Mali-T604		0	1
Mali-T624		0	1
Mali-T628	Kirin 935	0	1
Mali-T720		0	1
Mali-T760		0	1
Mali-T764		0	1
Mali-T820		0	1
Mali-T830		0	1
Mali-T860		0	1
Mali-T880		0	1
Mali-G71		1	1
Mali-G71 MP2		1	1
Mali-G72	Kirin 970	1	1
Mali-G72 MP3	Helio P70	1	1
Mali-G31		0	1
Mali-G51	Kirin 710F	0	1
Mali-G52	Kirin 810	2	1
Mali-G52 MP6	Kirin 810	2	1
Mali-G52 MC2	Helio P65	2	1
Mali-G76	Kirin 990	3	1
Mali-G76 MP5	Exynos 980	2	1
Mali-G76 MP10	Kirin 980,Kirin 990	3	1
Mali-G57	天玑820,天玑800,Kirin 820	1	1
Mali-G57 MC2	天玑700	1	1
Mali-G57 MC3	天玑720	1	1
Mali-G57 MC5	天玑820	1	1
Mali-G68	天玑900	2	1
Mali-G77	天玑1200,Kirin 985	3	1
Mali-G77 MC9	天玑1100	3	1
Mali-G78	Kirin 9000	3	1
Mali-G710		3	1
Mali-G710 MP10	天玑9000	3	1
Mali-G710 MC10	天玑9000	3	1
Mali-G510		2	1
Mali-G310		2	1
Mali-G610		3	1
Mali-G610 MC6	天玑8100,天玑8200	3	1
Mali-G715	天玑9200	3	1
Mali-G720	天玑9300	3	1
Xclipse 530	Exynos 1480	3	1
Xclipse 920	Exynos 2200	3	1
Xclipse 940	Exynos 2400	3	1
Mali-G715-Immortalis	vivo x90	3	1
Mali-G720-Immortalis	vivo x100	3	1
