id	resourcesId	causeType	isAoe	remark	status	Unnamed: 6
int	int	int	int	int	int	int
10100111	fx_ritian_attack	1	0	狸花普攻	1	
10100121	fx_ritian_skill	0	0	狸花小技能	1	
10100131	fx_ritian_big_skill	1	0	狸花大招	1	
10100211	fx_101002_attack	1	0	狸花军装普攻	1	
10100212	fx_101002_attack_hit	1	0	狸花军装普攻受击	1	
10100221	fx_101002_skill01	1	0	狸花军装小技能	1	
10100231	fx_101002_skill02	1	0	狸花军装大招	1	
10100232	fx_101002_skill02_hit	1	0	狸花军装大招受击	1	
10200111	fx_102001_attack	0	0	美短普攻	1	
10200121	fx_102001_skill01	0	0	美短小技能	1	
10200131	fx_102001_skill02	1	0	美短大招	1	
10200211	fx_102002_attack	1	0	美短赛车普攻	1	
10200221	fx_102002_skill01	1	0	美短赛车小技能	1	
10200231	fx_102002_skill02	1	0	美短赛车大招	1	
10200232	fx_102002_skill02_hit	1	0	美短赛车大招受击	1	
10300111	fx_103001_attack	0	0	布偶普攻	1	
10300121	fx_103001_skill01	1	0	布偶小技能	1	
10300122	fx_103001_skill01_hit	1	0	布偶小技能受击	1	
10300131	fx_103001_skill02	1	0	布偶大招	1	
10300132	fx_103001_skill02_hit	1	0	布偶大招受击	1	
10400111	fx_104001_attack	1	0	三花普攻	1	
10400121	fx_104001_skill01	1	0	三花小技能	1	
10400131	fx_104001_skill02	1	0	三花大招	1	
10400132	fx_104001_skill02_attack	1	0	三花大招受击	1	
1	fx_common_hit_01	1	0	拳头受击	1	
2	fx_common_hit_02	1	0	刀剑受击	1	
3	fx_common_hit_03	1	0	钝器受击	1	
4	fx_common_hit_04	1	0	突刺受击	1	
5	fx_common_hit_05	1	0	大爆炸受击	1	
6	fx_common_hit_06	1	0	连续小爆炸受击	1	
7	fx_common_hit_07	1	0	远程箭受击	1	
8	fx_common_hit_08	1	0	远程炮弹受击	1	
9	fx_common_yao	1	0	怪物攻击啃咬	1	
10	fx_common_zhua	1	0	怪物攻击爪子	1	
11	fx_common_fly_01	1	0	飞行子弹	1	
12	fx_monster_enter	0	0	小怪出场特效	1	
501	fx_cell_max	1	0	细胞力max	1	
502	fx_cell_max_buff	1	0	细胞力max_buff	1	
503	fx_cell_remax	1	0	压制后发怒	1	
504	fx_cell_remax_buff	1	0	发怒_buff	1	
505	fx_cell_down	1	0	压制	1	
506	fx_cell_down_debuff	1	0	压制后debuff	1	
507	fx_cell_down_small	1	0	小怪压制	1	
508	fx_cell_down_debuff_small	1	0	小怪压制后debuff	1	
100211	fx_1002_attack	0	0	有害垃圾普攻	1	
100212	fx_1002_attack_hit	0	0	有害垃圾普攻受击	1	
100221	fx_1002_skill	0	1	有害垃圾技能	1	
100411	fx_1004_attack	0	0	湿垃圾普攻	1	
100413	fx_1004_attack_dandao	0	0	湿垃圾弹道	1	
100412	fx_1004_attack_hit	0	0	湿垃圾普攻受击	1	
100421	fx_1004_skill	0	0	湿垃圾技能	1	
100422	fx_1004_skill_hit	0	0	湿垃圾技能受击	1	
800111	fx_8001_attack	0	0	猪普攻	1	
800121	fx_8001_skill01	0	0	猪技能1	1	
800131	fx_8001_skill02	0	0	猪技能2	1	
800140	fx_8001_boss_enter	0	0	猪出场特效	1	
10100511	fx_101005_attack	1	0	狸花不良少女普攻	1	
10100521	fx_101005_skill01	1	0	狸花不良少女小技能	1	
10100523	fx_101005_skill01_chuqu	1	0	狸花不良少女小技能	1	按照不动的弹道配置
10100531	fx_101005_skill02	1	0	狸花不良少女大招	1	
100311	fx_1003_attack_hit	0	0	干垃圾受击	1	
100322	fx_1003_skill01	0	0	干垃圾小技能	1	
10100411	fx_101004_attack	1	0	日天钢琴家普攻	1	
10100413	fx_101004_attack_dandao	1	0	日天钢琴家普攻弹道	1	
10100412	fx_101004_attack_hit	1	0	日天钢琴家普攻受击	1	
10100421	fx_101004_skill01	1	0	日天钢琴家小技能	1	
10100422	fx_101004_skill01_buff	1	0	日天钢琴家小技能buff	1	
10100431	fx_101004_skill02	1	0	日天钢琴家大技能	1	
10100432	fx_101004_skill02_buff	1	0	日天钢琴家大技能buff	1	
100511	fx_1005_attack	1	0	1005小怪普攻	1	
100512	fx_1005_attack_hit	1	0	1005小怪普攻受击	1	
100521	fx_1005_skill	1	0	1005小怪技能	1	
100522	fx_1005_skill_buff	1	0	1005小怪技能buff	1	
100611	fx_1006_attack	1	0	1006小怪普攻	1	
100612	fx_1006_attack_hit	1	0	1006小怪受击	1	
100621	fx_1006_skill	1	0	1006小怪技能	1	
100711	fx_1007_attack	1	0	1007小怪普攻	1	
100721	fx_1007_skill	1	0	1007小怪技能	1	
