playerLevel	exp	hpMax	upRewards	upRewardsNum	status
int	int	int	int	int	int
1	0	50	0	0	1
2	5	52	3000004	20	1
3	8	54	3000004	20	1
4	10	56	3000004	20	1
5	13	58	3000004	20	1
6	15	60	3000004	20	1
7	18	62	3000004	20	1
8	20	64	3000004	20	1
9	23	66	3000004	20	1
10	25	68	3000004	20	1
11	30	70	3000004	20	1
12	45	72	3000004	20	1
13	60	74	3000004	20	1
14	75	76	3000004	20	1
15	90	78	3000004	20	1
16	105	80	3000004	20	1
17	120	82	3000004	20	1
18	130	84	3000004	20	1
19	140	86	3000004	20	1
20	150	88	3000004	20	1
21	160	90	3000004	20	1
22	170	92	3000004	20	1
23	180	94	3000004	20	1
24	190	96	3000004	20	1
25	195	98	3000004	20	1
26	200	100	3000004	20	1
27	205	102	3000004	20	1
28	210	104	3000004	20	1
29	215	106	3000004	20	1
30	220	108	3000004	20	1
31	225	110	3000004	20	1
32	230	112	3000004	20	1
33	235	114	3000004	20	1
34	240	116	3000004	20	1
35	245	118	3000004	20	1
36	250	120	3000004	20	1
37	255	122	3000004	20	1
38	270	124	3000004	20	1
39	285	126	3000004	20	1
40	300	128	3000004	20	1
41	315	130	3000004	20	1
42	330	132	3000004	20	1
43	345	134	3000004	20	1
44	360	136	3000004	20	1
45	375	138	3000004	20	1
46	390	140	3000004	20	1
47	405	142	3000004	20	1
48	420	144	3000004	20	1
49	435	146	3000004	20	1
50	450	148	3000004	20	1
51	465	150	3000004	20	1
52	480	152	3000004	20	1
53	495	154	3000004	20	1
54	510	156	3000004	20	1
55	530	158	3000004	20	1
56	550	160	3000004	20	1
57	570	162	3000004	20	1
58	590	164	3000004	20	1
59	610	166	3000004	20	1
60	630	168	3000004	20	1
61	650	170	3000004	20	1
62	680	172	3000004	20	1
63	710	174	3000004	20	1
64	740	176	3000004	20	1
65	770	178	3000004	20	1
66	800	180	3000004	20	1
67	830	182	3000004	20	1
68	860	184	3000004	20	1
69	890	186	3000004	20	1
70	920	188	3000004	20	1
71	950	190	3000004	20	1
72	990	192	3000004	20	1
73	1030	194	3000004	20	1
74	1070	196	3000004	20	1
75	1110	198	3000004	20	1
76	1150	200	3000004	20	1
77	1190	200	3000004	20	1
78	1230	200	3000004	20	1
79	1270	200	3000004	20	1
80	1310	200	3000004	20	1
81	1350	200	3000004	20	1
82	1400	200	3000004	20	1
83	1450	200	3000004	20	1
84	1500	200	3000004	20	1
85	1550	200	3000004	20	1
86	1600	200	3000004	20	1
87	1650	200	3000004	20	1
88	1700	200	3000004	20	1
89	1750	200	3000004	20	1
90	1800	200	3000004	20	1
91	1850	200	3000004	20	1
92	1950	200	3000004	20	1
93	2050	200	3000004	20	1
94	2150	200	3000004	20	1
95	2250	200	3000004	20	1
96	2350	200	3000004	20	1
97	2450	200	3000004	20	1
98	2550	200	3000004	20	1
99	2650	200	3000004	20	1
100	2750	200	3000004	20	1
101	2850	200	3000004	20	1
102	3050	200	3000004	20	1
103	3250	200	3000004	20	1
104	3450	200	3000004	20	1
