id	class	condition	style	status	type	type_zh_TW	type_en_UK	type_ja_JP	type_ko_KR	type_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1;2;3;4	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	R;SR;SSR;UR	R;SR;SSR;UR	R;SR;SSR;UR	R;SR;SSR;UR	R;SR;SSR;UR	R;SR;SSR;UR
2	1	0;1;2;3;4;5;6	1	1	星  级:	星 級:	Stars:	ランク：	별 등급:	ระดับดาว:	0;1;2;3;4;5;6	0;1;2;3;4;5;6	0;1;2;3;4;5;6	0;1;2;3;4;5;6	0;1;2;3;4;5;6	0;1;2;3;4;5;6
3	1	1;2;3;4;5	1	1	属  性:	屬 性:	Elemental:	属性：	속 성:	คุณสมบัติ:	红色;绿色;蓝色;白色;黑色	紅色;綠色;藍色;白色;黑色	Red;Green;Blue;White;Black	レッド;グリーン;ブルー;ホワイト;ブラック	레드;그린;블루;화이트;블랙	สีแดง​;​สี​เขียว​;​สีน้ำเงิน​;​สี​ขาว​;​สี​ดำ​
4	1	1;2;3;4	1	1	形  态:	形  態:	Form:	形態：	형 태:	รูปแบบ:	圆振;三相;方波;星流	圓振;三相;方波;星流	Orbis;Trinity;Quadris;Astra	シンクロ;スタック;ウェーブ;フロウ	서클 퀘이버;트리플 페이즈;스피어 웨이브;스타 스트림	คลื่น​รอบตัว​;​สาม​ธาตุ​;​คลื่น​พลัง​;​สาย​ดาว​
5	2	1;2;3;4;5	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR
6	2	0;1;2;3;4;5	1	1	星  级:	星 級:	Stars:	ランク：	별 등급:	ระดับดาว:	0;1;2;3;4;5	0;1;2;3;4;5	0;1;2;3;4;5	0;1;2;3;4;5	0;1;2;3;4;5	0;1;2;3;4;5
8	3	1;2;3;4;5	1	1	品  质:	品 質:	Rarity:	レア度：	품 질:	ระดับ:	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR	NC;N;R;SR;SSR
9	3	1;2;3	1	1	部  位:	部 位:	Parts:	パーツ：	부 위:	ตำแหน่ง:	同部位;核心;其他部位	同部位;核心;其他部位	Same Slot;Core;Other Slot	同パーツ;核心;他のパーツ	동일부위;코어;기타 부위	ตำแหน่ง​เดียวกัน​;​แกน​หลัก​;​ตำแหน่ง​อื่น​
11	4	101;102;103;104	1	1	猫咪种类:	貓咪種類:	Cat Breed:	猫のタイプ：	고양이 종류:	ประเภทพันธุ์แมว:	狸花;美短;布偶;三花	狸花;美短;布偶;三花	Tabby;American Shorthair;Ragdoll;Calico	リーファー;アメリカンショートヘア;ラグドール;三毛猫	드래곤리;아메리칸 쇼트헤어;랙돌;칼리코	ลาย​เสือ​;​อเมริกัน​ ช็อต​แฮร์​;​แร็กดอล​;​คา​ลิ​โก​
12	4	3;2;1;4	1	1	数据类型:	資料類型:	Data Type:	データタイプ	데이터 유형:	ประเภทข้อมูล:	变异;组合;基础;部件	變異;組合;基礎;部件	Mutate;Combination;Base;Part	異変;組合せ;基礎;パーツ	변이;조합;기본;파츠	กลายพันธุ์​;​กรุ๊ป​;​พื้นฐาน​;​ชิ้นส่วน​
13	4	0;1;2;3;4;5;6;7;8;9;10	1	1	指定数据:	指定數據:	Selected Data:	指定データ：	데이터 지정:	ข้อมูลที่กำหนด:	变异;眼睛;嘴巴;花纹;身体肤色;耳朵肤色;尾巴肤色;头饰;颈饰;背包;尾饰	變異;眼睛;嘴巴;花紋;身體膚色;耳朵膚色;尾巴膚色;頭飾;頸飾;背包;尾飾	Mutate;Eyes;Mouth;Pattern;Body Color;Ear Color;Tail Color;Headpiece;Neckpiece;Inventory;Tailpiece	異変;目;口;柄;体の色;耳の色;尻尾の色;装飾・頭部;装飾・首;バッグ;装飾・尻尾	변이;눈;입;무늬;털 색;귀 색;꼬리 색;머리 장식;목걸이;배낭;꼬리 장식	กลายพันธุ์​;​ตา​;​ปาก​;​ลวดลาย​;​สีผิว​;​สี​หู​;​สี​หาง​;​ประดับ​หัว​;​ประดับ​คอ​;​กระเป๋า​;​ประดับ​หาง​
14	5	1;2;3;4;5;6	1	1	组合/基础数据:	組合/基礎資料:	Combination/Basic Data:	組合せ;基礎データ：	조합/기본 데이터:	ข้อมูลกรุ๊ป/พื้นฐาน:	眼睛;嘴巴;花纹;身体肤色;耳朵肤色;尾巴肤色	眼睛;嘴巴;花紋;身體膚色;耳朵膚色;尾巴膚色	Eyes;Mouth;Pattern;Body Color;Ear Color;Tail Color	目;口;柄;体の色;耳の色;尻尾の色	눈;입;무늬;전체 털 색;귀 색;꼬리 색	ตา​;​ปาก​;​ลวดลาย​;​สีผิว​;​สี​หู​;​สี​หาง​
