id	type	condition	status	typedesc	typedesc_zh_TW	typedesc_en_UK	typedesc_ja_JP	typedesc_ko_KR	typedesc_th_TH
int	int	int	int	int	int	int	int	int	int
1	1	0	1	稀有度	稀有度	Rarity	レア度	희귀도	หายาก
2	1	1	1	稀有度	稀有度	Rarity	レア度	희귀도	หายาก
3	2	0	1	星级	星級	Star	ランク	별 등급	ระดับดาว
4	2	1	1	星级	星級	Star	ランク	별 등급	ระดับดาว
5	3	0	1	战斗力	戰鬥力	Power	戦闘力	전투력	CP
6	3	1	1	战斗力	戰鬥力	Power	戦闘力	전투력	CP
7	4	0	1	品质	品質	Quality	品質	등급	คุณภาพ
8	4	1	1	品质	品質	Quality	品質	등급	คุณภาพ
9	5	0	1	等级	等級	Level	レベル	레벨	เลเวล
10	5	1	1	等级	等級	Level	レベル	레벨	เลเวล
11	6	0	1	出生日期	出生日期	Birthday	生年月日	생년월일	วันเกิด
12	6	1	1	出生日期	出生日期	Birthday	生年月日	생년월일	วันเกิด
13	7	0	1	孵化次数	孵化次數	Incubations	孵化回数	부화 횟수	จำนวนครั้งที่ฟักไข่
14	7	1	1	孵化次数	孵化次數	Incubations	孵化回数	부화 횟수	จำนวนครั้งที่ฟักไข่
17	9	0	1	价格	價格	Price	価格	가격	ราคา
18	9	1	1	价格	價格	Price	価格	가격	ราคา
19	10	0	1	属性降序	屬性降序	Stats↑	属性カラー↓	속성 내림차순	เรียง​คุณสมบัติ​จาก​มาก​ไป​น้อย​
20	10	1	1	属性升序	屬性升序	Stats↓	属性カラー↑	속성 오름차순	เรียง​คุณสมบัติ​จาก​น้อย​ไป​มาก​
21	11	0	1						
22	11	1	1						
23	12	0	1	心情值降序	心情值降序	Mood↑	気分値↓	이모션 파워 내림차순	สูงไปต่ำ
24	12	1	1	心情值升序	心情值升序	Mood↓	気分値↑	이모션 파워 오름차순	ต่ำไปสูง
25	16	0	1	伤害降序	傷害降冪	DMG↑	ダメージ量↓	대미지 내림차순	ดาเมจมากไปน้อย
26	16	1	1	伤害升序	傷害昇冪	DMG↓	ダメージ量↑	대미지 오름차순	เวลาน้อยไปมาก
27	17	0	1	时间降序	時間降冪	Time↑	時間↓	시간 내림차순	เวลามากไปน้อย
28	17	1	1	时间升序	時間昇冪	Time↓	時間↑	시간 오름차순	เวลาน้อยไปมาก
29	18	0	1	轮次降序	輪次降冪	Round↑	ラウンド↓	라운드 내림차순	รอบสูงไปต่ำ
30	18	1	1	轮次升序	輪次昇冪	Round↓	ラウンド↑	라운드 오름차순	รอบต่ำไปสูง
31	19	0	1	初始稀有度	初始稀有度	Original Rarity	初期レア度	초기 희귀도	ระดับ​ความ​หา​ยาก​เริ่มต้น​
32	19	1	1	初始稀有度	初始稀有度	Original Rarity	初期レア度	초기 희귀도	ระดับ​ความ​หา​ยาก​เริ่มต้น​
