id	regularReward	regularRewardNum	rareReward	rareRewardRandom	rareRewardMinNum	rareRewardMaxNum	rareRewardShow	rareRewardShowNum	fristRewards	fristRewardsNum	energy	showItem	showItemTag	showItemNum	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
201101	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	1	1	1	1	1	1	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง
201102	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	1	1	1	1	1	1	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง
201103	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	1	1	1	1	1	1	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง
201104	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	1	1	1	1	1	1	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง
201105	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	1	1	1	1	1	1	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง
201106	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	1	1	1	1	1	1	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง	定時副本-红	定時副本-紅	Ltd-time Stage - Red	定時作戦・赤	요일 던전 - 레드	ดันเจี้ยนจำกัดเวลา-แดง
201201	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	2	2	2	2	2	2	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​
201202	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	2	2	2	2	2	2	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​
201203	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	2	2	2	2	2	2	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​
201204	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	2	2	2	2	2	2	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​
201205	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	2	2	2	2	2	2	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​
201206	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	2	2	2	2	2	2	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​	定時副本-绿	定時副本-綠	Ltd-time Stage - Green	定時作戦・緑	요일 던전 - 그린	ดัน​เจี้ยน​จำกัด​เวลา​-​เขียว​
201301	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	3	3	3	3	3	3	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​
201302	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	3	3	3	3	3	3	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​
201303	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	3	3	3	3	3	3	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​
