tarotAttributeId	attAddTypeId	starterdown	starterup	weight	growup	status
int	int	int	int	int	int	int
1011	101	45	75	1	45;75	1
1012	101	69	115	1	69;115	1
1013	101	106	177	1	106;177	1
1014	101	164	273	1	164;273	1
1015	101	252	420	1	252;420	1
2011	201	35	59	1	35;59	1
2012	201	55	91	1	55;91	1
2013	201	84	140	1	84;140	1
2014	201	129	215	1	129;215	1
2015	201	198	330	1	198;330	1
3011	301	402	670	1	402;670	1
3012	301	618	1030	1	618;1030	1
3013	301	951	1585	1	951;1585	1
3014	301	1463	2438	1	1463;2438	1
3015	301	2250	3750	1	2250;3750	1
1021	102	0.005	0.008	1	0.005;0.008	1
1022	102	0.007	0.012	1	0.007;0.012	1
1023	102	0.011	0.019	1	0.011;0.019	1
1024	102	0.017	0.029	1	0.017;0.029	1
1025	102	0.027	0.045	1	0.027;0.045	1
2021	202	0.005	0.008	1	0.005;0.008	1
2022	202	0.007	0.012	1	0.007;0.012	1
2023	202	0.011	0.019	1	0.011;0.019	1
2024	202	0.017	0.029	1	0.017;0.029	1
2025	202	0.027	0.045	1	0.027;0.045	1
3021	302	0.005	0.008	1	0.005;0.008	1
3022	302	0.007	0.012	1	0.007;0.012	1
3023	302	0.011	0.019	1	0.011;0.019	1
3024	302	0.017	0.029	1	0.017;0.029	1
3025	302	0.027	0.045	1	0.027;0.045	1
6031	603	0.005	0.009	1	0.005;0.009	1
6032	603	0.008	0.014	1	0.008;0.014	1
6033	603	0.013	0.021	1	0.013;0.021	1
6034	603	0.02	0.033	1	0.02;0.033	1
6035	603	0.03	0.05	1	0.03;0.05	1
7031	703	0.011	0.018	1	0.011;0.018	1
7032	703	0.016	0.027	1	0.016;0.027	1
7033	703	0.025	0.042	1	0.025;0.042	1
7034	703	0.039	0.065	1	0.039;0.065	1
7035	703	0.06	0.1	1	0.06;0.1	1
9031	903	0.011	0.018	1	0.011;0.018	1
9032	903	0.016	0.027	1	0.016;0.027	1
9033	903	0.025	0.042	1	0.025;0.042	1
9034	903	0.039	0.065	1	0.039;0.065	1
9035	903	0.06	0.1	1	0.06;0.1	1
4011	401	4	6	1	4;6	1
4012	401	5	9	1	5;9	1
4013	401	8	14	1	8;14	1
4014	401	13	21	1	13;21	1
4015	401	20	33	1	20;33	1
25011	2501	0.003	0.005	1	0.003;0.005	1
25012	2501	0.004	0.007	1	0.004;0.007	1
25013	2501	0.006	0.01	1	0.006;0.01	1
25014	2501	0.01	0.016	1	0.01;0.016	1
25015	2501	0.015	0.025	1	0.015;0.025	1
25021	2502	0.003	0.005	1	0.003;0.005	1
25022	2502	0.004	0.007	1	0.004;0.007	1
25023	2502	0.006	0.01	1	0.006;0.01	1
25024	2502	0.01	0.016	1	0.01;0.016	1
25025	2502	0.015	0.025	1	0.015;0.025	1
16011	1601	0.008	0.013	1	0.008;0.013	1
16012	1601	0.012	0.02	1	0.012;0.02	1
16013	1601	0.018	0.03	1	0.018;0.03	1
16014	1601	0.028	0.046	1	0.028;0.046	1
16015	1601	0.042	0.07	1	0.042;0.07	1
21011	2101	0.008	0.013	1	0.008;0.013	1
21012	2101	0.012	0.02	1	0.012;0.02	1
21013	2101	0.018	0.03	1	0.018;0.03	1
21014	2101	0.028	0.046	1	0.028;0.046	1
21015	2101	0.042	0.07	1	0.042;0.07	1
