coreId	type	quality	occupationId	expOffered	sellMoney	suitId	coreBigICon	coreLongCon	isRandom	status
int	int	int	int	int	int	int	int	int	int	int
480111	2	1	0	100	1000	411	45:tarot_img_411	10:tarot_img_411_x	1	1
480112	2	2	0	300	3000	411	45:tarot_img_411	10:tarot_img_411_x	1	1
480113	2	3	0	500	5000	411	45:tarot_img_411	10:tarot_img_411_x	1	1
480114	2	4	0	2500	25000	411	45:tarot_img_411	10:tarot_img_411_x	1	1
480115	2	5	0	10000	100000	411	45:tarot_img_411	10:tarot_img_411_x	1	1
480121	2	1	0	100	1000	412	45:tarot_img_412	10:tarot_img_412_x	1	1
480122	2	2	0	300	3000	412	45:tarot_img_412	10:tarot_img_412_x	1	1
480123	2	3	0	500	5000	412	45:tarot_img_412	10:tarot_img_412_x	1	1
480124	2	4	0	2500	25000	412	45:tarot_img_412	10:tarot_img_412_x	1	1
480125	2	5	0	10000	100000	412	45:tarot_img_412	10:tarot_img_412_x	1	1
480131	2	1	0	100	1000	413	45:tarot_img_413	10:tarot_img_413_x	1	1
480132	2	2	0	300	3000	413	45:tarot_img_413	10:tarot_img_413_x	1	1
480133	2	3	0	500	5000	413	45:tarot_img_413	10:tarot_img_413_x	1	1
480134	2	4	0	2500	25000	413	45:tarot_img_413	10:tarot_img_413_x	1	1
480135	2	5	0	10000	100000	413	45:tarot_img_413	10:tarot_img_413_x	1	1
480141	2	1	0	100	1000	414	45:tarot_img_414	10:tarot_img_414_x	1	1
480142	2	2	0	300	3000	414	45:tarot_img_414	10:tarot_img_414_x	1	1
480143	2	3	0	500	5000	414	45:tarot_img_414	10:tarot_img_414_x	1	1
480144	2	4	0	2500	25000	414	45:tarot_img_414	10:tarot_img_414_x	1	1
480145	2	5	0	10000	100000	414	45:tarot_img_414	10:tarot_img_414_x	1	1
480151	2	1	0	100	1000	415	45:tarot_img_415	10:tarot_img_415_x	1	1
480152	2	2	0	300	3000	415	45:tarot_img_415	10:tarot_img_415_x	1	1
480153	2	3	0	500	5000	415	45:tarot_img_415	10:tarot_img_415_x	1	1
480154	2	4	0	2500	25000	415	45:tarot_img_415	10:tarot_img_415_x	1	1
480155	2	5	0	10000	100000	415	45:tarot_img_415	10:tarot_img_415_x	1	1
480161	2	1	0	100	1000	416	45:tarot_img_416	10:tarot_img_416_x	1	1
